,6J6Y_1_ms_1K0.1.pdb_ringEdges,6J6Y_1_ms_1K0.2.pdb_ringEdges,6J6Y_1_ms_1K0.3.pdb_ringEdges,6J6Y_1_ms_1K0.4.pdb_ringEdges,6J6Y_1_ms_1K0.5.pdb_ringEdges,6J6Y_1_ms_1K0.6.pdb_ringEdges,6J6Y_1_ms_1K0.7.pdb_ringEdges,6J6Y_1_ms_1K0.8.pdb_ringEdges,6J6Y_1_ms_1K0.9.pdb_ringEdges,6J6Y_1_ms_1K0.10.pdb_ringEdges,6J6Y_1_ms_1K0.11.pdb_ringEdges,6J6Y_1_ms_1K0.12.pdb_ringEdges,6J6Y_1_ms_1K0.13.pdb_ringEdges,6J6Y_1_ms_1K0.14.pdb_ringEdges,6J6Y_1_ms_1K0.15.pdb_ringEdges,6J6Y_1_ms_1K0.16.pdb_ringEdges,6J6Y_1_ms_1K0.17.pdb_ringEdges,6J6Y_1_ms_1K0.18.pdb_ringEdges,6J6Y_1_ms_1K0.19.pdb_ringEdges,6J6Y_1_ms_1K0.20.pdb_ringEdges,6J6Y_1_ms_1K0.21.pdb_ringEdges,6J6Y_1_ms_1K0.22.pdb_ringEdges,6J6Y_1_ms_1K0.23.pdb_ringEdges,6J6Y_1_ms_1K0.24.pdb_ringEdges,6J6Y_1_ms_1K0.25.pdb_ringEdges,6J6Y_1_ms_1K0.26.pdb_ringEdges,6J6Y_1_ms_1K0.27.pdb_ringEdges,6J6Y_1_ms_1K0.28.pdb_ringEdges,6J6Y_1_ms_1K0.29.pdb_ringEdges,6J6Y_1_ms_1K0.30.pdb_ringEdges,6J6Y_1_ms_1K0.31.pdb_ringEdges,6J6Y_1_ms_1K0.32.pdb_ringEdges,6J6Y_1_ms_1K0.33.pdb_ringEdges,6J6Y_1_ms_1K0.34.pdb_ringEdges,6J6Y_1_ms_1K0.35.pdb_ringEdges,6J6Y_1_ms_1K0.36.pdb_ringEdges,6J6Y_1_ms_1K0.37.pdb_ringEdges,6J6Y_1_ms_1K0.38.pdb_ringEdges,6J6Y_1_ms_1K0.39.pdb_ringEdges,6J6Y_1_ms_1K0.40.pdb_ringEdges,6J6Y_1_ms_1K0.41.pdb_ringEdges,6J6Y_1_ms_1K0.42.pdb_ringEdges,6J6Y_1_ms_1K0.43.pdb_ringEdges,6J6Y_1_ms_1K0.44.pdb_ringEdges,6J6Y_1_ms_1K0.45.pdb_ringEdges,6J6Y_1_ms_1K0.46.pdb_ringEdges,6J6Y_1_ms_1K0.47.pdb_ringEdges,6J6Y_1_ms_1K0.48.pdb_ringEdges,6J6Y_1_ms_1K0.49.pdb_ringEdges,6J6Y_1_ms_1K0.50.pdb_ringEdges,6J6Y_1_ms_1K0.51.pdb_ringEdges,6J6Y_1_ms_1K0.52.pdb_ringEdges,6J6Y_1_ms_1K0.53.pdb_ringEdges,6J6Y_1_ms_1K0.54.pdb_ringEdges,6J6Y_1_ms_1K0.55.pdb_ringEdges,6J6Y_1_ms_1K0.56.pdb_ringEdges,6J6Y_1_ms_1K0.57.pdb_ringEdges,6J6Y_1_ms_1K0.58.pdb_ringEdges,6J6Y_1_ms_1K0.59.pdb_ringEdges,6J6Y_1_ms_1K0.60.pdb_ringEdges,6J6Y_1_ms_1K0.61.pdb_ringEdges,6J6Y_1_ms_1K0.62.pdb_ringEdges,6J6Y_1_ms_1K0.63.pdb_ringEdges,6J6Y_1_ms_1K0.64.pdb_ringEdges,6J6Y_1_ms_1K0.65.pdb_ringEdges,6J6Y_1_ms_1K0.66.pdb_ringEdges,6J6Y_1_ms_1K0.67.pdb_ringEdges,6J6Y_1_ms_1K0.68.pdb_ringEdges,6J6Y_1_ms_1K0.69.pdb_ringEdges,6J6Y_1_ms_1K0.70.pdb_ringEdges,6J6Y_1_ms_1K0.71.pdb_ringEdges,6J6Y_1_ms_1K0.72.pdb_ringEdges,6J6Y_1_ms_1K0.73.pdb_ringEdges,6J6Y_1_ms_1K0.74.pdb_ringEdges,6J6Y_1_ms_1K0.75.pdb_ringEdges,6J6Y_1_ms_1K0.76.pdb_ringEdges,6J6Y_1_ms_1K0.77.pdb_ringEdges,6J6Y_1_ms_1K0.78.pdb_ringEdges,6J6Y_1_ms_1K0.79.pdb_ringEdges,6J6Y_1_ms_1K0.80.pdb_ringEdges,6J6Y_1_ms_1K0.81.pdb_ringEdges,6J6Y_1_ms_1K0.82.pdb_ringEdges,6J6Y_1_ms_1K0.83.pdb_ringEdges,6J6Y_1_ms_1K0.84.pdb_ringEdges,6J6Y_1_ms_1K0.85.pdb_ringEdges,6J6Y_1_ms_1K0.86.pdb_ringEdges,6J6Y_1_ms_1K0.87.pdb_ringEdges,6J6Y_1_ms_1K0.88.pdb_ringEdges,6J6Y_1_ms_1K0.89.pdb_ringEdges,6J6Y_1_ms_1K0.90.pdb_ringEdges,6J6Y_1_ms_1K0.91.pdb_ringEdges,6J6Y_1_ms_1K0.92.pdb_ringEdges,6J6Y_1_ms_1K0.93.pdb_ringEdges,6J6Y_1_ms_1K0.94.pdb_ringEdges,6J6Y_1_ms_1K0.95.pdb_ringEdges,6J6Y_1_ms_1K0.96.pdb_ringEdges,6J6Y_1_ms_1K0.97.pdb_ringEdges,6J6Y_1_ms_1K0.98.pdb_ringEdges,6J6Y_1_ms_1K0.99.pdb_ringEdges,6J6Y_1_ms_1K0.100.pdb_ringEdges,6J6Y_1_ms_1K0.101.pdb_ringEdges
6J6Y_1_ms_1K0.1.pdb_ringEdges,0.0,25.844094237998405,23.274036994148364,28.49774895953358,23.978897622119096,26.11333441776372,26.523804769515444,24.53154109973889,25.28826327274414,24.873685882405073,24.985821415763933,28.47519811574051,25.34582751792842,25.17711821864269,23.142580935778877,23.817510689854746,24.014293333123,25.70401251461763,28.399483680459873,27.285943144169153,25.244697722339005,25.500789680208207,26.32889994983795,27.177462424597287,23.37669406559465,24.61090729950314,25.593328307692524,28.030816671866145,26.935371066013534,26.53309231000357,25.365261850179635,25.440125785852526,26.021130872241564,24.708010553991564,27.56315803383211,26.523804769515447,26.105406898316723,25.381223055450313,25.861283514887763,24.76887677828476,24.708373897291942,24.61895140089844,23.04098051391028,24.92390413852199,23.522006462670745,22.651363960627336,24.638959073779887,24.819668815271278,24.995680424830372,25.14143533240624,26.587961575647885,26.74346588572704,25.602602735521174,25.00395978615247,26.45017901782163,23.98715366914405,27.42129067066112,25.73534980190541,25.33191140954126,27.168395163509327,25.526320092335247,26.953659317863323,25.475390305585975,25.304273046542235,24.85739878414902,24.167969982340892,23.615202846604625,25.52632009233524,26.597226713097903,27.31157619973103,27.016795367330268,26.9280189484629,25.517017938794822,29.23237367753329,22.469308521545738,24.796749847359383,26.022990027571026,27.649895266156523,26.653442273699003,28.58027152074486,24.776869593088563,26.1800022670595,25.347382025785148,24.48051798060046,25.090082093356536,25.795319415363853,29.37388189626728,24.18635051267953,28.429235768554147,26.29643025942924,24.114171493810783,26.113334417763728,25.37342061716276,27.066759619674187,27.366324391908947,26.105406898316712,26.8980712024852,26.71135075864978,26.004047258368463,26.879745130011234,25.51666611014372
6J6Y_1_ms_1K0.2.pdb_ringEdges,25.844094237998405,0.0,22.4297184406466,24.201296311192586,20.79809122260357,23.355989475700365,23.227080248232966,24.52310224341318,23.114806171351532,25.14179241195393,22.975537245529146,25.124110882395847,22.534075056530845,22.822900517461054,25.88832722066623,22.326415474280093,23.86000315640047,23.513587094589834,24.86536314412632,22.169309963086366,21.332447508624714,20.39781417070572,25.278873518890013,23.643149192538772,24.610907299503136,23.97725439201807,22.31537720609654,23.188009628333553,24.13079488631458,23.237685447084758,27.08921254686035,24.265221975210387,23.93497008599458,23.105849892437828,21.782923600804892,22.06062831597867,24.488604912766363,20.272458375306954,22.46755488351791,22.75683011116066,25.149666710730912,23.84302362455517,22.709023550638197,22.565106689316764,25.52477648215238,25.141792411953933,23.843023624555176,24.388644592051552,22.003876330457857,21.63508280501946,20.8916454086388,26.75120432183059,22.805148825815188,25.577499463454032,25.131633502296758,23.35767641229635,23.411146821786005,22.611695603268274,25.114302290749013,22.642620857615942,21.179602477318973,23.21816727846047,23.095184155404976,22.64262085761594,25.10605931769937,21.906033739918843,21.454051114578146,19.938984233639538,23.42205197465075,22.98454430281312,22.690962969842246,21.74547850500122,19.70938482992466,23.385546615884124,24.39874490864655,24.328815668265634,21.10881438849136,23.530804344883872,26.06948321528868,22.737294004638397,26.636764198801295,24.08714436563147,21.69502971222816,21.55618998532187,21.19123236569918,25.80334220266686,23.87032715953513,23.87032715953513,25.381223055450317,25.245053341288212,25.022085008140547,22.04226273850794,23.207939994816243,25.28670513054441,21.191232365699182,22.227816142703148,21.846665832113803,22.4785184236793,20.778801781894714,21.46369666004003,25.928945686990463
6J6Y_1_ms_1K0.3.pdb_ringEdges,23.274036994148364,22.4297184406466,0.0,24.022744833317496,20.252471294047268,22.393755809418593,24.12258800108983,25.845966127952742,25.280432143785784,22.81422315256124,24.258684847363206,24.987757600977037,26.24534158878901,21.83718944582308,23.302007234294884,25.62991939276827,22.051650997616882,23.385546615884135,25.78967297040034,25.02999696623382,24.768876778284763,23.661768778889602,23.945261767148327,21.45630600386912,20.987087824698197,22.871079648527218,23.761470520503497,24.122588001089827,25.201254768270186,24.77082992074735,22.404755462438548,25.432341418456463,24.0600868774123,24.060086877412303,22.119827825785464,24.6028605680249,23.66176877888961,24.27358610802367,24.531541099738895,24.6028605680249,24.70035891790472,25.390928535016645,22.209588816803215,23.706370872618265,22.748127543452146,25.485412188425826,24.630921506600963,21.78514444990533,21.9854633452138,23.27403699414836,23.28292857636831,22.824626853958485,21.61635568077341,23.125462858480297,23.79052389989384,20.45382854734996,25.41486202933381,22.65136396062734,21.111106152746192,25.602953383255137,22.238897871828424,22.748127543452142,21.82590375707193,23.28292857636831,21.924331443100655,23.248285808150563,23.934970085994575,24.01630784267252,24.839514815296823,25.602953383255137,23.606816717025207,23.99779707263045,24.168341444533375,25.9635462843743,23.144671319200327,22.901262638202702,24.681997437529915,23.678878284411592,24.89969904374,25.534427397998165,24.925845133334423,23.15531426160342,25.10146988771154,24.945966545371448,21.374910129457685,25.400630306158213,23.853354976625333,20.687075970746825,26.937167122185983,24.35756090143942,26.647977657168585,26.105750792476766,25.246614054106463,24.24035916542547,23.843023624555176,25.797194844505576,23.964187744723116,22.805148825815195,23.293508348294562,25.141792411953926,26.113334417763724
6J6Y_1_ms_1K0.4.pdb_ringEdges,28.49774895953358,24.201296311192586,24.022744833317496,0.0,24.14100308448649,22.22781614270315,21.85554478628332,26.00404725836846,25.44202739768859,27.15348450380269,26.20487095647268,24.240359165425478,26.122767894956386,25.94011903521447,24.55968352529898,24.708010553991564,24.917539816837653,26.105406898316716,28.14098811289457,25.60260273552118,28.314725687759474,27.351521633372556,29.017906587883637,25.023659627383257,26.808566762703347,26.097820969414663,25.612574841763497,26.376347751314114,23.376694065594656,23.39607998369578,26.122767894956386,27.02591349057417,24.54964942281339,24.54964942281338,21.435165830116357,23.385546615884135,22.566852746733804,25.938446224064812,24.07854976121881,26.81628641250695,27.00213347071067,26.549835509585247,24.76088138339974,26.393190386027907,25.688251872972508,25.897842658493552,26.105406898316712,23.46035016629517,24.596210400888733,27.303996583402085,23.89743253564094,27.83902784440747,25.602602735521177,27.961159380741186,23.489775989988697,25.254455669684685,23.274036994148354,23.943241280004624,25.280432143785784,24.134597634775634,24.18635051267953,27.00194876129738,24.87526989540166,26.459492401680958,27.689676857789024,24.80509560714893,23.94324128000463,25.238414294676375,21.465532308953637,25.477289285296465,25.16102753730789,24.98156926601124,24.443818224175978,25.990138164225094,24.25015103945557,25.57110276773576,27.462983474972855,27.09797500509138,22.88145749852611,23.237299107801565,26.696334286548606,24.31394825610389,24.796749847359383,26.25472763507591,25.501141727899803,24.648956820100935,25.083402029162773,23.71842302983996,27.25056909881837,25.10146988771154,28.567931029246214,23.256801220127365,27.23280990206654,23.781822098908624,25.535970424798013,26.842033512613533,25.323739269183076,26.6139295648499,23.96216885341558,23.144671319200334,24.91753981683765
6J6Y_1_ms_1K0.5.pdb_ringEdges,23.978897622119096,20.79809122260357,20.252471294047268,24.14100308448649,0.0,20.33642237004746,23.422051974650742,23.796644705753568,23.051671330343783,22.24820315533136,20.45382854734996,24.752883405933332,24.390260105827572,22.7589559253707,23.843023624555176,23.853354976625337,25.00395978615247,25.278518375724072,23.237299107801565,24.75892745613294,25.123753551543654,22.947169075477536,25.06603746933216,24.953902637821074,24.231818903696535,24.960097832150463,24.167969982340892,22.440300405615417,24.21147478411723,22.664373264252106,23.136114637050706,23.218167278460463,24.899699043740004,21.343994115161053,21.170251560201017,23.125074644349418,21.446657134490415,23.906092254544483,23.347125718206616,21.455887588712113,23.22877654656768,22.489476619154352,23.908115881171604,22.304333475147217,23.46878863299613,24.186721692581923,25.60449228041155,22.05165099761688,22.730317456446173,23.97889762211909,21.35326894794077,25.19339659355598,23.39607998369577,25.501141727899803,22.870687116417304,21.0681118436929,24.943667205642278,23.54127271829216,24.17853379052068,22.72858395673394,22.805148825815188,23.96216885341558,24.488604912766355,26.393530530517037,25.663232381353488,21.994875848502105,22.890501574761064,23.47928465648067,25.501141727899803,24.62932177855938,21.018101686492518,23.331632760734816,22.48947661915435,23.798845295654214,22.758955925370707,22.3374482877963,23.50516471075664,25.159461515315602,25.40671657028495,24.558079156772884,23.761092697612575,24.18835069257371,22.337448287796306,23.155314261603422,19.051341579009577,25.133558454753327,24.69999545670193,23.644815641767348,26.898071202485202,24.875630795646074,26.39353053051704,22.653103369501626,24.700358917904726,23.543327702381927,24.84748490762018,25.756368604498025,24.64932103388286,24.016307842672525,21.72684653485467,23.404925201563277,26.302309239336655
6J6Y_1_ms_1K0.6.pdb_ringEdges,26.11333441776372,23.355989475700365,22.393755809418593,22.22781614270315,20.33642237004746,0.0,20.74743021073035,24.750928847277454,23.708032877964424,24.014293333122993,23.256801220127358,23.85335497662534,26.896606317925034,22.290286177062878,22.257101195258088,24.205087983506182,24.076913332297636,26.879745130011237,25.5521763400052,25.09797261585949,26.734251429603294,24.22164897982267,25.670946734283337,23.237299107801558,25.89784265849355,24.06831507446439,26.401371535445218,24.35379296783559,24.076913332297643,23.16386385145357,24.078922602884656,24.637359867625452,25.544074667590532,24.451917293979626,20.49531300960284,24.829593798118207,24.0600868774123,25.167330285823116,25.227088318658684,24.105958949144796,24.328815668265634,23.623966021258262,22.97553724552915,25.294534317400732,25.645715882816436,24.813076755107605,24.699995456701927,22.257101195258084,22.92968760288905,25.66134716172579,23.85170309743893,25.52667178792756,24.805095607148928,25.099542474295248,22.59609570583226,21.646467981170726,24.93414768341306,23.73383161422251,24.00604661984587,24.051648498828953,23.924673977666966,25.339726629068213,24.355574617787035,25.8553042547315,25.53632198748241,21.527967079674287,22.918939885742603,25.19511887176943,22.899150034863766,25.551824995457807,23.42390449403418,24.93782792958089,23.788490270016766,26.47479392208665,23.295371089863803,22.366589797108503,25.09954247429525,24.716386277598108,24.248526191170647,22.507477283468134,27.454010513344517,24.215264862666192,23.972448857790894,24.41893300856544,22.304333475147207,25.467616717056213,26.484098649883414,23.50701068026713,29.292250002764167,23.817510689854746,26.59885809335285,23.153612581217132,25.46761671705622,23.44286842091849,25.029996966233828,27.613560584965303,23.909555263904526,25.99810083222987,25.444085683304674,22.10128577521463,24.558079156772884
6J6Y_1_ms_1K0.7.pdb_ringEdges,26.523804769515444,23.227080248232966,24.12258800108983,21.85554478628332,23.422051974650742,20.74743021073035,0.0,24.310542852136905,19.895888621519262,24.15940413131186,25.544074667590525,23.978897622119096,27.026245671795,25.579195879569493,23.68928122353609,24.328815668265637,23.89743253564094,25.594867783558758,25.839983323419776,23.716761752607038,26.02908405913671,25.13355845475333,26.6796830244343,23.553409355533336,24.060086877412292,24.849070590807443,26.088722590116184,23.41153029221799,23.89743253564095,23.293122934888945,26.73606099645166,24.302027254496753,25.812888968647613,24.73260491003544,20.28416578383577,25.871155912123935,24.977895464698086,21.089194264201183,22.679926198492723,24.390628182606196,24.630921506600963,23.77145965784049,23.606816717025204,23.76109269761257,26.45949240168095,25.804869149454092,23.27403699414836,24.01630784267252,23.56219551223118,24.610907299503136,25.19339659355599,26.3441258648118,25.081831160505175,26.506706439772714,23.845052603545128,23.924673977666963,24.44381822417597,21.55618998532186,26.097820969414663,23.376694065594645,25.314008029029388,26.21276839505257,24.338940813031456,22.082954011077423,26.550173647233514,24.303812699259694,22.70862821729267,22.815950145619194,23.861654460995766,25.688251872972504,22.901262638202706,20.051256016280455,23.77145965784049,25.169252508178456,23.699679596306357,20.781129940309047,23.861654460995766,22.633477731326728,24.07032506279107,20.580624255913406,28.077111488295643,24.01630784267253,23.0145784871816,23.479284656480676,24.54158260601746,24.10759340644297,24.709968507484916,23.655233560735898,27.55740324877255,21.467367800903094,26.565084992304794,24.26721565427256,25.19511887176943,21.050941656809627,22.975537245529154,26.34577291755624,22.778473453412747,24.328815668265637,25.254811151229934,20.708546310021696,24.541582606017453
6J6Y_1_ms_1K0.8.pdb_ringEdges,24.53154109973889,24.52310224341318,25.845966127952742,26.00404725836846,23.796644705753568,24.750928847277454,24.310542852136905,0.0,22.2662196758535,25.45984075503653,23.579208052203036,26.719434491604066,26.677869633453675,26.48409864988341,23.77145965784049,23.61725139788754,25.227088318658677,26.791985253345075,27.98585321282654,27.111315744472964,25.365261850179632,27.867964428650104,29.239623988221314,26.905765172193952,24.77882210553307,25.946424755753604,25.133558454753334,28.291711641944207,26.385687195486373,24.48051798060046,26.220511283536666,26.879745130011237,25.988468572678844,24.194741911407114,25.896321193782903,25.37306679735898,26.937167122185983,25.501141727899807,24.558079156772887,25.678658769676332,24.84748490762019,25.51856201828966,24.62128106530521,25.508905100013504,28.97994835198622,27.170175815870884,26.646012367000484,27.704298936286417,26.8980712024852,25.003959786152464,26.442352485880114,26.17093245827629,25.26249228024573,25.73910926267475,25.449808802421273,23.699679596306357,21.953612396525028,24.531541099738888,29.425403380238883,26.914920909804767,25.236853074763616,29.469202826204317,25.897842658493555,25.577499463454032,24.71834356764583,24.77082992074735,25.314008029029385,25.998100832229866,25.28043214378578,27.70604514642714,26.888909727509652,25.56146569894424,25.518562018289654,25.635951221136068,24.883589320199725,25.822432205110537,25.177474792117835,28.709517741988538,28.445178493922672,25.812888968647606,27.225208356866833,28.279245229022475,24.49866401772483,23.890961781871432,26.533092310003568,28.476721910589802,30.62916316046232,26.147691019206807,30.244737387698894,27.550361955703462,23.828229868233294,24.648956820100942,27.105943436376798,26.05595360382128,28.590583176704147,28.348120927139927,26.476621221781567,28.48215086164903,26.055609052414567,24.698400202615904,25.09165244546259
6J6Y_1_ms_1K0.9.pdb_ringEdges,25.28826327274414,23.114806171351532,25.280432143785784,25.44202739768859,23.051671330343783,23.708032877964424,19.895888621519262,22.2662196758535,0.0,24.427040329353638,25.594867783558758,25.68656265923648,27.76747051772302,26.752677168104995,26.888909727509652,25.47728928529646,26.6367641988013,26.670446531779096,27.19413901941887,26.474793922086647,26.228061726805812,25.493023836711703,26.286907316368552,26.47628214477015,25.528215283507304,27.91608372736611,26.85583568285369,23.960357950523317,26.782787490021644,23.680542219309462,26.491762235347114,26.187907205244993,28.2474812948207,25.013811646115247,24.105586525650743,26.95399238954518,25.256371261066125,22.382349654579375,23.887120247441086,24.443818224175978,25.74680088109921,25.08183116050518,24.151206967871943,23.870327159535137,27.359088083270034,25.296091977352596,23.661768778889602,25.92298203344347,25.907354601423293,25.442027397688587,26.433372694757455,28.914251074720372,25.594867783558755,29.151697144146485,26.589781098250253,26.385687195486373,26.319540354815786,22.65136396062734,27.153484503802698,24.86536314412632,25.211029530248485,26.410362207288983,27.177462424597287,24.86536314412632,26.89070888687952,23.708032877964424,23.606816717025204,24.016307842672525,26.030597763980055,26.905431503490632,24.578136382360725,22.04267002306288,25.39092853501665,24.647358262635002,24.382140555227338,21.93754453782661,23.498203889551036,25.812888968647606,26.351640889252202,23.375008501472017,28.307731820087664,25.569405814678404,22.730317456446176,24.02656468315465,24.80509560714893,24.935727855644632,27.00374038929546,25.435949582668783,27.510233869980937,23.58104822546,27.620730224862115,24.32067560421349,25.553718295059145,23.202588212322823,26.113334417763728,27.12378569859746,24.569713529926272,25.169252508178456,25.30618486691943,22.200447075995196,28.062825846904904
6J6Y_1_ms_1K0.10.pdb_ringEdges,24.873685882405073,25.14179241195393,22.81422315256124,27.15348450380269,22.24820315533136,24.014293333122993,24.15940413131186,25.45984075503653,24.427040329353638,0.0,23.77145965784049,27.28771612597085,26.096311163823536,26.063551718435257,24.39224356500775,27.04268354226482,25.963546284374296,26.246842821656415,26.18975452147767,27.581030019881496,26.816286412506948,26.67044653177909,26.038548059317847,22.99487094496422,22.576022855676968,24.638959073779883,25.75671715888869,25.209466614399886,26.360989086828837,25.099542474295248,23.06923332459355,24.087144365631467,27.689676857789017,24.69999545670193,23.615202846604618,26.497748457495536,24.29188672372944,23.68054221930945,24.53154109973889,25.66941182111296,19.42297274683227,20.84353299780109,24.451917293979626,23.060259345836847,26.557630366305556,24.849070590807447,26.670446531779096,25.467616717056213,26.484098649883414,24.87368588240507,25.16138433881143,25.306184866919423,25.442027397688587,25.577148466761724,25.15159028303349,22.198492456283372,26.18975452147768,23.771459657840488,24.418933008565432,24.569713529926272,25.569561861040647,25.812888968647606,22.4714615354931,24.41045522290653,23.943616228647183,24.196535272678883,26.621705654786158,25.670946734283337,27.98585321282654,25.58677962875696,24.736315141569506,24.639323435346586,24.472061529655004,25.220800503847244,23.14467131920033,24.52523765013317,26.309836208094435,24.961836207156637,24.899699043740004,24.935727855644632,23.070941228676748,25.772087590125786,22.78755840267032,24.805095607148928,21.35553447862706,25.24661405410647,25.822432205110537,25.588826270956332,28.146481821050777,24.638959073779887,27.05000449430911,25.955918895037875,25.838111000030047,22.69269934342917,26.655257326503964,27.53390111704461,27.479160092722893,26.87974513001123,25.896321193782903,24.865363144126317,24.75252071598992
