CLUSTERING RESULTS for K 2
CLUSTER 0:
Element: 6J6Y_1_ms_1K0.1.pdb_ringEdges, distance from center: 0.1830065359477124
Element: 6J6Y_1_ms_1K0.8.pdb_ringEdges, distance from center: 0.25
Element: 6J6Y_1_ms_1K0.11.pdb_ringEdges, distance from center: 0.2
Element: 6J6Y_1_ms_1K0.15.pdb_ringEdges, distance from center: 0.18092105263157895
Element: 6J6Y_1_ms_1K0.17.pdb_ringEdges, distance from center: 0.17114093959731544
Element: 6J6Y_1_ms_1K0.25.pdb_ringEdges, distance from center: 0.18394648829431437
Element: 6J6Y_1_ms_1K0.31.pdb_ringEdges, distance from center: 0.19407894736842105
Element: 6J6Y_1_ms_1K0.32.pdb_ringEdges, distance from center: 0.1476510067114094
Element: 6J6Y_1_ms_1K0.33.pdb_ringEdges, distance from center: 0.15202702702702703
Element: 6J6Y_1_ms_1K0.40.pdb_ringEdges, distance from center: 0.16666666666666666
Element: 6J6Y_1_ms_1K0.42.pdb_ringEdges, distance from center: 0.14965986394557823
Element: 6J6Y_1_ms_1K0.45.pdb_ringEdges, distance from center: 0.17
Element: 6J6Y_1_ms_1K0.46.pdb_ringEdges, distance from center: 0.18666666666666668
Element: 6J6Y_1_ms_1K0.48.pdb_ringEdges, distance from center: 0.20065789473684212
Element: 6J6Y_1_ms_1K0.49.pdb_ringEdges, distance from center: 0.2098360655737705
Element: 6J6Y_1_ms_1K0.52.pdb_ringEdges, distance from center: 0.18387096774193548
Element: 6J6Y_1_ms_1K0.54.pdb_ringEdges, distance from center: 0.15666666666666668
Element: 6J6Y_1_ms_1K0.56.pdb_ringEdges, distance from center: 0.16666666666666666
Element: 6J6Y_1_ms_1K0.66.pdb_ringEdges, distance from center: 0.21035598705501618
Element: 6J6Y_1_ms_1K0.75.pdb_ringEdges, distance from center: 0.17973856209150327
Element: 6J6Y_1_ms_1K0.81.pdb_ringEdges, distance from center: 0.2222222222222222
Element: 6J6Y_1_ms_1K0.86.pdb_ringEdges, distance from center: 0.22435897435897437
Element: 6J6Y_1_ms_1K0.91.pdb_ringEdges, distance from center: 0.20655737704918034
CLUSTER 1:
Element: 6J6Y_1_ms_1K0.2.pdb_ringEdges, distance from center: 0.17229729729729729
Element: 6J6Y_1_ms_1K0.3.pdb_ringEdges, distance from center: 0.2059800664451827
Element: 6J6Y_1_ms_1K0.4.pdb_ringEdges, distance from center: 0.21428571428571427
Element: 6J6Y_1_ms_1K0.5.pdb_ringEdges, distance from center: 0.20066889632107024
Element: 6J6Y_1_ms_1K0.6.pdb_ringEdges, distance from center: 0.2262295081967213
Element: 6J6Y_1_ms_1K0.7.pdb_ringEdges, distance from center: 0.19933554817275748
Element: 6J6Y_1_ms_1K0.9.pdb_ringEdges, distance from center: 0.23102310231023102
Element: 6J6Y_1_ms_1K0.10.pdb_ringEdges, distance from center: 0.22875816993464052
Element: 6J6Y_1_ms_1K0.12.pdb_ringEdges, distance from center: 0.1939799331103679
Element: 6J6Y_1_ms_1K0.13.pdb_ringEdges, distance from center: 0.19
Element: 6J6Y_1_ms_1K0.14.pdb_ringEdges, distance from center: 0.20454545454545456
Element: 6J6Y_1_ms_1K0.16.pdb_ringEdges, distance from center: 0.20065789473684212
Element: 6J6Y_1_ms_1K0.18.pdb_ringEdges, distance from center: 0.19269102990033224
Element: 6J6Y_1_ms_1K0.19.pdb_ringEdges, distance from center: 0.24262295081967214
Element: 6J6Y_1_ms_1K0.20.pdb_ringEdges, distance from center: 0.1891891891891892
Element: 6J6Y_1_ms_1K0.21.pdb_ringEdges, distance from center: 0.19243986254295534
Element: 6J6Y_1_ms_1K0.22.pdb_ringEdges, distance from center: 0.1694915254237288
Element: 6J6Y_1_ms_1K0.23.pdb_ringEdges, distance from center: 0.19933554817275748
Element: 6J6Y_1_ms_1K0.24.pdb_ringEdges, distance from center: 0.21895424836601307
Element: 6J6Y_1_ms_1K0.26.pdb_ringEdges, distance from center: 0.19801980198019803
Element: 6J6Y_1_ms_1K0.27.pdb_ringEdges, distance from center: 0.20198675496688742
Element: 6J6Y_1_ms_1K0.28.pdb_ringEdges, distance from center: 0.20270270270270271
Element: 6J6Y_1_ms_1K0.29.pdb_ringEdges, distance from center: 0.20860927152317882
Element: 6J6Y_1_ms_1K0.30.pdb_ringEdges, distance from center: 0.20875420875420875
Element: 6J6Y_1_ms_1K0.34.pdb_ringEdges, distance from center: 0.17845117845117844
Element: 6J6Y_1_ms_1K0.35.pdb_ringEdges, distance from center: 0.15172413793103448
Element: 6J6Y_1_ms_1K0.36.pdb_ringEdges, distance from center: 0.18604651162790697
Element: 6J6Y_1_ms_1K0.37.pdb_ringEdges, distance from center: 0.19528619528619529
Element: 6J6Y_1_ms_1K0.38.pdb_ringEdges, distance from center: 0.17627118644067796
Element: 6J6Y_1_ms_1K0.39.pdb_ringEdges, distance from center: 0.15306122448979592
Element: 6J6Y_1_ms_1K0.41.pdb_ringEdges, distance from center: 0.20394736842105263
Element: 6J6Y_1_ms_1K0.43.pdb_ringEdges, distance from center: 0.18360655737704917
Element: 6J6Y_1_ms_1K0.44.pdb_ringEdges, distance from center: 0.17567567567567569
Element: 6J6Y_1_ms_1K0.47.pdb_ringEdges, distance from center: 0.19933554817275748
Element: 6J6Y_1_ms_1K0.50.pdb_ringEdges, distance from center: 0.18243243243243243
Element: 6J6Y_1_ms_1K0.51.pdb_ringEdges, distance from center: 0.1644295302013423
Element: 6J6Y_1_ms_1K0.53.pdb_ringEdges, distance from center: 0.17940199335548174
Element: 6J6Y_1_ms_1K0.55.pdb_ringEdges, distance from center: 0.18092105263157895
Element: 6J6Y_1_ms_1K0.57.pdb_ringEdges, distance from center: 0.19078947368421054
Element: 6J6Y_1_ms_1K0.58.pdb_ringEdges, distance from center: 0.16382252559726962
Element: 6J6Y_1_ms_1K0.59.pdb_ringEdges, distance from center: 0.2059800664451827
Element: 6J6Y_1_ms_1K0.60.pdb_ringEdges, distance from center: 0.17725752508361203
Element: 6J6Y_1_ms_1K0.61.pdb_ringEdges, distance from center: 0.17785234899328858
Element: 6J6Y_1_ms_1K0.62.pdb_ringEdges, distance from center: 0.20860927152317882
Element: 6J6Y_1_ms_1K0.63.pdb_ringEdges, distance from center: 0.20860927152317882
Element: 6J6Y_1_ms_1K0.64.pdb_ringEdges, distance from center: 0.19601328903654486
Element: 6J6Y_1_ms_1K0.65.pdb_ringEdges, distance from center: 0.2
Element: 6J6Y_1_ms_1K0.67.pdb_ringEdges, distance from center: 0.1610738255033557
Element: 6J6Y_1_ms_1K0.68.pdb_ringEdges, distance from center: 0.15719063545150502
Element: 6J6Y_1_ms_1K0.69.pdb_ringEdges, distance from center: 0.19256756756756757
Element: 6J6Y_1_ms_1K0.70.pdb_ringEdges, distance from center: 0.19798657718120805
Element: 6J6Y_1_ms_1K0.71.pdb_ringEdges, distance from center: 0.19661016949152543
Element: 6J6Y_1_ms_1K0.72.pdb_ringEdges, distance from center: 0.2079207920792079
Element: 6J6Y_1_ms_1K0.73.pdb_ringEdges, distance from center: 0.1605351170568562
Element: 6J6Y_1_ms_1K0.74.pdb_ringEdges, distance from center: 0.20677966101694914
Element: 6J6Y_1_ms_1K0.76.pdb_ringEdges, distance from center: 0.22149837133550487
Element: 6J6Y_1_ms_1K0.77.pdb_ringEdges, distance from center: 0.1870748299319728
Element: 6J6Y_1_ms_1K0.78.pdb_ringEdges, distance from center: 0.20333333333333334
Element: 6J6Y_1_ms_1K0.79.pdb_ringEdges, distance from center: 0.20860927152317882
Element: 6J6Y_1_ms_1K0.80.pdb_ringEdges, distance from center: 0.21122112211221122
Element: 6J6Y_1_ms_1K0.82.pdb_ringEdges, distance from center: 0.21311475409836064
Element: 6J6Y_1_ms_1K0.83.pdb_ringEdges, distance from center: 0.2
Element: 6J6Y_1_ms_1K0.84.pdb_ringEdges, distance from center: 0.2079207920792079
Element: 6J6Y_1_ms_1K0.85.pdb_ringEdges, distance from center: 0.17114093959731544
Element: 6J6Y_1_ms_1K0.87.pdb_ringEdges, distance from center: 0.22333333333333333
Element: 6J6Y_1_ms_1K0.88.pdb_ringEdges, distance from center: 0.2159468438538206
Element: 6J6Y_1_ms_1K0.89.pdb_ringEdges, distance from center: 0.2053872053872054
Element: 6J6Y_1_ms_1K0.90.pdb_ringEdges, distance from center: 0.2098360655737705
Element: 6J6Y_1_ms_1K0.92.pdb_ringEdges, distance from center: 0.2026578073089701
Element: 6J6Y_1_ms_1K0.93.pdb_ringEdges, distance from center: 0.21262458471760798
Element: 6J6Y_1_ms_1K0.94.pdb_ringEdges, distance from center: 0.2185430463576159
Element: 6J6Y_1_ms_1K0.95.pdb_ringEdges, distance from center: 0.17346938775510204
Element: 6J6Y_1_ms_1K0.96.pdb_ringEdges, distance from center: 0.21568627450980393
Element: 6J6Y_1_ms_1K0.97.pdb_ringEdges, distance from center: 0.2145214521452145
Element: 6J6Y_1_ms_1K0.98.pdb_ringEdges, distance from center: 0.17288135593220338
Element: 6J6Y_1_ms_1K0.99.pdb_ringEdges, distance from center: 0.17785234899328858
Element: 6J6Y_1_ms_1K0.100.pdb_ringEdges, distance from center: 0.17346938775510204
Element: 6J6Y_1_ms_1K0.101.pdb_ringEdges, distance from center: 0.19471947194719472
