,6J6Y_1_ms_1K0.1.csv,6J6Y_1_ms_1K0.2.csv,6J6Y_1_ms_1K0.3.csv,6J6Y_1_ms_1K0.4.csv,6J6Y_1_ms_1K0.5.csv,6J6Y_1_ms_1K0.6.csv,6J6Y_1_ms_1K0.7.csv,6J6Y_1_ms_1K0.8.csv,6J6Y_1_ms_1K0.9.csv,6J6Y_1_ms_1K0.10.csv,6J6Y_1_ms_1K0.11.csv,6J6Y_1_ms_1K0.12.csv,6J6Y_1_ms_1K0.13.csv,6J6Y_1_ms_1K0.14.csv,6J6Y_1_ms_1K0.15.csv,6J6Y_1_ms_1K0.16.csv,6J6Y_1_ms_1K0.17.csv,6J6Y_1_ms_1K0.18.csv,6J6Y_1_ms_1K0.19.csv,6J6Y_1_ms_1K0.20.csv,6J6Y_1_ms_1K0.21.csv,6J6Y_1_ms_1K0.22.csv,6J6Y_1_ms_1K0.23.csv,6J6Y_1_ms_1K0.24.csv,6J6Y_1_ms_1K0.25.csv,6J6Y_1_ms_1K0.26.csv,6J6Y_1_ms_1K0.27.csv,6J6Y_1_ms_1K0.28.csv,6J6Y_1_ms_1K0.29.csv,6J6Y_1_ms_1K0.30.csv,6J6Y_1_ms_1K0.31.csv,6J6Y_1_ms_1K0.32.csv,6J6Y_1_ms_1K0.33.csv,6J6Y_1_ms_1K0.34.csv,6J6Y_1_ms_1K0.35.csv,6J6Y_1_ms_1K0.36.csv,6J6Y_1_ms_1K0.37.csv,6J6Y_1_ms_1K0.38.csv,6J6Y_1_ms_1K0.39.csv,6J6Y_1_ms_1K0.40.csv,6J6Y_1_ms_1K0.41.csv,6J6Y_1_ms_1K0.42.csv,6J6Y_1_ms_1K0.43.csv,6J6Y_1_ms_1K0.44.csv,6J6Y_1_ms_1K0.45.csv,6J6Y_1_ms_1K0.46.csv,6J6Y_1_ms_1K0.47.csv,6J6Y_1_ms_1K0.48.csv,6J6Y_1_ms_1K0.49.csv,6J6Y_1_ms_1K0.50.csv,6J6Y_1_ms_1K0.51.csv,6J6Y_1_ms_1K0.52.csv,6J6Y_1_ms_1K0.53.csv,6J6Y_1_ms_1K0.54.csv,6J6Y_1_ms_1K0.55.csv,6J6Y_1_ms_1K0.56.csv,6J6Y_1_ms_1K0.57.csv,6J6Y_1_ms_1K0.58.csv,6J6Y_1_ms_1K0.59.csv,6J6Y_1_ms_1K0.60.csv,6J6Y_1_ms_1K0.61.csv,6J6Y_1_ms_1K0.62.csv,6J6Y_1_ms_1K0.63.csv,6J6Y_1_ms_1K0.64.csv,6J6Y_1_ms_1K0.65.csv,6J6Y_1_ms_1K0.66.csv,6J6Y_1_ms_1K0.67.csv,6J6Y_1_ms_1K0.68.csv,6J6Y_1_ms_1K0.69.csv,6J6Y_1_ms_1K0.70.csv,6J6Y_1_ms_1K0.71.csv,6J6Y_1_ms_1K0.72.csv,6J6Y_1_ms_1K0.73.csv,6J6Y_1_ms_1K0.74.csv,6J6Y_1_ms_1K0.75.csv,6J6Y_1_ms_1K0.76.csv,6J6Y_1_ms_1K0.77.csv,6J6Y_1_ms_1K0.78.csv,6J6Y_1_ms_1K0.79.csv,6J6Y_1_ms_1K0.80.csv,6J6Y_1_ms_1K0.81.csv,6J6Y_1_ms_1K0.82.csv,6J6Y_1_ms_1K0.83.csv,6J6Y_1_ms_1K0.84.csv,6J6Y_1_ms_1K0.85.csv,6J6Y_1_ms_1K0.86.csv,6J6Y_1_ms_1K0.87.csv,6J6Y_1_ms_1K0.88.csv,6J6Y_1_ms_1K0.89.csv,6J6Y_1_ms_1K0.90.csv,6J6Y_1_ms_1K0.91.csv,6J6Y_1_ms_1K0.92.csv,6J6Y_1_ms_1K0.93.csv,6J6Y_1_ms_1K0.94.csv,6J6Y_1_ms_1K0.95.csv,6J6Y_1_ms_1K0.96.csv,6J6Y_1_ms_1K0.97.csv,6J6Y_1_ms_1K0.98.csv,6J6Y_1_ms_1K0.99.csv,6J6Y_1_ms_1K0.100.csv,6J6Y_1_ms_1K0.101.csv
6J6Y_1_ms_1K0.1.csv,0.0,6.50503951015677,6.295213793722728,6.700012110763196,6.354854162414436,6.525534112293995,6.556707486832947,6.40064673670085,6.4611355671433754,6.428565786742753,6.437087813672454,6.698603060722284,6.466138265493202,6.4523347970450065,6.284171482857012,6.341360185011272,6.3580627565327275,6.4939614005080575,6.693466839914922,6.613532703877212,6.4579239586117785,6.477644842070648,6.5419614566054225,6.605368763028862,6.303748026034191,6.407102153494516,6.48577542556708,6.667166151686831,6.5874882593993425,6.557198571381182,6.467213227646779,6.473336457113594,6.518251931758762,6.414736425868535,6.633729605671865,6.556707486832947,6.524500564066988,6.468926788904556,6.506153106400517,6.419889299066114,6.415236970565188,6.407760325455934,6.275367508677097,6.432600700985783,6.316669510939751,6.241579407929574,6.4088998727766775,6.4244552536505175,6.437641282143393,6.449499554313583,6.561744096238959,6.573192419389618,6.485836399680106,6.438768564981432,6.551151561630214,6.355547624509452,6.623417018444262,6.496618365656352,6.465036097438751,6.6049007788132235,6.479871212205296,6.588440437542488,6.476105007928531,6.462859565557246,6.426781586765036,6.370805818852528,6.324308376527272,6.479871212205295,6.56223271420713,6.615405086439952,6.593320112936004,6.586938388150464,6.47980987327207,6.751069448897316,6.224882720761449,6.42166419725765,6.518173262057999,6.639820486819184,6.566250334205293,6.706152863521296,6.4205391111838885,6.530206123693291,6.465579649716722,6.396480535610563,6.446102311169251,6.5008278102382855,6.760552463720906,6.372079292566168,6.695199744642623,6.5394994413272265,6.366604702129719,6.525534112293995,6.468307680588126,6.5972103200182985,6.619215056030959,6.5245005640669875,6.584511160534721,6.5701771942284735,6.517151734913869,6.583555231867481,6.479340636097388
6J6Y_1_ms_1K0.2.csv,6.50503951015677,0.0,6.221929395459554,6.373810484208205,6.070401798200632,6.303042037984558,6.29198766922286,6.399475624486558,6.282035087618924,6.44998300161729,6.269411040740406,6.448805026543104,6.231214397990421,6.256651099214832,6.508237515202879,6.212124484968515,6.345691814126401,6.315948547489133,6.427426937029446,6.198607120263585,6.121420320173098,6.031907381566393,6.461073068116136,6.327449701201178,6.407102153494515,6.355478165109033,6.211430956973187,6.288090397607578,6.36772936657046,6.292627537109488,6.59906370950694,6.379330454028924,6.351188810687305,6.280716396944815,6.164096690327675,6.188494638970484,6.397145733344906,6.019941164194252,6.225593301682637,6.2505817555708285,6.4506135558700715,6.343753301041262,6.246931008870441,6.233957513959752,6.480421903449169,6.44998300161729,6.343753301041261,6.389464936180249,6.183341273928851,6.149881148764489,6.07937197631774,6.574176871977583,6.254531870369134,6.484090517753182,6.448952612046353,6.3023844309019,6.306960752386822,6.238077822178052,6.448257704173327,6.240802200975839,6.107380141446119,6.2906820463596915,6.280068859447725,6.240802200975838,6.447141073633048,6.174429943168111,6.133096877692373,5.986823711925374,6.308148252372513,6.270744714279052,6.245068775349416,6.159743778438579,5.963316431645446,6.30503671153539,6.390045392277951,6.384062497478755,6.101015662961267,6.31794166235049,6.5223910324944505,6.249143647788232,6.565201724787774,6.364110989425777,6.155096291815111,6.142267953191833,6.108149690275759,6.501886104200182,6.346298235031732,6.346298235031732,6.468926788904556,6.458403351239107,6.440446496104816,6.18622576530494,6.290607931924452,6.461696670281069,6.108149690275759,6.203574857019583,6.169314915273678,6.226277080253003,6.068887416707402,6.1346251746594085,6.511370987299898
6J6Y_1_ms_1K0.3.csv,6.295213793722728,6.221929395459554,0.0,6.358506128386851,6.0172551846903515,6.218431036460684,6.36704430368368,6.504959794100097,6.460511614865911,6.255885522704052,6.378043592093771,6.437002492253149,6.535821316708731,6.1678387639922985,6.29788513577794,6.4879635444529775,6.187675042077278,6.30503671153539,6.500822660941353,6.441083090483167,6.419889299066114,6.327978253826744,6.351791908246592,6.132981243508515,6.088141468295943,6.260577358878265,6.337415319410345,6.36704430368368,6.4544768127000385,6.419802497489677,6.219119728322655,6.472720073688631,6.36161104256936,6.36161104256936,6.194137182373711,6.4064435480574495,6.3279782538267435,6.379764497973854,6.40064673670085,6.4064435480574495,6.414583702773423,6.469462917732498,6.2013399797448825,6.332527825931012,6.249811516588427,6.477107810202628,6.408242450652629,6.163984585987859,6.181060664372443,6.295213793722728,6.296513517054022,6.255962255670079,6.147522847131988,6.282681353571354,6.339342659382823,6.03703526870411,6.47156859537415,6.241579407929574,6.100896258720175,6.486302599387442,6.204273852986735,6.249811516588427,6.167113820990369,6.296513517054022,6.1757927417735035,6.293266995827003,6.351188810687305,6.35797041868637,6.425575944806065,6.486302599387442,6.323592901401227,6.3566788386551405,6.3713288370553425,6.514036352536903,6.284072063293698,6.262658469801879,6.412861771752964,6.3299475591924,6.4301805308023425,6.48095190632442,6.432514995842987,6.284717014581952,6.4460812025141045,6.434117876137805,6.126022794007658,6.469998759280333,6.344360898284197,6.059697839719166,6.587414852412061,6.3864172618038,6.566245511005812,6.524949086533923,6.45784039664248,6.37677769594841,6.343753301041262,6.500747757720024,6.35362217555568,6.254531870369134,6.297150496459438,6.44998300161729,6.525534112293995
6J6Y_1_ms_1K0.4.csv,6.700012110763196,6.373810484208205,6.358506128386851,0.0,6.368322573542466,6.203574857019584,6.169210568536477,6.517151734913869,6.4732541732215285,6.603405233582753,6.5323186154859,6.376777695948411,6.526040742778213,6.5120183144941794,6.402456088022216,6.414736425868535,6.431380637362972,6.524500564066988,6.674821608108201,6.485836399680106,6.68731387763851,6.617740781636182,6.736342481781665,6.439873338382646,6.577647476756776,6.523914933164825,6.486829495441992,6.545564595581713,6.303748026034191,6.305668286619291,6.526040742778213,6.5937935469329165,6.401882793323012,6.401882793323012,6.130698611735997,6.30503671153539,6.233252853787063,6.511884842452902,6.362896272030445,6.578627555450703,6.592226468043816,6.55825560220083,6.419239064417971,6.546633989073321,6.492290240492248,6.508752982616415,6.5245005640669875,6.311413265751582,6.405427694785736,6.6144604145726715,6.348051316065949,6.653063516754054,6.485836399680106,6.662192693952877,6.313391327566895,6.458466017338745,6.295213793722728,6.351884818342801,6.460511614865912,6.367792098268187,6.372079292566167,6.592422682462023,6.427985776901676,6.551645381525558,6.642498679575533,6.422809625043921,6.351884818342801,6.456734421214743,6.133846895866126,6.476022951537879,6.450592542227761,6.436507235747272,6.393482182033792,6.515651902942988,6.376845691590505,6.483150593517124,6.626258506936936,6.599118153056603,6.260653732682757,6.292061681473943,6.569258742747863,6.382348978506069,6.42166419725765,6.536322763397196,6.478114875462866,6.409469159843669,6.444412707322577,6.332504178395389,6.610148810502969,6.4460812025141045,6.705285982050481,6.294004492610886,6.609629187084891,6.33809746080082,6.480401506951473,6.580142130653109,6.463938056070347,6.563284439944396,6.353714915764978,6.284072063293698,6.431380637362972
6J6Y_1_ms_1K0.5.csv,6.354854162414436,6.070401798200632,6.0172551846903515,6.368322573542466,0.0,6.025877816640652,6.308148252372513,6.339348711085932,6.276018096650078,6.205697226149698,6.037035268704111,6.418588406689613,6.388861791267365,6.250478939637574,6.343753301041262,6.344360898284197,6.438768564981432,6.4605949539301015,6.292061681473943,6.419325914912942,6.448321009277045,6.2666624352247515,6.443714636357982,6.434758510760942,6.375578277156945,6.435254633876955,6.370805818852528,6.2220087786170035,6.3744000958250595,6.24214867014852,6.283327202133831,6.2906820463596915,6.4301805308023425,6.12217914396489,6.106491261875989,6.282109840133098,6.131450430134654,6.349284189203388,6.301750777749141,6.132317408084558,6.291322749950326,6.226960391589702,6.349191037156746,6.210736947662954,6.312137505214009,6.372601645316783,6.485755137971828,6.187675042077277,6.2476777278918245,6.354854162414436,6.123054193760039,6.4538486905046355,6.305668286619291,6.478114875462866,6.259993068326296,6.096176398750014,6.433712305738959,6.318565141878013,6.371919913264388,6.248372299894665,6.254531870369134,6.353714915764978,6.397145733344906,6.547072695412139,6.4905555996745035,6.182517440707087,6.261999129013363,6.312764612899251,6.478114875462866,6.408834022188345,6.091426401657401,6.299890111901998,6.226960391589702,6.340046958159496,6.250478939637574,6.212817532316087,6.315227063875176,6.451159590698706,6.470477707482117,6.403051091506873,6.336874254741125,6.371988240006807,6.2128175323160875,6.284717014581951,5.895480782743751,6.448868297009097,6.414082830898281,6.3268079555642185,6.584511160534721,6.428479735073545,6.547072695412139,6.240880100057138,6.414583702773424,6.318469083744214,6.4262220733495905,6.497580767543492,6.409972347333217,6.35797041868637,6.15740864858429,6.306954501472178,6.539946239888597
6J6Y_1_ms_1K0.6.csv,6.525534112293995,6.303042037984558,6.218431036460684,6.203574857019584,6.025877816640652,0.0,6.065527477660353,6.418675313710462,6.331889331935938,6.3580627565327275,6.294004492610885,6.344360898284197,6.585007153477995,6.208591595201826,6.206502190313183,6.373872835596515,6.363515278098468,6.583555231867481,6.482560584535585,6.446735316386224,6.57270912857921,6.374989360004899,6.491161090332302,6.292061681473943,6.508752982616415,6.362299836426579,6.5480831872309455,6.386355687716369,6.363515278098468,6.2854608416282005,6.363423442379156,6.409491055642889,6.481481628445418,6.3941493765930275,6.041441644315603,6.425015756221866,6.36161104256936,6.451789403717968,6.456755306190685,6.365918868079237,6.384062497478755,6.325570853274803,6.269411040740405,6.462319883808684,6.489641944657427,6.423457542880424,6.414082830898281,6.206502190313183,6.265418087499156,6.490636472239617,6.344991481203484,6.480340200538336,6.422809625043921,6.446165752863168,6.236693125823802,6.1506186880881675,6.433648069011707,6.335101452024145,6.357371036997502,6.36116904551565,6.350585349181846,6.465657233906425,6.386507010055323,6.505690947551795,6.48087024670666,6.139339867068758,6.264760564328351,6.453990137377771,6.262760041143623,6.4820926366249205,6.308311883314384,6.43370679898203,6.339436733314947,6.553220311786291,6.297315936756803,6.2157179728899985,6.446165752863168,6.4158898118767365,6.377456125445812,6.229138799185601,6.625800199606559,6.3744624104622485,6.354316492216661,6.391205294662325,6.210736947662953,6.475490329156184,6.553713111399046,6.315389540688297,6.755156162150322,6.341360185011272,6.562359632997016,6.285386339199892,6.475490329156184,6.309667425168409,6.441083090483167,6.63699539434837,6.348813443776483,6.516694632482766,6.473864937627792,6.192173893776367,6.403051091506873
6J6Y_1_ms_1K0.7.csv,6.556707486832947,6.29198766922286,6.36704430368368,6.169210568536477,6.308148252372513,6.065527477660353,0.0,6.382804202539787,5.981397464145676,6.36959921151319,6.481481628445417,6.354854162414436,6.59421204857028,6.484227751337796,6.330563600335807,6.384062497478755,6.348051316065949,6.485227675388976,6.504497083294662,6.333142280060541,6.5192919551006385,6.448868297009098,6.5682132848825185,6.318541161839448,6.36161104256936,6.42564070214175,6.523856237273796,6.307518242125509,6.348051316065949,6.296587195106095,6.572634628603229,6.381611994614126,6.502404855126517,6.416960419800003,6.020038315106921,6.507126239020347,6.436448670021249,6.097852007743227,6.243525837984546,6.389375453017053,6.408242450652629,6.337486044800094,6.323592901401227,6.336874254741125,6.551645381525558,6.501347110303597,6.295213793722728,6.35797041868637,6.319810935963315,6.407102153494515,6.4538486905046355,6.54290531265112,6.444983269907081,6.555213858260916,6.343659632329446,6.350585349181846,6.393482182033792,6.142267953191833,6.523914933164825,6.303748026034191,6.463398956206513,6.533344119009436,6.384646097023567,6.189913361962173,6.55868924067501,6.381764036430387,6.246338687854575,6.255196151413057,6.345061672809611,6.492290240492247,6.262658469801879,5.997299271477893,6.337486044800094,6.451705327536012,6.331179262206159,6.068764113685799,6.34506167280961,6.2394279621656334,6.36220788901331,6.049733420030821,6.6702783636357434,6.35797041868637,6.272804794681827,6.312764612899251,6.401220740259429,6.365301348520281,6.414649175840654,6.3274259332735685,6.632731940018919,6.133068010883148,6.559820164270541,6.379240059348141,6.453990137377771,6.09389058683617,6.269411040740406,6.543034708149802,6.2519151297854485,6.384062497478755,6.458945150239759,6.061435646988155,6.401220740259429
6J6Y_1_ms_1K0.8.csv,6.40064673670085,6.399475624486558,6.504959794100097,6.517151734913869,6.339348711085932,6.418675313710462,6.382804202539787,0.0,6.207018100715674,6.474875272321444,6.320989446700351,6.571592695969876,6.568288114965397,6.553713111399046,6.337486044800094,6.324212868522946,6.456755306190685,6.57661075680575,6.663585931974481,6.6004979645032495,6.467213227646779,6.655330109474854,6.751726257463961,6.585484538573178,6.420452365996291,6.512931505366965,6.448868297009098,6.685504973545034,6.546061181466681,6.396480535610563,6.533716219179935,6.583555231867481,6.515518915036322,6.3725164945819195,6.509288000601373,6.467833013709004,6.587414852412061,6.478114875462866,6.403051091506873,6.491766214593001,6.4262220733495905,6.479258844792473,6.408176556757003,6.478727943591258,6.7339044809420585,6.604828639008204,6.565688656624456,6.643936928073464,6.584511160534721,6.438768564981432,6.5501441671865255,6.5301477959208984,6.458867043526498,6.496457578755819,6.473870227625649,6.33117926220616,6.178168324219437,6.40064673670085,6.7645545438707115,6.585961695880571,6.457297998594236,6.767026413855314,6.508752982616415,6.484090517753182,6.415802662428187,6.419802497489678,6.463398956206513,6.516694632482766,6.460511614865911,6.643867550168644,6.584033310426048,6.482621754980114,6.479258844792473,6.488433967284203,6.4291239907201145,6.502923337089848,6.452816875929415,6.715166736746312,6.696498387900451,6.502404855126517,6.608679040499516,6.684619998726561,6.397721749434087,6.347509974717245,6.557198571381182,6.698713800729355,6.844371851769947,6.5281620429096945,6.819122985339338,6.63279758212469,6.342507553307688,6.4094691598436695,6.60049330369075,6.521349184267631,6.706510627492768,6.689483424472747,6.5531443455978104,6.6990948491156805,6.520899043889776,6.414670958513769,6.4455323868925865
6J6Y_1_ms_1K0.9.csv,6.4611355671433754,6.282035087618924,6.460511614865911,6.4732541732215285,6.276018096650078,6.331889331935938,5.981397464145676,6.207018100715674,0.0,6.391874009570783,6.485227675388976,6.492154108978548,6.648484724685723,6.5736754767428405,6.584033310426048,6.476022951537879,6.565201724787774,6.567727581115441,6.606789378280333,6.553220311786291,6.5342961398397295,6.47703110936359,6.53835024771945,6.552708295439388,6.479789464287155,6.658594591664458,6.581972013544212,6.353558548598466,6.576129115623217,6.3293074150570945,6.5540777103015255,6.531233794760482,6.682373105888334,6.439321104247565,6.3653930119504585,6.58886118499936,6.458382500654559,6.2171319994645735,6.347445957655859,6.393482182033793,6.4970595074174815,6.444983269907081,6.368915428828571,6.346298235031732,6.618682361166214,6.461759130347146,6.3279782538267435,6.510911234213487,6.509268184460184,6.473254173221528,6.55008699087199,6.729189153743796,6.485227675388976,6.745199208258851,6.561668774842345,6.546061181466681,6.541462830167309,6.241579407929573,6.603405233582753,6.427426937029447,6.455020742697858,6.548140478227167,6.605368763028862,6.427426937029446,6.583959649373391,6.331889331935938,6.323592901401227,6.35797041868637,6.518762264138965,6.585062367699139,6.404196014800082,6.18685477289396,6.469462917732498,6.4100600063522775,6.38819105833009,6.176698073208571,6.3141141363719475,6.502404855126517,6.543479930298777,6.304404737312303,6.686816259787391,6.483013212020477,6.247677727891825,6.358569441332023,6.422809625043921,6.4330710003148655,6.59234963681686,6.472776553275851,6.629500461635765,6.321150990027628,6.63751842526328,6.383388536672512,6.482011070109448,6.2888006514053085,6.525534112293995,6.6010176948288075,6.4030290542429125,6.451705327536012,6.462776415017967,6.200821130845954,6.669447434799985
6J6Y_1_ms_1K0.10.csv,6.428565786742753,6.44998300161729,6.255885522704052,6.603405233582753,6.205697226149698,6.3580627565327275,6.36959921151319,6.474875272321444,6.391874009570783,0.0,6.337486044800094,6.613461184119898,6.524441902541031,6.52193631923932,6.388772254114158,6.59523068977307,6.514036352536903,6.535300311498994,6.531156139777933,6.634638775861049,6.578627555450703,6.567727581115441,6.519801757134355,6.270820315527362,6.234635599043599,6.4088998727766775,6.498041525309778,6.455585286423001,6.543977552221089,6.446165752863168,6.278092323647653,6.364110989425777,6.6424986795755325,6.414082830898281,6.324308376527272,6.55515697108733,6.381026621160417,6.3293074150570945,6.40064673670085,6.491705600986215,5.933683877435678,6.074418681280915,6.394149376593027,6.276768419974211,6.55925486234629,6.42564070214175,6.567727581115441,6.475490329156184,6.553713111399046,6.428565786742753,6.451075461545569,6.462776415017967,6.473254173221528,6.483623285391339,6.450529380765008,6.20063892928081,6.531156139777933,6.337486044800094,6.391205294662325,6.403029054242913,6.483699482287073,6.502404855126517,6.224777228172146,6.3900230665288555,6.3524178241259825,6.372669925496136,6.564278690077829,6.491161090332302,6.66358593197448,6.484151594685426,6.41702013802913,6.409403346733789,6.3953045312535,6.455564376996669,6.284072063293698,6.400133138757727,6.540522559899275,6.435398735234103,6.4301805308023425,6.433071000314866,6.277418097465051,6.49924311691366,6.253272326510103,6.422809625043921,6.122937392379715,6.45784039664248,6.502923337089847,6.4847557414676675,6.675211868407918,6.4088998727766775,6.595776021414656,6.513444559470577,6.50457683624388,6.244371904215706,6.566175351473915,6.631413463443814,6.62724503765519,6.583555231867481,6.509288000601374,6.427426937029447,6.418089537146392
