,6J6Y_1_ms_1K0.1.pdb_ringEdges,6J6Y_1_ms_1K0.2.pdb_ringEdges,6J6Y_1_ms_1K0.3.pdb_ringEdges,6J6Y_1_ms_1K0.4.pdb_ringEdges,6J6Y_1_ms_1K0.5.pdb_ringEdges,6J6Y_1_ms_1K0.6.pdb_ringEdges,6J6Y_1_ms_1K0.7.pdb_ringEdges,6J6Y_1_ms_1K0.8.pdb_ringEdges,6J6Y_1_ms_1K0.9.pdb_ringEdges,6J6Y_1_ms_1K0.10.pdb_ringEdges,6J6Y_1_ms_1K0.11.pdb_ringEdges,6J6Y_1_ms_1K0.12.pdb_ringEdges,6J6Y_1_ms_1K0.13.pdb_ringEdges,6J6Y_1_ms_1K0.14.pdb_ringEdges,6J6Y_1_ms_1K0.15.pdb_ringEdges,6J6Y_1_ms_1K0.16.pdb_ringEdges,6J6Y_1_ms_1K0.17.pdb_ringEdges,6J6Y_1_ms_1K0.18.pdb_ringEdges,6J6Y_1_ms_1K0.19.pdb_ringEdges,6J6Y_1_ms_1K0.20.pdb_ringEdges,6J6Y_1_ms_1K0.21.pdb_ringEdges,6J6Y_1_ms_1K0.22.pdb_ringEdges,6J6Y_1_ms_1K0.23.pdb_ringEdges,6J6Y_1_ms_1K0.24.pdb_ringEdges,6J6Y_1_ms_1K0.25.pdb_ringEdges,6J6Y_1_ms_1K0.26.pdb_ringEdges,6J6Y_1_ms_1K0.27.pdb_ringEdges,6J6Y_1_ms_1K0.28.pdb_ringEdges,6J6Y_1_ms_1K0.29.pdb_ringEdges,6J6Y_1_ms_1K0.30.pdb_ringEdges,6J6Y_1_ms_1K0.31.pdb_ringEdges,6J6Y_1_ms_1K0.32.pdb_ringEdges,6J6Y_1_ms_1K0.33.pdb_ringEdges,6J6Y_1_ms_1K0.34.pdb_ringEdges,6J6Y_1_ms_1K0.35.pdb_ringEdges,6J6Y_1_ms_1K0.36.pdb_ringEdges,6J6Y_1_ms_1K0.37.pdb_ringEdges,6J6Y_1_ms_1K0.38.pdb_ringEdges,6J6Y_1_ms_1K0.39.pdb_ringEdges,6J6Y_1_ms_1K0.40.pdb_ringEdges,6J6Y_1_ms_1K0.41.pdb_ringEdges,6J6Y_1_ms_1K0.42.pdb_ringEdges,6J6Y_1_ms_1K0.43.pdb_ringEdges,6J6Y_1_ms_1K0.44.pdb_ringEdges,6J6Y_1_ms_1K0.45.pdb_ringEdges,6J6Y_1_ms_1K0.46.pdb_ringEdges,6J6Y_1_ms_1K0.47.pdb_ringEdges,6J6Y_1_ms_1K0.48.pdb_ringEdges,6J6Y_1_ms_1K0.49.pdb_ringEdges,6J6Y_1_ms_1K0.50.pdb_ringEdges,6J6Y_1_ms_1K0.51.pdb_ringEdges,6J6Y_1_ms_1K0.52.pdb_ringEdges,6J6Y_1_ms_1K0.53.pdb_ringEdges,6J6Y_1_ms_1K0.54.pdb_ringEdges,6J6Y_1_ms_1K0.55.pdb_ringEdges,6J6Y_1_ms_1K0.56.pdb_ringEdges,6J6Y_1_ms_1K0.57.pdb_ringEdges,6J6Y_1_ms_1K0.58.pdb_ringEdges,6J6Y_1_ms_1K0.59.pdb_ringEdges,6J6Y_1_ms_1K0.60.pdb_ringEdges,6J6Y_1_ms_1K0.61.pdb_ringEdges,6J6Y_1_ms_1K0.62.pdb_ringEdges,6J6Y_1_ms_1K0.63.pdb_ringEdges,6J6Y_1_ms_1K0.64.pdb_ringEdges,6J6Y_1_ms_1K0.65.pdb_ringEdges,6J6Y_1_ms_1K0.66.pdb_ringEdges,6J6Y_1_ms_1K0.67.pdb_ringEdges,6J6Y_1_ms_1K0.68.pdb_ringEdges,6J6Y_1_ms_1K0.69.pdb_ringEdges,6J6Y_1_ms_1K0.70.pdb_ringEdges,6J6Y_1_ms_1K0.71.pdb_ringEdges,6J6Y_1_ms_1K0.72.pdb_ringEdges,6J6Y_1_ms_1K0.73.pdb_ringEdges,6J6Y_1_ms_1K0.74.pdb_ringEdges,6J6Y_1_ms_1K0.75.pdb_ringEdges,6J6Y_1_ms_1K0.76.pdb_ringEdges,6J6Y_1_ms_1K0.77.pdb_ringEdges,6J6Y_1_ms_1K0.78.pdb_ringEdges,6J6Y_1_ms_1K0.79.pdb_ringEdges,6J6Y_1_ms_1K0.80.pdb_ringEdges,6J6Y_1_ms_1K0.81.pdb_ringEdges,6J6Y_1_ms_1K0.82.pdb_ringEdges,6J6Y_1_ms_1K0.83.pdb_ringEdges,6J6Y_1_ms_1K0.84.pdb_ringEdges,6J6Y_1_ms_1K0.85.pdb_ringEdges,6J6Y_1_ms_1K0.86.pdb_ringEdges,6J6Y_1_ms_1K0.87.pdb_ringEdges,6J6Y_1_ms_1K0.88.pdb_ringEdges,6J6Y_1_ms_1K0.89.pdb_ringEdges,6J6Y_1_ms_1K0.90.pdb_ringEdges,6J6Y_1_ms_1K0.91.pdb_ringEdges,6J6Y_1_ms_1K0.92.pdb_ringEdges,6J6Y_1_ms_1K0.93.pdb_ringEdges,6J6Y_1_ms_1K0.94.pdb_ringEdges,6J6Y_1_ms_1K0.95.pdb_ringEdges,6J6Y_1_ms_1K0.96.pdb_ringEdges,6J6Y_1_ms_1K0.97.pdb_ringEdges,6J6Y_1_ms_1K0.98.pdb_ringEdges,6J6Y_1_ms_1K0.99.pdb_ringEdges,6J6Y_1_ms_1K0.100.pdb_ringEdges,6J6Y_1_ms_1K0.101.pdb_ringEdges
6J6Y_1_ms_1K0.1.pdb_ringEdges,0.0,27.189375423542387,24.484649441076915,30.278096155407752,25.141116286977805,28.031275875073312,28.358745504728216,27.073219670016563,27.17564229196034,27.182911536692522,27.510527552440596,30.17384902607794,26.759899719724466,27.529595724904862,25.50659537780359,26.66156099990129,26.996349987014174,28.362220187788253,29.98073815292372,29.949001960776638,26.867185023146025,27.68373747145335,28.584638416430238,29.711689046895646,25.767274345271115,27.159954101509772,27.102717235609404,29.802505270335086,29.012032990682126,28.11776552046906,28.560139239822682,27.612154352045152,28.192386908732143,27.67465280300715,29.334511965141175,28.03752686349779,28.987091201268896,27.605807043523882,27.944535912744044,26.66157920726459,26.655005540955163,26.84111829018981,24.65472246458731,26.770128984097997,25.421113463197056,25.034306558288563,27.341777841500754,26.220572964791263,28.24121136597148,28.006292635485813,29.304660154932993,27.96603348932799,27.86296215756996,26.924922586902284,28.27568855230226,26.560043718527613,29.482560255569766,28.193196177085223,27.01860200619072,28.704216394720696,27.778422861981024,29.78155094515781,28.749520890900282,27.847661176653773,26.149922497054224,26.133618567230155,26.299691754995305,28.102603272288007,28.12128724145653,28.867625566112007,29.170323395366946,28.682476636779786,27.678230904799864,31.338722596503253,25.210646541275516,27.840548064017263,27.607741281038866,29.811690545889622,29.387402360122426,30.36795385532625,27.015799045341105,28.438077850738456,27.84056550033856,27.149853832144235,26.671846179834976,28.5819890330848,31.559929122442487,26.579793770704935,30.498766487868888,28.371067581748783,26.48828280983109,28.35256533658021,26.924922586902277,29.41119593967479,30.102365807100064,28.987091201268896,29.160919452256163,28.833081728142563,27.772131033392505,28.374574972224163,28.0223212000165
6J6Y_1_ms_1K0.2.pdb_ringEdges,27.189375423542387,0.0,23.112578007135486,25.5986574283872,23.191478180447564,24.852750819596846,24.85978153291132,27.408523938111305,24.658738776714703,26.999172946700167,25.392644757232187,25.868994073387025,25.12506581163193,24.859781532911317,27.778422861981024,24.097334985389132,25.785579623209077,25.75753259605613,26.850466901257697,25.02730547656852,23.292671458837027,22.260047366029223,26.395608637419343,25.328406095524585,26.48456227380306,26.11061235723712,24.378089796699065,26.11061235723712,25.946266356916915,25.31067160482668,29.232878151980604,25.537902537589463,26.638154255426993,25.740093767981246,23.308671664367374,24.105552677814988,26.49115991039387,22.365433627793227,24.386212880248085,25.235377386610672,27.34902067787503,25.771117271800502,23.890831811810045,23.442493157445817,27.694449340469752,26.999172946700167,26.120222422817854,26.231012550366344,24.563154188526386,24.456956442832432,24.431437649697752,27.63749387989378,24.84478027264716,27.0889580915442,27.26931487919312,24.946291823198017,25.932773431780845,24.838663879141563,25.428006118168838,23.90547729413063,23.203280651875705,25.93275471272368,25.296858855620115,24.281420441168134,25.784713616999518,23.6963189964303,23.8876415218357,21.770091713263046,24.56627651370011,24.295830478515803,24.866810258398353,24.292693375916794,21.849329598033343,24.68710995759231,25.970296699876428,26.312996530379586,23.195726924863045,24.695131393922722,28.420422029757326,24.396502216267614,27.70627842344891,26.730005684314698,23.30769280064677,24.079641322361784,22.50926454354435,27.612154352045152,25.1628868333188,25.1628868333188,27.275722695167772,26.847628305514608,26.32629458180106,24.09008175235095,23.62748933820911,27.750465753110596,24.06510183260385,25.016363576706002,24.08689769930325,24.478423231153922,23.41259307644302,22.718283129442582,28.012549198910122
6J6Y_1_ms_1K0.3.pdb_ringEdges,24.484649441076915,23.112578007135486,0.0,25.04041393621695,21.522916213424654,24.45602353978753,25.22061878008718,28.23502266431479,27.159114045346843,24.474377328771183,26.30923275497294,26.911072539806348,27.778422861981024,23.711084622610233,24.957264444319417,27.696359860360065,24.460072478042022,25.410322036908905,27.535942971683518,27.35540982332275,26.319655617896313,25.21669195985189,26.38146230590828,23.58201964390323,22.68543863833347,24.83068881034349,24.577418793744545,25.928954464298236,26.668151253173452,26.388104115963927,25.275165292882367,26.931430369506437,26.28927944224097,26.289279442240975,23.30769280064677,25.420215944023322,25.92513493425298,25.672886230002295,26.050194267206997,25.774074428024765,25.949184846055537,27.025087230309293,23.889876801529006,24.97524988455806,24.8557977062023,27.850380416080306,26.65414957038377,23.385934699035946,24.914221773957593,25.570386391178673,25.567405676167258,24.21643909269276,23.30344363901812,24.38121591144275,25.14109697848434,22.578149072365996,26.83091609044365,24.669839295661966,22.074938564384727,26.510979590255666,23.999534785135182,25.217577472712044,24.739771839683822,25.210646541275512,23.088853276658604,24.675997535437816,25.949184846055534,26.03966354755575,25.696284344749426,26.510979590255666,25.227546971784495,25.227546971784495,25.76431640855237,27.535960600886856,25.220599532459573,25.388744543883305,26.213018332444822,25.231472102634445,27.737027931027555,26.77950237724399,26.497774224167443,25.665151470427773,27.178428767889862,26.98534301920357,22.291449882501556,27.768547549515617,25.505700866649992,22.60137894238067,28.444239439323287,25.78763156529839,28.37106758174878,27.690049385139375,26.934242110337046,26.549715227112657,26.120222422817854,28.00547796622128,25.770213105349878,24.47749114626609,25.299852257905492,26.661579207264595,28.67025453576637
6J6Y_1_ms_1K0.4.pdb_ringEdges,30.278096155407752,25.5986574283872,25.04041393621695,0.0,26.032951486660075,24.28142044116813,23.104007133635253,28.416937380672962,28.002756452393037,28.69122527475938,28.210994207485108,25.50570086664999,27.78745613485702,27.725194458596526,26.92124436310947,27.345399499484532,27.834270278592694,28.033994620262966,30.418281421871868,27.86296215756996,30.430551204372602,28.860780658086426,30.4955193270934,27.09175348323024,28.37377087710424,28.01797273388112,27.26846038996034,28.19238690873214,25.05436806673243,25.14109697848434,28.74872728293116,29.247454457320053,26.837428580539065,26.83742858053906,23.48953495553254,25.051325953706243,25.03339517097928,27.440438588020303,25.696284344749426,28.050007355103496,28.827003252243465,28.21369563455352,25.604592276212266,28.288063968868514,27.702686421202138,28.818278988924657,28.033994620262966,25.12717169284188,27.434033855636944,29.49107154667112,26.794579947502587,29.10082906769471,27.205028804120218,29.107634203624997,25.678785017987146,27.284922398483435,24.851832774123736,25.966483251052413,26.823533356878503,25.262197861166,25.889271309406137,29.34642433686299,28.247398711750144,28.355253276060072,29.481786379989607,26.160390276474793,25.966483251052413,27.271255182394924,23.214094312664503,26.520444577392087,26.84961716202996,26.510100657922916,25.94244937571723,28.361415742388857,26.312129433776484,28.033977304248978,29.10761752631523,28.703421534148003,26.696387159663416,24.605883738713953,29.011229831061637,26.934224087292126,26.846778476441227,28.182656651251516,26.32255114971053,27.09175348323024,26.761876956828498,26.215907125403234,28.94477500344408,27.17842876788986,30.298675032711667,25.05830095201873,28.133730575885345,26.202553051330092,27.859407781604915,29.172919348275244,27.021422641182294,28.217205382738587,26.7365427541895,24.85886374708461,27.506927635800512
6J6Y_1_ms_1K0.5.pdb_ringEdges,25.141116286977805,23.191478180447564,21.522916213424654,26.032951486660075,0.0,22.35318877797282,24.56627651370011,26.96308155590329,25.109295072325846,24.739771839683822,23.36672599007286,26.627874292184668,26.661579207264595,25.30675875798702,26.120222422817854,26.549715227112657,27.915910485822028,27.092613545722475,25.686496773691335,27.58043840340963,26.57981203407938,25.289028282168367,27.312538462793135,27.664740448406,26.552585671177933,27.395751211931028,26.47794465962302,25.10627895006441,26.38234552384997,24.466283516836278,26.601554812578215,25.5810913178017,27.076034615235628,24.523477952235634,23.18392060798351,25.491974750870718,24.710537825220463,26.10681940446742,25.57425890317455,24.35966345998023,26.019484857179837,24.936209878544034,25.474354132079636,24.285498489699663,25.50271259130221,26.560025441559947,28.250096657623132,24.460072478042022,26.25884964095001,26.88221341441685,25.26915307420056,26.30925120616562,25.851611656581866,27.335385509827272,25.570386391178676,23.85736335825415,27.928445324658302,26.20720274520263,25.851611656581866,24.378089796699065,25.206718167518357,27.073201739491132,27.825234757686943,28.903203034111446,26.924075197538716,24.173021148716842,25.65537094357492,26.289260977031052,27.001995611256074,26.223460925526638,23.582019643903227,26.212999813514326,25.652400103459367,26.21677740447382,25.66218176257691,25.644678094355324,25.026413231290295,27.43127334415146,28.15160068911223,26.494897841857902,26.030023740333604,26.647574071263904,25.28900908660767,26.702932459596052,21.73335765480008,27.990254892230613,26.995504839758027,26.12312147749875,29.160919452256163,26.914734117604805,28.588102624177186,25.83806930176323,26.295926075256236,25.928935742484015,27.746896966366112,28.733103941898158,27.072358991399778,26.38521577797852,24.647613563364164,25.13806536106326,28.108838398562575
6J6Y_1_ms_1K0.6.pdb_ringEdges,28.031275875073312,24.852750819596846,24.45602353978753,24.28142044116813,22.35318877797282,0.0,23.685725495179803,25.868994073387025,26.474204334514607,26.996349987014177,26.120203838096103,25.85838956082943,28.451184560798563,25.029419582966668,24.757915278392076,26.319637173997574,26.303456895628663,28.692020473207396,27.19578422497964,28.01334633376625,28.208309730717268,26.467602471371016,27.931174079098327,25.331414933324844,27.532364009673525,27.31978905091342,27.944518541296347,25.41034114082699,26.30345689562866,24.967318444143398,26.026219042917162,26.922091841575288,27.198586485259074,26.648448469380796,23.497944549646324,26.986206473045193,26.28927944224097,27.44763770407176,27.434883187904802,26.126912063628637,26.992681496452573,25.950064070108176,25.392644757232187,27.10637083428592,27.709817404351934,27.85393594400649,27.328973920255066,24.015064042614476,25.13412564313032,28.493433070715447,26.80195254443556,27.43127334415146,27.17926822707382,27.77211355410562,25.475230688666546,23.025777028517215,27.17003274955059,26.485405396729863,25.601615543684012,26.501492905374093,26.210110700121476,27.697183621850893,27.089782403696283,27.885340826493582,26.846778476441227,24.665805110467694,25.757513749644158,26.60611653160237,26.023290539158147,27.872786602880414,25.24532062763779,27.192124787986653,25.427987027522367,28.68591210678265,25.60842170333665,24.298947198417,26.77580417691296,26.330055918288423,26.5666226098314,24.585456273865972,29.6475739441982,26.745927917987366,26.136516136014695,26.48742145142921,23.909619463986086,27.77211355410562,28.127500967551537,26.043447641365475,30.81704546613995,26.66156099990129,29.03009820758016,24.8557977062023,27.111975643633425,26.056883256608895,28.009811041188904,29.956602915758463,27.169175137826766,28.358728387009112,26.950890253141814,23.931556937978964,25.80210347412244
6J6Y_1_ms_1K0.7.pdb_ringEdges,28.358745504728216,24.85978153291132,25.22061878008718,23.104007133635253,24.56627651370011,23.685725495179803,0.0,26.89239615344433,23.65196680998397,26.480822883409896,27.529595724904866,25.851630434394377,28.603007513807924,27.377370004248323,26.02621904291716,26.992681496452573,26.794579947502584,26.853305196939928,28.176437860124157,26.126912063628637,28.189683439641275,26.66443760910231,28.917945515121488,26.38146230590828,25.5909192025427,27.503327247966542,27.592298770785874,25.203713703857616,25.40644364409898,25.675835793393784,29.217513699767775,26.556314956666537,28.018787039850015,26.817868264506558,23.28089345364565,27.351807238705486,27.162760058222794,23.58944967400323,24.180289654323644,25.601615543684012,27.325350085251504,25.41332117618405,25.2275469717845,25.67969240356567,28.355253276060072,29.285952098083875,25.21366943175057,26.385215777978516,26.37857324067383,26.824383922385525,27.977747745879043,27.43045929413832,26.674703481486794,28.281885519598763,25.841018796231417,25.862218948343155,25.94244937571723,23.700497721208528,28.33941301609983,25.054368066732433,26.93791855935942,28.52758841842182,27.737010429619424,25.02639383430053,28.51451682744973,26.51096127946262,24.658738776714703,24.935294905792393,26.223460925526638,27.37377030974862,24.66489978802669,21.648067695557895,26.11643086574139,27.51328011205267,25.76343084552288,23.489514289431337,26.223460925526638,24.2845590000157,27.71451198843816,21.988567197037685,30.095801726377037,26.385215777978512,25.22752772944283,26.289260977031052,26.136534709137376,26.559166409892285,26.401364336620038,26.2092216780826,29.088799432551106,24.451973931079973,28.861554365424443,25.959733569324094,26.944405186861847,24.540831835625845,25.392644757232187,28.679006902143684,25.413302074506145,25.966483251052413,27.9221699159563,23.504409832059157,26.480822883409896
6J6Y_1_ms_1K0.8.pdb_ringEdges,27.073219670016563,27.408523938111305,28.23502266431479,28.416937380672962,26.96308155590329,25.868994073387025,26.89239615344433,0.0,24.897128153489167,27.75594049946263,26.182518439689122,28.49610772263129,28.855498710388694,28.764342138153932,26.11643086574139,25.67197860385705,28.08743283917465,29.223510949798808,30.78541452657113,29.6881362987508,27.592298770785874,30.461068579895997,31.142609651766996,28.845992132979642,27.08248816206784,29.041399976952906,27.990254892230613,30.044158439049024,28.59076841980559,26.12982895399527,28.648489006055765,29.623953834299364,27.430459294138327,27.046507948957302,28.42040494918623,28.891091111812806,29.690686977634662,27.664757995533908,27.501385666766573,28.903203034111446,28.07144145288445,28.407284037861977,26.888713480219916,28.006292635485813,30.814572268290064,30.00003236244211,29.06210290468877,29.799947872502806,29.46989577995746,27.915910485822028,30.438063804311547,28.65804416120598,28.064402356217233,28.32087295017926,29.283349588235243,25.763430845522883,25.099297943997442,27.073219670016567,30.952343575495785,29.23546855036232,28.167529333220994,32.109385253523996,28.502239734850903,27.421290714808087,26.7393931425354,27.39851530241557,27.928445324658302,28.03750954966532,28.1418563294944,29.860419625219198,29.083558896019817,28.90924869646695,27.762253482860554,27.755957988934483,27.595869959741304,28.09907920959663,26.843939490667942,30.80321191170932,30.570053243980567,28.34021808605307,29.39594120322229,30.57253034425654,26.576067779880034,26.732838610857918,28.75482230557587,31.313200169487153,32.78636349258579,28.524116861323645,32.35308841667343,30.17709862716095,26.38519737990793,27.752372416737323,28.682459712263732,28.346383821012452,31.379496738061015,31.234829327319805,28.748727282931164,31.075807716658296,28.04375914859609,26.2272370097395,27.095408560280926
6J6Y_1_ms_1K0.9.pdb_ringEdges,27.17564229196034,24.658738776714703,27.159114045346843,28.002756452393037,25.109295072325846,26.474204334514607,23.65196680998397,24.897128153489167,0.0,28.161307201565982,28.806131359200183,27.417696786699267,29.863735842097903,29.617267332957066,29.699906835197623,28.176437860124157,28.031293192756078,29.767236175274387,28.85812298358858,29.310623012130335,28.346400946186144,27.66751275658734,28.416134484287745,29.080153710147858,28.48648120864503,31.00247406350425,28.263307717017078,26.44114181692094,29.455446032455097,26.7160545892453,28.250113841165945,27.791019713192068,31.00247406350425,27.341777841500754,26.830897997991826,28.52066190220358,27.680142544107987,25.475249743909554,26.7103667013463,26.969562131287912,28.336723574058844,27.34539949948453,26.463860684527834,25.87280312891461,29.784875943194013,26.85699272540446,26.27219357685625,27.62756819323492,28.581173788800772,28.324369417740307,28.4995826915454,30.796781448275024,28.489957351721568,31.540157789682336,27.78116635210797,28.905839770114532,28.5057139562464,26.097185802230047,29.31582295839836,27.844104847476824,27.421290714808087,29.918984459168435,30.315268990734417,28.167529333220994,28.1977758539002,27.149853832144238,26.282612658473298,26.726300634975072,28.272186064299486,29.790742681486883,27.664740448405997,24.809526826588698,27.687296866378837,27.005644861193986,26.302589484539993,25.37493603224997,26.732838610857918,28.01878703985001,28.41961923181861,26.027095664669638,30.415791759372556,27.752389908457776,25.559657988808365,26.12603879107245,27.17926822707382,27.255622026268927,29.407828691515395,27.943684699107028,30.317782919683452,26.480804551764265,30.57003736448519,25.949184846055534,27.937430089398006,25.87190251616271,28.984461856764128,30.086670919034766,27.667495211206546,28.164013394497562,27.255622026268927,24.862827557917832,30.564320210057247
6J6Y_1_ms_1K0.10.pdb_ringEdges,27.182911536692522,26.999172946700167,24.474377328771183,28.69122527475938,24.739771839683822,26.996349987014177,26.480822883409896,27.75594049946263,28.161307201565982,0.0,24.690196946211657,29.399309812914474,27.27851674355034,27.387386367429002,26.38810411596393,29.321783545535958,29.13428900997081,28.50491356042638,28.179142599978164,28.866835205080633,29.313223100568287,28.524133879790885,28.58810262417719,26.199644257571556,24.665824791021286,27.671074238535883,27.752372416737327,26.665293249422003,27.52878458236987,27.77211355410562,25.482108705475515,26.730005684314698,29.48178637998961,27.328973920255066,26.641871563168202,28.18348342316965,26.126930643578664,26.374837228596355,25.700137886374105,26.514714727625858,22.043205588601673,23.088832251919595,26.306354210431007,25.48509939674823,28.21099420748511,28.154290573017533,28.20479887557526,28.09636676231857,29.387385841580787,26.847628305514608,28.468036922373017,26.92124436310947,26.677560477107157,27.768565031047178,27.414899216103773,24.544886561373236,27.528766948571068,25.41332117618405,27.162742186804287,26.667277501094656,27.624809448888147,27.693625497646288,25.63786262542182,27.49695481815842,26.29302761134356,26.664419403690818,28.214504291714672,27.931174079098327,30.489772278458133,27.522418046851044,26.84025016884557,25.61141659873924,27.15266083261939,27.17199800765774,25.577219840265723,26.67468528308174,28.76170930821216,27.018602006190722,28.06168655706897,26.58266096683458,25.21667270922698,27.784713265789467,24.687090294007252,27.837810426116302,23.4853186943409,27.924899283614277,27.774857667440944,27.787438665210168,29.872154777785315,27.671074238535883,29.644233545906918,27.84684186656987,27.788277195870997,26.37192903025299,27.868432222913217,30.10488138982027,29.508859949750377,28.053537582162207,28.099891165183305,27.51687919762523,27.64852214312783
