,CDK6-P16INK4A0.pdb_ringEdges,CDK6-P16INK4A1.pdb_ringEdges,CDK6-P16INK4A2.pdb_ringEdges,CDK6-P16INK4A3.pdb_ringEdges,CDK6-P16INK4A4.pdb_ringEdges,CDK6-P16INK4A5.pdb_ringEdges,CDK6-P16INK4A6.pdb_ringEdges,CDK6-P16INK4A7.pdb_ringEdges,CDK6-P16INK4A8.pdb_ringEdges,CDK6-P16INK4A9.pdb_ringEdges,CDK6-P16INK4A10.pdb_ringEdges,CDK6-P16INK4A11.pdb_ringEdges,CDK6-P16INK4A12.pdb_ringEdges,CDK6-P16INK4A13.pdb_ringEdges,CDK6-P16INK4A14.pdb_ringEdges,CDK6-P16INK4A15.pdb_ringEdges,CDK6-P16INK4A16.pdb_ringEdges,CDK6-P16INK4A17.pdb_ringEdges,CDK6-P16INK4A18.pdb_ringEdges,CDK6-P16INK4A19.pdb_ringEdges,CDK6-P16INK4A20.pdb_ringEdges,CDK6-P16INK4A21.pdb_ringEdges,CDK6-P16INK4A22.pdb_ringEdges,CDK6-P16INK4A23.pdb_ringEdges,CDK6-P16INK4A24.pdb_ringEdges,CDK6-P16INK4A25.pdb_ringEdges,CDK6-P16INK4A26.pdb_ringEdges,CDK6-P16INK4A27.pdb_ringEdges,CDK6-P16INK4A28.pdb_ringEdges,CDK6-P16INK4A29.pdb_ringEdges,CDK6-P16INK4A30.pdb_ringEdges,CDK6-P16INK4A31.pdb_ringEdges,CDK6-P16INK4A32.pdb_ringEdges,CDK6-P16INK4A33.pdb_ringEdges,CDK6-P16INK4A34.pdb_ringEdges,CDK6-P16INK4A35.pdb_ringEdges,CDK6-P16INK4A36.pdb_ringEdges,CDK6-P16INK4A37.pdb_ringEdges,CDK6-P16INK4A38.pdb_ringEdges,CDK6-P16INK4A39.pdb_ringEdges,CDK6-P16INK4A40.pdb_ringEdges,CDK6-P16INK4A41.pdb_ringEdges,CDK6-P16INK4A42.pdb_ringEdges,CDK6-P16INK4A43.pdb_ringEdges,CDK6-P16INK4A44.pdb_ringEdges,CDK6-P16INK4A45.pdb_ringEdges,CDK6-P16INK4A46.pdb_ringEdges,CDK6-P16INK4A47.pdb_ringEdges,CDK6-P16INK4A48.pdb_ringEdges,CDK6-P16INK4A49.pdb_ringEdges,CDK6-P16INK4A50.pdb_ringEdges,CDK6-P16INK4A51.pdb_ringEdges,CDK6-P16INK4A52.pdb_ringEdges,CDK6-P16INK4A53.pdb_ringEdges,CDK6-P16INK4A54.pdb_ringEdges,CDK6-P16INK4A55.pdb_ringEdges,CDK6-P16INK4A56.pdb_ringEdges,CDK6-P16INK4A57.pdb_ringEdges,CDK6-P16INK4A58.pdb_ringEdges,CDK6-P16INK4A59.pdb_ringEdges,CDK6-P16INK4A60.pdb_ringEdges,CDK6-P16INK4A61.pdb_ringEdges,CDK6-P16INK4A62.pdb_ringEdges,CDK6-P16INK4A63.pdb_ringEdges,CDK6-P16INK4A64.pdb_ringEdges,CDK6-P16INK4A65.pdb_ringEdges,CDK6-P16INK4A66.pdb_ringEdges,CDK6-P16INK4A67.pdb_ringEdges,CDK6-P16INK4A68.pdb_ringEdges,CDK6-P16INK4A69.pdb_ringEdges,CDK6-P16INK4A70.pdb_ringEdges,CDK6-P16INK4A71.pdb_ringEdges,CDK6-P16INK4A72.pdb_ringEdges,CDK6-P16INK4A73.pdb_ringEdges,CDK6-P16INK4A74.pdb_ringEdges,CDK6-P16INK4A75.pdb_ringEdges,CDK6-P16INK4A76.pdb_ringEdges,CDK6-P16INK4A77.pdb_ringEdges,CDK6-P16INK4A78.pdb_ringEdges,CDK6-P16INK4A79.pdb_ringEdges,CDK6-P16INK4A80.pdb_ringEdges,CDK6-P16INK4A81.pdb_ringEdges,CDK6-P16INK4A82.pdb_ringEdges,CDK6-P16INK4A83.pdb_ringEdges,CDK6-P16INK4A84.pdb_ringEdges,CDK6-P16INK4A85.pdb_ringEdges,CDK6-P16INK4A86.pdb_ringEdges,CDK6-P16INK4A87.pdb_ringEdges,CDK6-P16INK4A88.pdb_ringEdges,CDK6-P16INK4A89.pdb_ringEdges,CDK6-P16INK4A90.pdb_ringEdges,CDK6-P16INK4A91.pdb_ringEdges,CDK6-P16INK4A92.pdb_ringEdges,CDK6-P16INK4A93.pdb_ringEdges,CDK6-P16INK4A94.pdb_ringEdges,CDK6-P16INK4A95.pdb_ringEdges,CDK6-P16INK4A96.pdb_ringEdges,CDK6-P16INK4A97.pdb_ringEdges,CDK6-P16INK4A98.pdb_ringEdges,CDK6-P16INK4A99.pdb_ringEdges,CDK6-P16INK4A100.pdb_ringEdges
CDK6-P16INK4A0.pdb_ringEdges,0.0,39.69864530464983,41.444997344408854,41.31308184712591,39.7292421640136,40.29235841126045,39.94078543873945,42.352170445721235,39.01403124705709,41.12827049787468,40.99513356009179,40.30284139350786,41.074898868690816,40.03235276988713,39.72838267843167,41.5813161607295,39.36468641543295,39.84520046379495,42.68132624176651,38.405360398218875,42.27223040501461,41.78391568242624,39.42360318140498,45.23052066912353,41.5655110315882,43.54577070556305,44.2584648097636,43.98697146356629,43.89366307949925,44.09233106263032,44.59454193880366,43.90001944552056,43.68390896473247,42.669106891600606,43.94747419141273,42.70448654101483,43.46262762420156,44.27714270200447,43.745650654888216,47.27340303115858,45.52777763723348,43.89849711300487,45.70696696640792,47.27737560295042,44.008801780397874,44.992281180816676,45.87884362844096,44.543648092246144,43.5430821141546,43.67423753644994,43.758360873568755,43.683305959052646,45.4136865584515,44.44540635815442,42.926516905737245,42.72995179599216,44.92063461967291,44.39967040088618,42.71792906280268,44.79312882847004,44.76599319060702,42.72384380259226,42.551718889932204,44.32665882882263,42.340662575319726,45.47956925381117,43.70570091741964,43.50275572992555,44.32665882882263,42.2949919194155,44.78689921688511,41.584964449818756,45.479569253811164,45.48570399908848,44.095174228524286,43.57444988668058,43.96278914341424,40.92924293007721,41.19796348270092,46.00645765913166,44.94484424703521,45.20723015775901,43.57505439874593,44.7906893635111,44.76919672732319,46.933715584178884,43.76741186617531,44.24608567501747,44.85992290371038,46.47420475185222,45.959324540240274,43.88541621196692,42.650525402076575,44.38427539612462,42.17316219773073,46.10023014597872,45.4764157585436,44.58887534888112,44.835852378834005,44.9206346196729,46.76498585949788
CDK6-P16INK4A1.pdb_ringEdges,39.69864530464983,0.0,33.55252162382245,36.56939944283688,36.76953935515438,34.296995530789935,35.205847629578166,34.807694691778984,34.85981682780754,32.71486571918628,37.898632448459395,33.18846405517229,37.803187373682675,39.199776007324274,37.83333154256654,39.182337982260606,38.21954550405577,37.4714850936276,38.06492528017585,38.36848300108936,37.90103930616955,38.14090691747915,38.66176027183809,39.23287571138994,40.60335201829963,38.61984830274238,38.87822137856848,41.378549880873166,40.273528193724694,40.81739227578272,40.51577229768741,41.08867270173436,40.1382124360438,38.77981622366806,38.86043821853519,38.43876346327194,39.45117389826599,38.555768920787635,40.84982610346014,40.544657703484056,39.216795804485834,38.59491941794999,42.286813951234834,43.38160788213172,40.96670867316779,40.55946552782033,37.84092506475101,38.70012289638272,38.56693895667387,38.46705273791415,38.858040571716614,41.41849474953284,39.68570425167259,38.846753325116424,41.61173614938291,41.1719416652629,38.58727200743289,41.464507302675926,41.44172517362012,40.418650609256815,37.90130958545741,39.46485933018418,37.79029427595687,40.354719855726316,38.79831527647414,42.24069243704443,43.215004169453245,38.94130667881681,39.53702802899908,38.53059601496319,40.69919397535912,39.785277335754884,42.040920831854415,42.822435423616014,40.707091729490784,39.80813742035733,40.56365067517428,38.29807356805815,38.871721491430264,41.10943159244196,40.753057643777844,40.3206416905965,39.89008067910331,40.74397157264128,41.904653679514006,40.992265778541,40.45909708069832,43.76144867624825,40.57257273746134,40.37811529928009,40.31437436557599,42.407316441917004,42.641420376288174,42.879718328161225,40.026235298802796,44.69543546291412,42.958527930449705,41.358562979234705,39.67189826810821,43.659368843409624,43.42823629065634
CDK6-P16INK4A2.pdb_ringEdges,41.444997344408854,33.55252162382245,0.0,36.357761609707154,35.387017048767454,34.53110298224969,36.48443704295664,34.49149771514928,35.605165424107376,36.63993556283612,39.261922222241886,35.991855447261784,39.95495024124663,36.76315759150137,38.06609143415142,39.372430616904175,37.46230625901061,38.344077674171935,38.49667708181406,38.878898910434835,39.2307619468044,38.414872627986085,37.34934615942547,40.879561355099845,41.99660845772223,38.911231057871056,38.80550627260486,40.19618960220722,39.802242858730615,40.86803270969844,39.590168772242436,41.17915646087563,40.43954837990576,39.12657384039408,38.83029996178186,38.23747363835518,40.35581984202473,39.651912265885336,40.41909715263508,41.550275159782814,41.79242550113955,39.11664856709936,42.38666380234107,41.50807150422683,40.58337999362946,38.500414948666695,37.0313249073031,40.00329254741605,40.52415118504394,39.158028800134986,38.707332134566116,39.155238256545374,38.94961097523256,40.69029967701005,42.826399426112,43.35069695897952,39.59359396325162,41.3963354098628,42.16078399789407,40.67727837023715,39.216795804485834,38.89324977484893,36.80213408446222,41.00691196942657,40.01026697504828,42.63529969975364,44.0848959257079,40.11488380188867,41.40854159558361,40.643866725977624,42.05679087301589,41.474694018189524,42.47633487473055,43.811959610111685,42.85788199130349,40.99024274141355,42.98858611986876,38.93528088457795,41.44236079535877,42.78521513497798,42.839006615523736,40.774430055384826,42.48209953012931,41.547891848722934,43.11106473330289,41.791410017125756,43.13043178941606,43.35965304514244,42.437385726704235,41.2014444454348,41.2123353544283,42.34066257531973,41.7629547594984,42.32193688222955,42.076446107925726,44.5224415871149,43.83350984538954,43.33414133080356,41.00957651395178,44.95801835750945,44.114927510631844
CDK6-P16INK4A3.pdb_ringEdges,41.31308184712591,36.56939944283688,36.357761609707154,0.0,31.380139750034665,34.66445427587032,36.46892429212018,37.83761194960359,35.3132463227846,36.32805809395888,36.44529478814961,34.73058678652847,36.5876428559712,38.19176261587466,36.34124177375533,37.008278572865734,36.67010479076733,37.96669914415055,35.558457537399256,37.98757178020335,39.87674913970829,39.19936535076103,39.2103520427588,41.65733619107914,40.486022881736524,37.27582097376657,42.02788853409308,39.97205121142504,39.57587340915632,39.02205755223269,42.2540977952176,40.37125275218115,42.241131267186894,42.70864423840839,40.22661417276979,39.90066935070327,39.53109304172066,39.35527980818447,41.25097485913848,41.75220747778852,40.23310128519048,39.76448961254685,40.56365067517429,43.42283315289778,40.74417510366426,41.98009981512446,40.844929828351205,37.504601343718114,40.31437436557599,38.76678236111621,40.84160958104782,37.355627779884415,42.965635729714805,39.92792286596249,41.02293231364334,40.8172010608154,40.650083250747336,42.32471456979529,40.970066407847334,42.47553097616702,42.32471456979528,40.930518162774064,40.016789159478456,42.94402482642597,39.5929286615679,43.91078538549202,43.33120319967719,41.96983818259462,43.13296515342803,40.15251412108472,42.69875190956,39.856009125533866,41.810758330782846,42.864198490058456,40.53014536029737,42.88956891775932,39.410522304236046,40.36183901633439,41.395699081414605,45.003186879023374,42.939889919997135,41.323305890938876,44.27526975858115,42.318548087040135,44.59285735215088,44.47068642622374,42.08365652294807,42.9748536795705,42.044146369054104,43.53824223123131,43.84660623182584,43.36175678197921,43.96379885492274,42.69283369349585,41.24073288364908,45.756385666574474,45.61459971672537,44.14855189183842,43.17381772075958,45.60019255415069,46.13371868817872
CDK6-P16INK4A4.pdb_ringEdges,39.7292421640136,36.76953935515438,35.387017048767454,31.380139750034665,0.0,32.50275785672167,32.41855837061956,34.57042299916888,33.23498010288293,34.413922310316345,34.006498661572216,34.04221195988815,35.79844662115673,37.43639809649198,35.58500643426711,34.507150195780405,34.15901123833195,34.60993794964172,34.02611622512705,35.608014992517056,35.428196019141794,34.42027196219142,36.33802013479925,37.421058373008385,37.74720794068188,36.36721922482312,37.57358958292839,38.87520998296365,37.78270348885629,38.32625031769529,38.048351779948845,36.83557400387736,39.21679580448583,39.92412315575764,36.326164728779744,37.11868900123947,39.095505324594164,37.33440184301354,37.363096440334814,39.10218009018018,38.67572503931992,36.30456532468936,38.436136452118305,40.39968606494792,38.6266052630353,39.482382610290536,37.1416668262768,35.27836343751323,38.47146551064296,38.66087705464209,37.40057388368889,37.465222898433055,38.58423790402178,37.24277634983604,36.66249495854543,39.15824057434212,38.0519157557531,38.12675905578084,37.52734287708947,39.3029509225391,38.71475423042172,39.32398262836692,37.243483633660475,41.178718159606426,39.56565398941057,41.51717834295802,40.870264699233005,39.95874702007859,39.147239257237786,37.65008340612021,40.11130854473258,38.67221855292093,40.837452919784496,40.770266544950964,38.997598425118866,40.07091275202617,41.13278912818119,37.271973384837075,38.43218925239247,42.29321573918189,39.75727575689463,39.18925935483461,40.31502776155115,41.390230967128005,41.88897054904242,41.43890007015626,38.62660526303528,38.41135502845422,39.73733269554087,41.00380708083039,40.85482925151857,40.375010382842504,39.31390866645228,39.19957690164903,38.00863829928477,42.05275432526947,40.71394559427597,40.08796425423453,39.10218009018017,41.261415271945154,41.84343641160121
CDK6-P16INK4A5.pdb_ringEdges,40.29235841126045,34.296995530789935,34.53110298224969,34.66445427587032,32.50275785672167,0.0,29.04887387095635,33.91780595757353,29.691946842823757,30.105246281313413,33.99091700770062,30.937166849647458,34.757010172015114,32.98125114105388,33.12389160593832,34.38788782795904,34.577971275958,33.107835635809906,34.066491654682274,32.593205935758,35.01940925244523,35.950100919156874,33.76205114564244,36.952626230971156,38.333746197847404,36.39022918982247,36.613218990933476,37.81864297006921,35.74916679909156,37.63262725543282,35.5128970045889,35.142511258602134,38.19086852932773,36.9752191240065,35.162923932918275,34.702639247349886,38.19462355217927,36.606756673411326,37.652985500132324,38.695950503455244,39.06054087770088,37.902210502497255,40.02416343331351,42.89961055028194,39.907612819806886,38.56390325351347,39.21354917658431,38.37902120029493,35.927827383350184,39.073888730043365,39.292610861238124,37.36352727904194,38.00954950612466,35.35553221967656,37.72100404736687,37.25026763694986,36.82410398293956,35.42060858024781,37.53337376710848,38.32250819226667,36.20218292838832,38.68225786029996,37.59177387959551,38.04904408914322,38.935280884577935,42.018648589266874,40.18654064211665,38.88909810241833,40.263292003099245,37.527342877089474,40.676187076985926,38.31264199432571,39.99697549541081,40.522658521604214,39.14424855738013,38.10150755611626,40.5543297138122,36.76591740901935,36.47241523632255,42.98821165695803,39.3587254403987,38.126759055780816,40.996609020985126,40.83394092795017,41.37244281390996,41.477328511945075,39.4283171733458,40.276895271146856,37.97287863982826,41.921587663101796,40.65381510912396,40.20560572491506,39.92433086630203,39.42083143744582,40.41445044632,42.62397127004095,41.73521645664407,41.48707703581462,40.743780013102665,41.87608899202861,44.4095463259653
CDK6-P16INK4A6.pdb_ringEdges,39.94078543873945,35.205847629578166,36.48443704295664,36.46892429212018,32.41855837061956,29.04887387095635,0.0,32.818094354687474,28.590788214592926,32.06564912267543,31.979780197234213,31.889947953670355,34.403289689554626,35.074554740493916,34.82859772532044,36.25178885409593,33.10020263735776,34.198231304999446,34.42367307962187,33.64465673519747,35.688940693229895,36.956731457205514,36.5691860157382,39.90340776449448,37.01991553666036,35.68140870017986,36.27760177084347,39.610185928221775,36.35982773846343,38.04904408914322,37.59538113820411,37.63773404962431,38.93159729952893,38.21912431512054,36.55740557587515,35.92709419868212,40.1382124360438,37.29799576123201,37.5515775382308,40.25254423105672,38.872198354068615,37.873718283070254,39.58675560730129,41.05357594121348,38.63424488777779,37.38160497148172,37.352924592456745,38.60519363518025,36.26668161166602,38.28704168482614,39.760428912639746,39.47233671641019,40.206260888500346,36.64661831801599,37.951098187780296,38.809214394924616,37.15478500517115,36.08269634616791,37.37391812611523,37.95844968434602,37.588659421069735,38.364744995067944,38.20875905198556,39.169027086804626,39.123319725471504,42.88306277740361,40.489769861220985,40.061026617631036,40.88040857034155,39.290090601985135,41.16845820794748,37.64004095277837,40.82487285837451,42.850995377914586,39.40800958577076,39.88034542502757,41.28576202931793,35.65516416604079,38.02730726150589,41.886175611018494,41.11642007762843,40.14894221490294,42.18677402266061,42.61353271827759,42.634876368142976,44.01555157541268,40.66440884042788,40.699841193433876,41.32633956042346,42.24472257413772,41.501548604665004,42.47510605220838,39.61677397880613,39.517442891499584,39.36468641543294,43.25069293114734,41.676559475994466,43.35280113041909,41.438900070156265,43.08541714700829,44.13325719051236
CDK6-P16INK4A7.pdb_ringEdges,42.352170445721235,34.807694691778984,34.49149771514928,37.83761194960359,34.57042299916888,33.91780595757353,32.818094354687474,0.0,33.680449565390745,33.8386703307931,35.729758042227225,34.07415156505073,36.615483863204496,36.90236293577832,37.55469507200429,39.1291046315693,35.2395980154809,36.221271206362715,36.73901362245893,35.9341267239742,37.53671373533898,37.249560481938104,36.15763590372502,38.2466705070919,39.02205755223271,36.0894147037402,37.709583436135084,40.72654794255315,37.832428985287656,39.493278217821434,39.00842935796845,38.77699846244037,40.68657116507532,38.75566992350302,37.15478500517115,37.821738490437326,40.28672843263502,38.11991349515437,38.650617639339785,39.98261817462142,39.551547100572265,39.032419295984795,40.82378551058977,39.36986590608886,38.535419247561975,37.78602141843133,37.22898162951461,39.40713071538599,36.28105734334686,39.660584352975924,36.471692999419496,40.18945377984077,38.99806124011564,36.34146996235008,39.94796615598854,40.87026469923301,38.34407767417194,38.62943399445185,39.19869335801405,39.15824057434212,37.522117055047495,36.95673145720551,36.935276283606505,40.168875221810374,39.55860117381899,42.62894928417985,43.26826133581516,39.292610861238124,40.44555509359803,39.30336049680063,41.66704259993018,40.404841535541266,42.75027884661597,43.103799843814436,42.686297567252275,40.18588515702577,44.29636333693837,37.489718915860756,40.087307157278055,44.09902382637322,43.22398837140918,43.302779722638185,41.66161009967771,43.92059353635119,44.483189480313484,44.18197403091334,42.794243971277005,42.36973148771975,41.9792747935827,41.84947474682774,42.810632369803265,43.22398837140916,40.693632269890564,43.19900631196823,42.11448971437795,45.40455548220459,42.62558489692411,44.77822859490502,41.529548692878336,44.00406854803879,43.593611078107266
CDK6-P16INK4A8.pdb_ringEdges,39.01403124705709,34.85981682780754,35.605165424107376,35.3132463227846,33.23498010288293,29.691946842823757,28.590788214592926,33.680449565390745,0.0,32.3482573888851,31.383621641185268,31.868510338883286,34.28072060033233,34.91521437886287,34.42443828473477,35.999837398006804,33.227126737343866,31.48717121653692,34.15824008718334,33.07851708712055,36.02700883855974,36.7546380016747,36.817241454143286,40.6899040633292,38.208759051985545,35.845345311320514,36.61023447470237,40.64386672597763,35.74611014143924,39.70994837569051,38.00933133182808,37.439316754241055,39.579497032754965,40.23938126857886,38.155062317965225,37.19541015482112,39.82956372271067,39.11618715520443,39.14357561842208,40.91293551779111,39.182811064634386,38.06413073722414,39.857526754985635,41.58379140142321,39.90487469458147,39.73372346619194,38.79201577393065,39.29328124781027,37.35633292704333,40.182316217278625,39.28982987628378,39.53150025226879,40.1085843253707,36.40527970286598,37.883698791780425,38.99505909915186,39.182138787973344,37.70047550971395,38.59471719188982,40.27689527114688,38.67640611850987,39.52040534995051,37.581235587626544,39.15157536624218,38.76396365245412,43.05132501289433,40.993943633592416,40.690947036554874,40.78434659068691,39.10005926013855,41.6972128681956,37.621879985701675,41.358020427222364,42.56202360859437,41.01391792324455,41.2644534914886,41.031409741390306,36.49579995881922,39.06788338514292,43.32578796097115,41.29188191636619,41.1690980487349,42.0098478582484,42.62956720399595,44.08104509406933,43.50995400550296,41.52146667835756,41.58904640031808,41.2644534914886,42.79882606094622,42.52814276251992,42.028085847442625,40.20711015874032,40.59424445567172,40.41174666223532,44.676932444863944,42.00580679951351,43.51924721371899,41.96424726812689,43.48513623263402,44.29677079019455
CDK6-P16INK4A9.pdb_ringEdges,41.12827049787468,32.71486571918628,36.63993556283612,36.32805809395888,34.413922310316345,30.105246281313413,32.06564912267543,33.8386703307931,32.3482573888851,0.0,35.51715490693094,30.397496687688736,35.37816606533391,36.15137550937051,34.47561174044703,35.91279410583096,32.5958698565833,34.14297056532121,35.946613531600526,35.783590734492535,36.92547537550898,38.95651108733385,36.09787508103289,39.513801232036414,40.25093242367953,38.249157491119874,38.82029893955096,39.7135597657563,38.3907127996902,40.35957890954887,37.70427937153597,38.81223091105029,39.78167245622838,38.410669249508345,38.108830037528996,37.67874473596555,39.46209048398043,39.486879574569954,39.76809604965568,39.21999241302902,40.44200906929553,37.54936912853827,40.70505451924416,43.165433325131225,39.793356474569975,40.220538376768154,38.42345574280789,38.8374347950971,36.51379959653079,38.64800502849961,38.75744460352264,40.473080484470714,39.15824057434212,36.891191360540304,38.73912750695354,37.46209791893413,38.21626521298585,38.59539970059624,39.72374113494476,41.23460540525198,38.026832631708935,40.37501038284251,39.86026813268774,41.020910788904054,41.56998213415724,44.58093215933389,41.189176887659855,39.99991463405531,40.33824064751202,40.778150534025144,42.32151041612818,41.04742052440472,42.219773427775394,43.43796249095786,41.19551242432173,40.18588515702577,43.108914815677906,38.43682177668553,37.312954658748964,42.54952924562619,41.41284118041351,40.209827702968894,42.39940174451392,44.17378098860541,42.46239081995205,42.33407207600744,41.24240063037193,42.60005725405527,40.18588515702576,42.80137905232137,41.3243328779169,43.028782199371875,41.211897406026864,42.44415556308572,40.85002910707391,45.83355890557953,42.96855344744411,42.84193295723481,42.10930028784275,44.5565357500871,45.7847881863431
