,CDK6-P16INK4A0.pdb_ringEdges,CDK6-P16INK4A1.pdb_ringEdges,CDK6-P16INK4A2.pdb_ringEdges,CDK6-P16INK4A3.pdb_ringEdges,CDK6-P16INK4A4.pdb_ringEdges,CDK6-P16INK4A5.pdb_ringEdges,CDK6-P16INK4A6.pdb_ringEdges,CDK6-P16INK4A7.pdb_ringEdges,CDK6-P16INK4A8.pdb_ringEdges,CDK6-P16INK4A9.pdb_ringEdges,CDK6-P16INK4A10.pdb_ringEdges,CDK6-P16INK4A11.pdb_ringEdges,CDK6-P16INK4A12.pdb_ringEdges,CDK6-P16INK4A13.pdb_ringEdges,CDK6-P16INK4A14.pdb_ringEdges,CDK6-P16INK4A15.pdb_ringEdges,CDK6-P16INK4A16.pdb_ringEdges,CDK6-P16INK4A17.pdb_ringEdges,CDK6-P16INK4A18.pdb_ringEdges,CDK6-P16INK4A19.pdb_ringEdges,CDK6-P16INK4A20.pdb_ringEdges,CDK6-P16INK4A21.pdb_ringEdges,CDK6-P16INK4A22.pdb_ringEdges,CDK6-P16INK4A23.pdb_ringEdges,CDK6-P16INK4A24.pdb_ringEdges,CDK6-P16INK4A25.pdb_ringEdges,CDK6-P16INK4A26.pdb_ringEdges,CDK6-P16INK4A27.pdb_ringEdges,CDK6-P16INK4A28.pdb_ringEdges,CDK6-P16INK4A29.pdb_ringEdges,CDK6-P16INK4A30.pdb_ringEdges,CDK6-P16INK4A31.pdb_ringEdges,CDK6-P16INK4A32.pdb_ringEdges,CDK6-P16INK4A33.pdb_ringEdges,CDK6-P16INK4A34.pdb_ringEdges,CDK6-P16INK4A35.pdb_ringEdges,CDK6-P16INK4A36.pdb_ringEdges,CDK6-P16INK4A37.pdb_ringEdges,CDK6-P16INK4A38.pdb_ringEdges,CDK6-P16INK4A39.pdb_ringEdges,CDK6-P16INK4A40.pdb_ringEdges,CDK6-P16INK4A41.pdb_ringEdges,CDK6-P16INK4A42.pdb_ringEdges,CDK6-P16INK4A43.pdb_ringEdges,CDK6-P16INK4A44.pdb_ringEdges,CDK6-P16INK4A45.pdb_ringEdges,CDK6-P16INK4A46.pdb_ringEdges,CDK6-P16INK4A47.pdb_ringEdges,CDK6-P16INK4A48.pdb_ringEdges,CDK6-P16INK4A49.pdb_ringEdges,CDK6-P16INK4A50.pdb_ringEdges,CDK6-P16INK4A51.pdb_ringEdges,CDK6-P16INK4A52.pdb_ringEdges,CDK6-P16INK4A53.pdb_ringEdges,CDK6-P16INK4A54.pdb_ringEdges,CDK6-P16INK4A55.pdb_ringEdges,CDK6-P16INK4A56.pdb_ringEdges,CDK6-P16INK4A57.pdb_ringEdges,CDK6-P16INK4A58.pdb_ringEdges,CDK6-P16INK4A59.pdb_ringEdges,CDK6-P16INK4A60.pdb_ringEdges,CDK6-P16INK4A61.pdb_ringEdges,CDK6-P16INK4A62.pdb_ringEdges,CDK6-P16INK4A63.pdb_ringEdges,CDK6-P16INK4A64.pdb_ringEdges,CDK6-P16INK4A65.pdb_ringEdges,CDK6-P16INK4A66.pdb_ringEdges,CDK6-P16INK4A67.pdb_ringEdges,CDK6-P16INK4A68.pdb_ringEdges,CDK6-P16INK4A69.pdb_ringEdges,CDK6-P16INK4A70.pdb_ringEdges,CDK6-P16INK4A71.pdb_ringEdges,CDK6-P16INK4A72.pdb_ringEdges,CDK6-P16INK4A73.pdb_ringEdges,CDK6-P16INK4A74.pdb_ringEdges,CDK6-P16INK4A75.pdb_ringEdges,CDK6-P16INK4A76.pdb_ringEdges,CDK6-P16INK4A77.pdb_ringEdges,CDK6-P16INK4A78.pdb_ringEdges,CDK6-P16INK4A79.pdb_ringEdges,CDK6-P16INK4A80.pdb_ringEdges,CDK6-P16INK4A81.pdb_ringEdges,CDK6-P16INK4A82.pdb_ringEdges,CDK6-P16INK4A83.pdb_ringEdges,CDK6-P16INK4A84.pdb_ringEdges,CDK6-P16INK4A85.pdb_ringEdges,CDK6-P16INK4A86.pdb_ringEdges,CDK6-P16INK4A87.pdb_ringEdges,CDK6-P16INK4A88.pdb_ringEdges,CDK6-P16INK4A89.pdb_ringEdges,CDK6-P16INK4A90.pdb_ringEdges,CDK6-P16INK4A91.pdb_ringEdges,CDK6-P16INK4A92.pdb_ringEdges,CDK6-P16INK4A93.pdb_ringEdges,CDK6-P16INK4A94.pdb_ringEdges,CDK6-P16INK4A95.pdb_ringEdges,CDK6-P16INK4A96.pdb_ringEdges,CDK6-P16INK4A97.pdb_ringEdges,CDK6-P16INK4A98.pdb_ringEdges,CDK6-P16INK4A99.pdb_ringEdges,CDK6-P16INK4A100.pdb_ringEdges
CDK6-P16INK4A0.pdb_ringEdges,0.0,37.2509975157767,38.306618421956536,38.519853380790764,36.725308149918526,37.18042602770974,37.14007370249649,38.94920789977515,35.92338447639378,38.374392892275864,37.716301554965334,37.250075962392145,37.847849364165235,37.174484375135854,36.80689152430014,38.12589775470207,36.78999160895622,36.866385071752156,39.05979597606148,34.87435871127082,39.131758551887124,38.587072823093656,36.56573172135918,42.39736216332297,38.345743178356884,40.62490719468935,40.92078258979418,40.44364668540583,40.01943557673702,40.98946594441025,40.79914397697261,40.45902048132735,40.9680496793217,39.86832805736353,40.793729398143576,39.922399852091274,41.06863567031297,40.989478081976635,40.352291913676666,44.84104596221063,42.68613905779839,41.26763756804802,43.670703546642315,44.102932518330675,41.35178532123782,42.17196493958613,43.17323659640272,41.822867414920026,40.73012746827707,41.13104890565776,41.25707537691837,40.320581019267955,42.074655279816994,41.62220513378662,40.159767992035725,39.9115065890648,41.81758538893898,41.44447823437294,39.97641095490974,41.64680919851988,41.890083605521966,39.525846446514464,39.59694947796114,41.69937422726249,39.21384160133172,42.213411841540264,41.06343836248082,40.62493168765793,41.476157509960494,39.092542328066216,41.667876599348276,38.598546102075346,41.99292762060372,41.972023375918695,41.01626906921469,40.2996487769099,41.13726567074773,38.374379927575085,38.73832354972001,43.20364827049455,42.24894240485042,42.498205990815904,40.491495329635065,41.93627005670229,41.972829401414046,43.75926909628183,40.905558016202676,41.05721041867302,42.228954250779594,43.94684713531038,43.34804189716553,40.76236191946854,39.25207476216174,41.23579809796492,39.906806860870894,43.03836076702326,42.350903236827584,41.68361048523251,42.58495751982364,42.03898924707195,43.68496445463812
CDK6-P16INK4A1.pdb_ringEdges,37.2509975157767,0.0,31.618544215514685,34.71540297879461,35.16625757230634,32.47295085626549,33.76964694405865,32.526957820777326,33.08516073251751,31.28975481238076,35.586779925593724,30.936027717618714,34.808059340113736,37.36160532202558,35.04339882196114,36.62654068550656,36.59157394239954,35.276350371352066,35.1538622323458,35.91201243060494,35.440792192666684,35.24521067637265,36.72020063028471,36.54960508460796,37.78002578425155,36.48452271868105,35.75594443150757,38.55478753398921,37.68896007377745,38.60585370508612,37.91716554261506,38.49305681399669,37.22744400391573,35.77333285121174,35.815252872323285,35.99024190579738,36.873091484467295,35.954711701421566,37.78001261558598,37.871897193234595,36.988985855614786,36.271502457814826,40.641926248078306,40.89558357841239,39.21096150934797,38.61641957375805,35.954711701421566,36.31283368930697,36.6853638444273,35.71920619977846,36.76798304387163,38.459838844957545,37.568444999780034,36.590635781107665,38.85039554278504,38.85039554278504,35.670981279923325,39.275275475566026,38.66080329536353,38.007671391143134,35.54888722709305,36.507628862665584,35.10392530956197,38.065262104765324,35.930294594558276,39.32539341397852,40.9911287575242,36.732243485019936,36.82566161298171,36.03805340931085,37.76847510084026,37.68309860398975,39.30870297215668,39.61438504492487,38.77791082767624,37.22833938992373,38.90586930871321,36.09174324341042,36.76194766358149,38.52629779631768,38.29610998262096,37.89399984008817,37.40082740458116,38.21191239333912,38.88899881529128,37.40084070675609,38.817444916567496,40.984889825762096,38.610673130651264,38.44850533101463,38.363734429836086,39.54888655652271,40.047558791693355,40.49777341708183,38.1046346797815,41.89086745484523,40.550981363614945,38.72222805151633,37.22149649053661,41.52359516255654,41.111364348644194
CDK6-P16INK4A2.pdb_ringEdges,38.306618421956536,31.618544215514685,0.0,34.20735715576535,32.967766558273205,32.559505417540144,34.358774325262694,32.02520773310079,33.17011782339507,34.38330903648614,35.74979386225931,33.03310566161985,36.801849401938895,34.68375965894709,34.912784013340904,36.02580611822123,35.141320945732076,35.9120262842519,35.94858130041352,35.713035372569394,36.5846255395713,35.2752220904751,34.620529957344196,38.001832896356376,39.406214627185236,37.03045673993454,35.38500399127702,36.714211598961754,36.519591961232685,38.3751189085296,36.75505854107993,38.40842310189441,37.406586803909455,36.43636857898827,35.60332870568954,35.500444955518596,38.08725253900778,36.81368986116488,37.08179744150145,39.3420894208735,39.499770135989735,36.02581992810907,40.1341283536403,38.654226854657814,38.05385029649517,36.74319918797449,34.31408918240308,36.93067325226656,38.01916248969611,36.264479009230904,35.773374573252276,36.341990844028714,36.477540285409006,38.31326751481395,39.89659519881012,40.43358290908288,36.889103677769924,38.93787627690076,38.65422685465782,37.54420280388319,36.22825647425202,35.66385351810988,33.67866886203209,38.397087368809196,36.90690183400768,39.428479239306,41.64315356461344,37.227457368044305,38.006794365092844,37.96730722490671,38.47515189616333,38.62684087290729,39.5543457619605,40.395618204815996,40.26790878121122,38.17175116581216,40.74251144450938,36.525626524877445,39.09889235112145,39.59225010853415,39.79304671879481,38.148753101301814,39.3728825538215,38.79952300060701,39.934187151895216,38.48646463627192,40.82674228458777,40.342180683356275,39.88013133907532,38.10378599906696,38.615388884568716,39.21384160133173,38.94906739250986,39.30223494461602,39.02686917257059,41.47081932782859,41.209970778226676,40.52389504541425,38.323732304036476,42.574593596422126,41.105179976440084
CDK6-P16INK4A3.pdb_ringEdges,38.519853380790764,34.71540297879461,34.20735715576535,0.0,29.39716031908303,32.71854951838583,34.72080541056344,35.403544247343866,33.286813309454956,34.64588450931564,33.15697625880362,32.22659202942262,33.768659849921534,36.050158534301374,33.6416733985503,34.00485771560746,34.70806464272797,35.52517151183476,32.2662739995021,35.164347616351215,37.654107887400876,36.50157769370192,36.97125412859024,39.28634515226496,37.79649619181803,35.312605391028434,38.73834923551264,37.28533250355295,37.09370948802633,36.32998295749045,39.41743685677971,37.452550411665065,39.5590496341887,40.16596167916246,37.08775394301086,37.22149649053661,37.12311103792801,36.448532513505434,37.91046010106752,39.39599949384975,37.74524450294461,37.111409518070246,38.66652942161274,40.69940774808379,38.59371227111584,40.19798019727242,38.654226854657814,34.67658679342292,37.630806687344666,36.25245917203278,38.526323623469494,34.30138589950656,40.491483042795345,37.45846123919088,38.41992383209118,38.16034512813678,37.492606236270966,39.836269381167746,37.85352760627219,39.39516600393527,39.83626938116773,37.87087251535978,37.56755771985758,40.45526981397355,36.42444644064569,40.77388199247558,40.763204068990404,39.53230305806421,40.29966112223738,37.53350741809885,39.635691739914144,37.33147205736942,38.73834923551263,39.41183245312807,38.83920161498634,40.101388916530475,37.43021367187732,38.42568585377935,38.97723535118796,42.311072613107434,40.21346028458268,38.5870857163327,41.69408848896185,39.44987373000627,41.47164709096827,41.27818500387266,40.176984079834185,39.90128366119254,39.43406866079487,41.05889472234857,41.70982441507428,40.21346028458268,41.15761477213362,40.08502158193115,38.57094000585581,41.90574593404305,43.00349401516633,41.419597832150934,40.59870350600087,43.19852356054493,43.23403855242127
CDK6-P16INK4A4.pdb_ringEdges,36.725308149918526,35.16625757230634,32.967766558273205,29.39716031908303,0.0,30.25878434191872,30.872325754831575,31.774297319519956,32.01159615759911,33.03312072264164,31.467996851891385,31.733968805042373,33.16906788977673,35.48913364630331,33.557924970984274,32.75760517066859,32.399665252247765,32.88230179206253,31.32246027075355,33.408492381190754,33.884277749525175,32.86230885503304,34.314060184830375,35.68934509393293,35.68842503658635,34.615284347348116,34.838461618736865,36.38928550414932,35.43359004507715,35.93029459455829,35.34882322627715,34.58353503507689,36.737159736058,37.47005437845511,33.25378069255072,35.07888764212682,36.966167132092764,34.67119182099974,34.54556440269141,37.37824679319963,36.86037930066726,34.33964101841534,36.72622932453063,38.30173475930489,36.64955729270475,37.38918618773482,35.115360701748926,33.19551609114121,36.03193718789544,36.29379838202429,35.220315824338826,34.79537911792602,36.30580453296791,34.96204053837488,35.26382443004216,37.169465347632595,35.4881803601373,35.815266763397666,35.506680753197074,36.28772526592329,36.91885683563016,36.36517387070727,35.44587352921014,38.827799447692826,37.087740528541794,38.93873233198399,38.48177186888825,37.78587221837663,36.448518863778084,35.65258009824385,37.63079346646077,36.47258903949354,38.47603117688183,37.8535144631768,37.024665706077215,37.89401296914168,39.478566513113854,35.47685111694854,36.22916282231723,39.793896879493055,37.67063334900845,37.14583335077283,38.32374528587105,39.630105647497935,39.34122949665481,39.24729606936285,36.90198123279393,36.36516018969109,38.251134018893445,39.12699059517396,39.37372915109372,37.93358952077108,37.01180395280403,37.151792976827345,35.549838885375,38.66562873885732,38.75527247070534,38.36373442983607,37.129060911624315,39.082092449723845,39.417424235144274
CDK6-P16INK4A5.pdb_ringEdges,37.18042602770974,32.47295085626549,32.559505417540144,32.71854951838583,30.25878434191872,0.0,27.48484883391002,31.501812314603082,27.796953911645943,28.548239701420304,30.829558730904466,28.464798894764783,32.1529305860855,32.065107894385875,31.088079012966006,31.4807372200906,32.82337778707784,31.392333569920773,31.52943819094809,29.80487121694549,33.473996739431115,33.96068842366064,32.18581004354565,34.64581270959682,36.81966271150592,34.53914067845309,33.768645116954694,35.24423667644791,33.36356340656796,36.14532579898031,33.621140589328085,33.26039283206506,36.133266325138486,35.409740909018005,33.15029846859926,32.60551184976361,36.484495446150866,34.94424841819381,35.311647339241325,37.41352882719682,37.186192804902575,35.46441002060313,38.38086173164546,40.75777250906268,37.97983230204615,37.05323587161072,37.251010871455264,35.91817677563236,33.832452259194106,36.82566161298171,37.08287075568169,35.1902575843901,36.68442808170242,33.512186838024576,35.251463397166845,34.670201695002326,34.238438147295376,33.47298606368876,34.508517947678875,35.833598286652126,33.72972765029663,36.115100685342725,35.348809151903765,36.0856085479878,36.525626524877424,39.54416889419152,38.23398764117181,36.5307340107366,37.47507297561098,35.506680753197074,37.76848827352859,36.04307815083317,37.65981534131962,37.64824099146265,37.070029197137416,35.8580673632152,38.86074129414356,34.91180073908782,34.7080359743105,40.41732548060278,36.83657602619083,36.073529110520425,38.570952904487655,38.62682799293809,38.77791082767623,38.79395757432609,37.72288324608836,37.819695308580094,35.9963928541106,39.54331336447165,38.69958283292976,37.69392312821822,37.613337848157094,36.89507780408055,37.95669173889103,39.24181950432416,39.62466943534927,39.27526280824513,38.73260803732613,40.08499675906356,42.04505993189481
CDK6-P16INK4A6.pdb_ringEdges,37.14007370249649,33.76964694405865,34.358774325262694,34.72080541056344,30.872325754831575,27.48484883391002,0.0,30.760833144136267,26.856723219513427,30.8651859137854,28.960085758923064,29.747059723425675,31.52265236207604,33.338278240183634,32.5325248655765,33.72419595831496,31.665964904504854,32.11874733466826,31.57699269502546,31.170498873133223,33.941374683752684,34.6332741968189,34.757611285710645,37.39489416287658,34.776500328876985,34.07999077382916,33.16908288906242,36.91287307979399,33.66574059117429,35.827433275695064,34.961087110390345,34.98615220013694,36.684441643651496,35.972004039625986,33.71128514709367,33.602608877631596,37.72287005747494,34.8636576805371,34.48949656249465,38.28561165374662,36.760120615439995,35.627969894536136,38.04712971568283,38.69960854443548,36.98414343568939,35.47591152468766,35.59825586872938,36.31799849833933,33.87677406270444,36.27665943689553,37.699796111725554,36.59067657122922,38.143118808479954,34.4449665610672,35.658761387372884,36.44759067032615,34.282235075780086,33.94037792558217,34.551972533708565,35.109253787178965,35.46968434399564,35.555128521482075,36.115100685342725,36.98901275617695,36.44853251350544,40.12326777463956,38.27321264239721,38.02987827736305,38.34575615273975,37.01181739479535,38.5207445565897,35.60332870568952,38.301747748595226,39.72784278736162,37.60747782103588,37.49939966351972,39.80954659375069,34.08000537219963,36.00755863158411,39.44987373000627,38.8824481754867,37.93358952077108,39.960839039194674,40.262422760772495,39.83711861945469,41.162969399100106,39.142894235789896,37.97311172303835,39.093394996320214,40.01477339123946,39.76087729394418,39.80414738759943,37.07600100801423,37.16855515805418,37.04145855310367,39.60810510551796,39.334905947143845,40.990291290737495,39.24729606936286,40.97344122199338,41.56505420835262
CDK6-P16INK4A7.pdb_ringEdges,38.94920789977515,32.526957820777326,32.02520773310079,35.403544247343866,31.774297319519956,31.501812314603082,30.760833144136267,0.0,31.316709891174085,31.781232923993894,33.26809536409067,32.300270319094345,32.89470613248108,35.02465371933328,34.63425101375204,35.99640667528277,32.95452920350823,33.94136002575636,34.19458512310531,32.78335337799458,35.07375313826542,34.714399782205774,33.705720907444615,35.59294468631092,36.58461194062028,34.3906877364364,33.94788220887517,37.534395502940356,34.59633604388901,37.1703755149232,36.84350391988432,36.10990685579696,37.83705572675624,36.2886301286907,34.55195813474651,34.857278303767075,37.68307219891,35.384989931294506,35.47063812724873,37.848546046195096,37.38418267700747,36.590662974527085,38.76185743794802,37.26270860708225,36.709292274620154,35.725389887124656,34.77014788693893,36.50159132358798,33.75675351629953,36.94260709405168,33.66674548042596,37.63170569655123,36.83749441838953,34.6152987199683,37.57432435515339,38.48177186888826,35.9120262842519,36.31798479955216,35.77336066591083,37.169465347632595,34.70187171461381,34.36418939008765,34.73332664890458,37.803235008586675,37.11139611215184,40.51398628346908,40.95908649090163,37.082870755681675,38.23976466964793,36.901994714789495,38.81658618663012,37.809091012401815,40.10224494652699,39.798584939468455,40.337703804985146,38.030754771075955,42.611562675309735,35.25774323055072,37.91715242157827,41.513122063783584,40.44449547132905,40.916198789514794,39.70659807070187,41.41960984367184,42.38270322122359,41.543910714001676,40.69494571768318,39.993668653154515,39.636520171973835,38.96039576045077,40.50853358901486,40.44449547132904,38.44187962954909,40.816066000793136,39.65778988430229,42.19865362969786,40.65722506823065,42.63636595082356,39.11017732188464,42.24450271870007,41.18428430398965
CDK6-P16INK4A8.pdb_ringEdges,35.92338447639378,33.08516073251751,33.17011782339507,33.286813309454956,32.01159615759911,27.796953911645943,26.856723219513427,31.316709891174085,0.0,30.865185913785403,28.6606496057032,29.45562477432401,31.65919262413274,32.947840581819264,32.399665252247786,33.72419595831496,31.52945397024331,29.704045991391574,31.576992695025467,30.892495345256847,34.60893106486733,34.79536481969008,34.757611285710645,38.4531762819297,36.115100685342725,34.11850871324717,33.851872233767885,38.211027034936954,33.44779849079157,37.27940757114746,35.24426490870858,35.14661544323195,37.18712932003062,37.76261279854904,35.127953745249116,35.14661544323195,37.757671949483075,36.472602680212724,36.353201012848956,39.210073332579675,37.37736830879815,36.145353327422086,38.194735382579616,39.505374657958605,38.05385029649516,37.670646555910146,36.825688632849584,37.29126983584972,34.79440682449782,37.9394122908504,37.158675490107406,36.97817024444112,37.950897838735976,34.105747170378095,35.93644195933316,36.95350042999791,36.66654907262922,35.34786615612106,36.0553471721116,37.325554449001544,36.81875738699492,36.54872029529742,35.754998258949996,36.755045005187206,36.329996651753504,40.58338262483351,38.643838689456324,38.515009673493,38.154556074651644,37.163535329795515,39.33017526743519,35.36019348903639,39.11571047507836,39.7608898065544,38.993225588441014,39.110202763460734,39.37375442237429,34.74489833341016,36.8722009646848,40.805252807897475,39.357071848368214,39.197954053624485,40.101401322892805,40.47612157693045,41.596629695085355,40.984914103601696,39.8315732661381,39.12611322784839,39.346843956704326,40.93227023106175,41.10600299940475,39.58682126554814,38.06439947592359,38.60411392507673,38.03075477107595,41.37735578960202,40.053086663124816,41.44078074141123,40.042042581883365,41.35162891507849,42.009380615542305
CDK6-P16INK4A9.pdb_ringEdges,38.374392892275864,31.28975481238076,34.38330903648614,34.64588450931564,33.03312072264164,28.548239701420304,30.8651859137854,31.781232923993894,30.865185913785403,0.0,32.84340957085311,28.33606074083794,32.51915623733279,34.458613145344366,32.199347973992396,33.40290749105117,31.129228318758436,31.996719359197506,33.09730866393853,33.45440202612167,35.32495911276346,36.85531749776008,34.320511541027656,37.140783660893284,38.13822725441573,36.85531749776008,35.965904251898344,37.12313784129898,35.947640198223006,38.31887678948803,35.18301829177544,36.32996926322221,37.59091136053272,36.151422836927615,35.3116614284265,35.4891336463033,37.088639287241435,37.15273035907768,36.95442937925402,37.26860949554394,38.39148952126888,35.32400139603196,39.28638314349538,40.87954639465613,38.21193843298159,38.44189257148532,36.755058541079926,36.649570867557564,34.2320003906618,36.72624287104372,36.819689735776024,37.763561367595926,37.1694653476326,34.79439252586233,36.62652710211812,35.18301829177545,35.53140296997754,36.52470029094404,37.12910111023071,38.55393585808406,35.94166085581785,37.688075631108106,37.87669179184651,38.933071797663175,38.97726087953907,41.92223314472648,39.03255434259291,37.97312482473925,37.83617474590937,38.62112174414571,39.71217340335223,39.15968075731632,39.71758511244339,40.49234311257222,39.42304046370588,37.78587221837663,41.63268664180746,36.93664065512152,35.342559576421976,40.230641029095565,39.15880412242582,37.99040203480576,40.262422760772495,41.81840628811217,39.67437109007577,39.47210111166063,39.77739051295228,39.97725721616441,38.03075477107595,40.63565818856534,39.597816412987,40.428267043238556,38.793983223283,40.224296511570614,38.64952871189694,42.38711669471692,40.74707815426107,40.51398628346909,40.03201455154028,42.53429403615674,43.30416546094227
