,p16_0.pdb_ringEdges,p16_1.pdb_ringEdges,p16_2.pdb_ringEdges,p16_3.pdb_ringEdges,p16_4.pdb_ringEdges,p16_5.pdb_ringEdges,p16_6.pdb_ringEdges,p16_7.pdb_ringEdges,p16_8.pdb_ringEdges,p16_9.pdb_ringEdges,p16_10.pdb_ringEdges,p16_11.pdb_ringEdges,p16_12.pdb_ringEdges,p16_13.pdb_ringEdges,p16_14.pdb_ringEdges,p16_15.pdb_ringEdges,p16_16.pdb_ringEdges,p16_17.pdb_ringEdges,p16_18.pdb_ringEdges,p16_19.pdb_ringEdges,p16_20.pdb_ringEdges,p16_21.pdb_ringEdges,p16_22.pdb_ringEdges,p16_23.pdb_ringEdges,p16_24.pdb_ringEdges,p16_25.pdb_ringEdges,p16_26.pdb_ringEdges,p16_27.pdb_ringEdges,p16_28.pdb_ringEdges,p16_29.pdb_ringEdges,p16_30.pdb_ringEdges,p16_31.pdb_ringEdges,p16_32.pdb_ringEdges,p16_33.pdb_ringEdges,p16_34.pdb_ringEdges,p16_35.pdb_ringEdges,p16_36.pdb_ringEdges,p16_37.pdb_ringEdges,p16_38.pdb_ringEdges,p16_39.pdb_ringEdges,p16_40.pdb_ringEdges,p16_41.pdb_ringEdges,p16_42.pdb_ringEdges,p16_43.pdb_ringEdges,p16_44.pdb_ringEdges,p16_45.pdb_ringEdges,p16_46.pdb_ringEdges,p16_47.pdb_ringEdges,p16_48.pdb_ringEdges,p16_49.pdb_ringEdges,p16_50.pdb_ringEdges,p16_51.pdb_ringEdges,p16_52.pdb_ringEdges,p16_53.pdb_ringEdges,p16_54.pdb_ringEdges,p16_55.pdb_ringEdges,p16_56.pdb_ringEdges,p16_57.pdb_ringEdges,p16_58.pdb_ringEdges,p16_59.pdb_ringEdges,p16_60.pdb_ringEdges,p16_61.pdb_ringEdges,p16_62.pdb_ringEdges,p16_63.pdb_ringEdges,p16_64.pdb_ringEdges,p16_65.pdb_ringEdges,p16_66.pdb_ringEdges,p16_67.pdb_ringEdges,p16_68.pdb_ringEdges,p16_69.pdb_ringEdges,p16_70.pdb_ringEdges,p16_71.pdb_ringEdges,p16_72.pdb_ringEdges,p16_73.pdb_ringEdges,p16_74.pdb_ringEdges,p16_75.pdb_ringEdges,p16_76.pdb_ringEdges,p16_77.pdb_ringEdges,p16_78.pdb_ringEdges,p16_79.pdb_ringEdges,p16_80.pdb_ringEdges,p16_81.pdb_ringEdges,p16_82.pdb_ringEdges,p16_83.pdb_ringEdges,p16_84.pdb_ringEdges,p16_85.pdb_ringEdges,p16_86.pdb_ringEdges,p16_87.pdb_ringEdges,p16_88.pdb_ringEdges,p16_89.pdb_ringEdges,p16_90.pdb_ringEdges,p16_91.pdb_ringEdges,p16_92.pdb_ringEdges,p16_93.pdb_ringEdges,p16_94.pdb_ringEdges,p16_95.pdb_ringEdges,p16_96.pdb_ringEdges,p16_97.pdb_ringEdges,p16_98.pdb_ringEdges,p16_99.pdb_ringEdges,p16_100.pdb_ringEdges
p16_0.pdb_ringEdges,0.0,15.07270515461529,12.243296332472958,9.633979412580969,11.909261457982034,12.10126761815066,12.29027450700867,11.714108544104024,14.880313464895805,13.646878329332068,13.562160719805327,13.646878329332068,11.812088034247527,11.465497246898806,12.005648388168755,13.174191513481892,9.870345931808032,7.889061296224872,10.043971123624532,10.043971123624532,11.664810183203562,11.714108544104025,10.214645517630432,13.43408263601153,14.724590293859928,13.519602842426593,11.664810183203562,9.986431472719476,9.452826677951409,10.158072685207866,11.415125261939211,9.69361138559388,9.391665977371028,11.565583074986181,11.812088034247527,11.61530258914025,11.957552042431496,11.812088034247527,13.604585468242387,11.61530258914025,12.005648388168755,10.158072685207866,13.43408263601153,8.246211251235323,11.860774262319259,11.565583074986181,11.909261457982034,10.602206358160409,9.986431472719476,10.326861468839901,12.005648388168757,13.562160719805327,11.664810183203562,11.61530258914025,11.714108544104024,12.29027450700867,12.101267618150661,13.562160719805327,14.841535851813923,11.714108544104024,14.841535851813923,11.812088034247527,11.812088034247527,13.604585468242387,16.162312303103512,13.34801451622764,10.27090674788399,15.034423776955498,13.391117724010387,14.95756710027811,7.666789485628857,14.724590293859926,13.30477166856096,12.10126761815066,13.476910574908027,13.646878329332072,13.604585468242387,8.176029453660174,9.69361138559388,13.476910574908029,14.918990287095198,13.130376219325056,14.062813085027008,11.957552042431496,14.841535851813923,14.685401490907648,12.101267618150661,12.196137204535887,13.64687832933207,16.090843801283025,11.957552042431496,11.909261457982032,14.724590293859926,13.689040525488798,13.604585468242387,11.714108544104024,13.43408263601153,13.814755069385733,14.606708465749223,11.812088034247527,12.29027450700867
p16_1.pdb_ringEdges,15.07270515461529,0.0,11.61530258914025,13.174191513481894,17.316593394188747,14.996044676253918,17.24990788479459,15.375525345854596,16.980547195271637,13.519602842426593,18.6165590587101,16.339615994491968,17.316593394188747,17.28328280179376,14.76367507414449,16.019056448228326,16.26892639671393,14.996044676253925,13.731073260359366,13.217861567090939,14.957567100278109,17.316593394188747,16.197928304444755,15.801737728940996,17.182963576989145,18.33584985296588,17.082055209180535,16.26892639671393,13.476910574908029,16.162312303103516,14.996044676253918,15.946945937882996,13.43408263601153,14.880313464895805,17.383023083613047,14.606708465749216,17.54799713328649,17.31659339418875,18.39859979933994,17.182963576989156,17.24990788479459,16.445080661586978,18.585578517053477,14.957567100278121,17.28328280179376,17.14939342703568,17.44919987481337,16.304309506218797,16.410001084497853,16.268926396713937,17.249907884794595,18.49232548099118,17.482194331492494,17.048286359532167,17.51512663433952,17.449199874813367,17.449199874813367,18.367251623566066,19.45006644579301,17.182963576989156,19.68566543779544,17.182963576989156,17.580806174994144,18.461136458030808,20.531909848669677,18.2728844215889,15.946945937883,17.58080617499414,16.19792830444475,17.580806174994144,14.724590293859933,17.383023083613047,15.983041860629788,15.224868149494487,16.41000108449785,18.6165590587101,16.233466164957317,14.996044676253929,15.801737728941003,13.519602842426593,17.21646826910261,16.197928304444755,16.339615994491975,15.412959548182128,17.482194331492494,17.216468269102617,17.048286359532167,15.072705154615294,16.339615994491975,16.19792830444475,11.714108544104024,14.841535851813932,19.420415607624925,18.33584985296588,18.46113645803081,14.841535851813921,16.233466164957314,16.549873264914936,17.349840032477037,14.7636750741445,15.450303052263408
p16_2.pdb_ringEdges,12.243296332472958,11.61530258914025,0.0,9.8117881367607,14.287602780744542,11.565583074986181,14.685401490907648,11.465497246898806,14.527589182573521,9.573976026142564,15.765226699332812,13.348014516227638,14.448036638653171,14.567202539626766,11.565583074986181,12.683901447591094,13.43408263601153,11.664810183203564,9.986431472719476,9.752878757976879,11.812088034247527,14.448036638653173,13.261387814993613,12.774444828561675,14.206706461195582,15.801737728940997,14.166085066160479,13.086414225758546,9.870345931808032,13.30477166856096,11.364530011086309,12.86435095229172,10.043971123624532,11.714108544104024,14.685401490907648,11.957552042431496,14.487867513362545,14.368043637395523,15.801737728941001,14.448036638653177,14.368043637395518,13.30477166856096,15.874507866387551,11.415125261939211,14.327879661457956,14.327879661457958,14.996044676253925,13.130376219325065,13.261387814993622,13.348014516227648,14.606708465749225,15.983041860629797,14.40809565275659,14.448036638653177,14.368043637395523,14.368043637395521,14.685401490907656,16.054990248032137,16.810005091802942,14.527589182573525,17.08205520918053,14.448036638653177,14.368043637395523,15.581388289140008,18.05077584134756,15.874507866387551,13.130376219325056,14.606708465749218,12.90906920721282,14.606708465749218,11.61530258914025,14.685401490907648,12.729253642892216,11.763200302465831,13.261387814993613,15.983041860629797,13.646878329332072,11.763200302465831,12.864350952291725,9.69361138559388,14.487867513362545,12.909069207212818,13.604585468242387,11.812088034247527,14.24721203770961,14.40809565275658,14.448036638653177,11.565583074986183,13.261387814993613,13.261387814993617,7.437878319675922,14.841535851813926,16.775688624123884,15.728630916531635,16.304309506218797,11.763200302465831,13.217861567090937,13.604585468242394,14.724590293859935,11.763200302465831,11.763200302465831
p16_3.pdb_ringEdges,9.633979412580969,13.174191513481894,9.8117881367607,0.0,12.592707063472918,9.268133851253218,13.130376219325056,9.633979412580969,13.042304049333243,11.211374369551546,14.487867513362545,11.61530258914025,12.592707063472917,12.819476707371775,9.142932808403607,10.95135623518067,11.61530258914025,9.268133851253216,7.039838210775751,6.874171752883079,9.452826677951409,13.217861567090939,11.211374369551546,10.738809705842874,12.683901447591092,14.287602780744535,12.638386509334254,11.108097519758935,7.359992630799556,11.056097328424404,9.142932808403607,11.159855414894762,6.617900737355582,9.079684904560384,12.953633087651184,9.391665977371028,12.998044181428718,12.683901447591092,14.287602780744539,12.683901447591092,12.864350952291717,11.364530011086309,14.448036638653171,9.452826677951409,12.729253642892218,12.729253642892216,12.864350952291717,11.364530011086309,11.415125261939211,11.108097519758934,12.86435095229172,14.487867513362545,12.90906920721282,12.774444828561675,12.953633087651184,13.042304049333243,12.953633087651186,14.40809565275658,15.470036648253458,12.953633087651186,15.618329084438916,12.774444828561675,12.953633087651184,14.606708465749218,16.810005091802942,13.878406590510505,11.262657662697498,15.655182712530438,14.646107830282803,15.728630916531632,9.205746178983235,15.655182712530443,14.166085066160479,13.042304049333241,14.408095652756584,14.487867513362545,14.287602780744544,9.75287875797688,11.159855414894762,11.415125261939211,15.395354791382445,14.247212037709616,14.80265665574247,12.909069207212823,15.470036648253462,15.544359705181423,12.774444828561675,12.953633087651191,14.56720253962677,14.88031346489581,9.330104364776803,13.391117724010387,15.581388289140005,14.606708465749223,14.368043637395514,13.217861567090937,14.527589182573523,14.802656655742469,15.838164591489724,12.774444828561679,13.042304049333248
p16_4.pdb_ringEdges,11.909261457982034,17.316593394188747,14.287602780744542,12.592707063472918,0.0,14.166085066160479,14.32787966145795,14.084490809253,14.32787966145795,15.207045646283031,15.728630916531628,15.801737728940996,14.24721203770961,13.878406590510508,14.084490809253,15.395354791382445,12.864350952291717,11.108097519758935,12.638386509334254,12.729253642892218,14.368043637395514,14.084490809253,12.592707063472917,15.395354791382445,16.533479131852133,15.395354791382445,13.961205328956671,12.50084742890169,12.90906920721282,12.819476707371775,14.002421098159044,12.819476707371775,12.864350952291717,14.125346853398453,14.567202539626768,14.24721203770961,14.125346853398453,14.40809565275658,15.544359705181426,14.24721203770961,14.487867513362545,12.998044181428718,15.83816459148972,11.2626576626975,13.961205328956671,14.448036638653171,14.567202539626766,12.90906920721282,12.864350952291717,13.130376219325058,14.32787966145795,15.655182712530438,14.368043637395516,14.24721203770961,14.24721203770961,14.24721203770961,14.40809565275658,15.801737728940997,16.706844228273532,14.32787966145795,16.844251647352046,14.487867513362545,14.40809565275658,15.618329084438917,17.890438692501917,12.909069207212818,12.90906920721282,14.40809565275658,15.72863091653163,16.878428716329122,11.364530011086309,17.014450488444492,15.72863091653163,14.487867513362545,16.090843801283025,15.801737728940994,15.765226699332816,11.515648895808065,12.819476707371775,15.581388289140008,16.56829727450203,15.507242703691285,16.09084380128303,14.527589182573525,13.961205328956675,16.912536719992215,14.40809565275658,14.327879661457958,15.655182712530445,18.209701269899607,14.368043637395516,14.802656655742464,16.533479131852136,15.910768126425625,15.838164591489718,14.40809565275658,15.910768126425625,15.946945937882997,17.115757434083164,14.408095652756588,14.64610783028281
p16_5.pdb_ringEdges,12.10126761815066,14.996044676253918,11.565583074986181,9.268133851253218,14.166085066160479,0.0,14.40809565275658,6.789822892775206,11.415125261939211,12.50084742890169,12.774444828561675,9.268133851253216,11.313708498984761,10.738809705842874,6.789822892775206,9.330104364776803,9.75287875797688,11.415125261939211,9.330104364776803,9.330104364776803,7.359992630799556,11.313708498984761,12.592707063472917,12.909069207212818,11.313708498984763,12.90906920721282,14.043515905322673,12.774444828561675,9.205746178983235,12.729253642892218,11.211374369551546,12.819476707371775,9.142932808403607,10.95135623518067,14.646107830282803,11.61530258914025,14.448036638653171,14.32787966145795,15.76522669933281,14.166085066160479,14.24721203770961,13.261387814993613,15.91076812642562,11.664810183203562,14.448036638653171,14.763675074144489,14.724590293859926,13.086414225758546,12.953633087651186,13.130376219325058,14.40809565275658,15.946945937882989,14.448036638653171,13.919867523234796,14.084490809253,14.002421098159044,14.084490809253,15.72863091653163,16.637714966966886,14.567202539626766,16.77568862412388,14.567202539626768,14.567202539626766,15.618329084438916,17.954745371514807,15.54435970518142,12.819476707371775,17.21646826910261,15.507242703691281,16.94657607536007,11.664810183203562,17.014450488444492,15.65518271253044,14.487867513362545,15.728630916531635,16.019056448228326,15.470036648253465,11.415125261939211,12.998044181428718,13.130376219325056,16.844251647352046,15.35787767823605,16.019056448228334,14.606708465749223,16.637714966966886,16.63771496696689,14.40809565275658,14.166085066160486,15.581388289140005,15.87450786638755,11.565583074986181,14.724590293859928,16.603042400390137,15.838164591489724,15.91076812642562,14.487867513362545,15.983041860629793,15.874507866387551,16.91253671999221,14.408095652756588,14.80265665574247
p16_6.pdb_ringEdges,12.29027450700867,17.24990788479459,14.685401490907648,13.130376219325056,14.32787966145795,14.40809565275658,0.0,14.40809565275658,16.672315426926016,15.72863091653163,15.50724270369128,15.801737728940997,14.24721203770961,14.206706461195582,14.487867513362545,15.765226699332807,13.130376219325056,11.515648895808063,13.086414225758546,12.998044181428718,14.448036638653171,13.836821423963094,13.13037621932506,15.618329084438928,16.74130181439538,15.618329084438917,14.368043637395518,12.953633087651188,13.086414225758546,13.348014516227646,14.40809565275658,12.819476707371775,13.042304049333241,14.206706461195584,14.72459029385993,14.487867513362545,14.527589182573525,14.32787966145795,12.729253642892218,14.166085066160479,14.487867513362545,13.261387814993613,16.054990248032134,11.763200302465831,14.685401490907651,14.76367507414449,14.880313464895808,13.174191513481894,13.562160719805327,13.476910574908027,14.487867513362545,16.090843801283025,14.368043637395516,14.084490809253,14.567202539626768,14.40809565275658,14.567202539626768,15.801737728941001,17.115757434083164,14.646107830282803,16.980547195271644,14.40809565275658,14.802656655742464,16.197928304444748,15.728630916531632,15.838164591489718,12.998044181428716,17.21646826910261,15.801737728940997,17.283282801793753,11.664810183203564,17.01445048844449,15.728630916531635,14.487867513362545,16.019056448228326,15.874507866387546,15.910768126425621,11.515648895808063,13.174191513481894,16.019056448228326,14.448036638653171,15.72863091653163,15.946945937882989,14.996044676253916,16.912536719992215,17.04828635953216,14.40809565275658,14.40809565275658,15.946945937882989,13.304771668560962,14.527589182573521,14.880313464895806,14.487867513362545,16.054990248032137,13.43408263601153,14.802656655742469,15.91076812642562,16.445080661586974,17.115757434083164,14.567202539626766,14.957567100278109
p16_7.pdb_ringEdges,11.714108544104024,15.375525345854596,11.465497246898806,9.633979412580969,14.084490809253,6.789822892775206,14.40809565275658,0.0,11.211374369551546,12.774444828561675,12.592707063472918,9.142932808403607,10.898608214673523,10.521970557209315,6.789822892775206,9.079684904560386,9.870345931808032,11.108097519758935,9.205746178983235,9.452826677951409,7.359992630799555,10.467058900851677,12.953633087651184,13.174191513481894,11.211374369551546,12.998044181428718,14.125346853398455,12.683901447591092,9.452826677951409,12.729253642892218,11.00385140588112,12.819476707371775,9.633979412580967,11.36453001108631,14.327879661457953,11.515648895808063,14.448036638653173,14.166085066160479,15.838164591489722,14.32787966145795,14.567202539626766,12.998044181428718,15.983041860629788,11.159855414894762,14.448036638653171,14.448036638653171,14.880313464895805,13.519602842426593,13.217861567090939,13.304771668560962,14.40809565275658,15.728630916531628,14.448036638653171,14.487867513362545,14.24721203770961,14.40809565275658,14.567202539626766,15.72863091653163,16.568297274502026,14.487867513362545,16.844251647352046,14.567202539626766,14.24721203770961,15.838164591489718,17.825900029575138,15.983041860629788,13.174191513481894,17.082055209180528,15.65518271253044,16.946576075360074,11.664810183203564,17.149393427035676,15.581388289140003,14.802656655742464,15.801737728941,16.019056448228326,15.983041860629797,11.61530258914025,13.174191513481894,13.13037621932506,17.11575743408316,15.432740894780286,16.515016279491363,14.606708465749223,16.706844228273535,16.91253671999221,14.724590293859926,14.327879661457956,15.655182712530443,15.94694593788299,11.364530011086309,14.880313464895806,16.810005091802942,15.910768126425625,16.126617643206203,14.567202539626766,16.126617643206206,16.162312303103512,16.980547195271644,14.646107830282808,14.487867513362552
p16_8.pdb_ringEdges,14.880313464895805,16.980547195271637,14.527589182573521,13.042304049333243,14.32787966145795,11.415125261939211,16.672315426926016,11.211374369551546,0.0,12.864350952291717,12.500847428901691,12.683901447591092,14.16608506616048,11.159855414894764,11.00385140588112,12.909069207212818,13.13037621932506,14.002421098159044,12.54686131323525,12.546861313235247,11.262657662697498,10.792338776705746,15.432740894780284,15.470036648253462,11.00385140588112,12.819476707371775,14.368043637395514,15.432740894780284,12.729253642892218,15.320308887446746,13.919867523234794,15.320308887446744,13.042304049333243,14.043515905322673,14.567202539626768,14.327879661457951,14.368043637395514,16.946576075360067,18.05077584134755,16.603042400390134,16.67231542692602,15.618329084438917,15.691949787569207,14.368043637395516,14.448036638653173,16.912536719992207,17.216468269102613,15.470036648253458,16.1623123031035,15.874507866387546,17.014450488444485,15.65518271253044,14.448036638653171,16.603042400390134,16.81000509180294,16.946576075360067,16.81000509180294,15.874507866387546,16.912536719992207,16.67231542692602,16.98054719527164,16.87842871632912,16.87842871632912,15.765226699332807,17.825900029575138,15.54435970518142,15.395354791382445,14.567202539626768,17.825900029575134,17.08205520918053,14.448036638653171,16.810005091802942,15.581388289140003,16.87842871632912,15.728630916531639,16.019056448228326,15.910768126425626,14.24721203770961,15.691949787569207,13.130376219325056,17.182963576989145,17.890438692501917,15.874507866387553,17.316593394188747,16.63771496696689,16.91253671999221,16.67231542692602,17.014450488444492,15.946945937882994,18.335849852965875,14.606708465749218,17.283282801793753,16.878428716329125,17.98681249495902,18.114513331037603,16.74130181439538,18.050775841347555,18.272884421588895,16.980547195271644,16.94657607536007,16.878428716329122
p16_9.pdb_ringEdges,13.646878329332068,13.519602842426593,9.573976026142564,11.211374369551546,15.207045646283031,12.50084742890169,15.72863091653163,12.774444828561675,12.864350952291717,0.0,14.48786751336255,14.487867513362545,15.581388289140003,12.638386509334254,12.683901447591092,13.961205328956673,14.40809565275658,12.774444828561675,11.364530011086309,11.262657662697498,12.638386509334254,12.592707063472917,14.24721203770961,14.043515905322671,12.683901447591092,14.368043637395516,12.729253642892218,14.002421098159044,11.2626576626975,14.043515905322671,12.50084742890169,14.125346853398455,11.211374369551546,12.729253642892216,12.953633087651184,12.683901447591094,12.729253642892218,15.507242703691285,16.912536719992215,15.581388289140007,15.728630916531637,14.368043637395514,14.685401490907655,12.90906920721282,12.546861313235254,15.910768126425626,15.655182712530445,14.206706461195587,14.48786751336255,14.24721203770962,15.581388289140008,14.408095652756588,12.909069207212823,15.432740894780288,15.357877678236052,15.581388289140008,15.43274089478029,14.166085066160484,15.16910329964347,15.728630916531637,15.76522669933281,15.946945937882994,15.801737728941003,14.448036638653177,16.741301814395385,16.63771496696689,14.206706461195582,13.130376219325058,14.646107830282803,12.953633087651184,12.998044181428718,13.042304049333243,11.108097519758935,12.953633087651186,12.005648388168755,14.487867513362554,11.159855414894762,12.774444828561675,14.287602780744544,7.437878319675922,12.729253642892218,14.32787966145795,11.714108544104025,13.34801451622764,15.244893560173418,12.729253642892218,15.728630916531635,12.592707063472918,11.313708498984763,14.408095652756584,9.811788136760699,15.946945937882996,15.357877678236054,16.912536719992215,16.775688624123887,13.042304049333243,14.606708465749218,14.567202539626773,12.909069207212827,12.953633087651186,13.217861567090939
