,STIM1_0.pdb_ringEdges,STIM1_1.pdb_ringEdges,STIM1_2.pdb_ringEdges,STIM1_3.pdb_ringEdges,STIM1_4.pdb_ringEdges,STIM1_5.pdb_ringEdges,STIM1_6.pdb_ringEdges,STIM1_7.pdb_ringEdges,STIM1_8.pdb_ringEdges,STIM1_9.pdb_ringEdges,STIM1_10.pdb_ringEdges,STIM1_11.pdb_ringEdges,STIM1_12.pdb_ringEdges,STIM1_13.pdb_ringEdges,STIM1_14.pdb_ringEdges,STIM1_15.pdb_ringEdges,STIM1_16.pdb_ringEdges,STIM1_17.pdb_ringEdges,STIM1_18.pdb_ringEdges,STIM1_19.pdb_ringEdges,STIM1_20.pdb_ringEdges,STIM1_21.pdb_ringEdges,STIM1_22.pdb_ringEdges,STIM1_23.pdb_ringEdges,STIM1_24.pdb_ringEdges,STIM1_25.pdb_ringEdges,STIM1_26.pdb_ringEdges,STIM1_27.pdb_ringEdges,STIM1_28.pdb_ringEdges,STIM1_29.pdb_ringEdges,STIM1_30.pdb_ringEdges,STIM1_31.pdb_ringEdges,STIM1_32.pdb_ringEdges,STIM1_33.pdb_ringEdges,STIM1_34.pdb_ringEdges,STIM1_35.pdb_ringEdges,STIM1_36.pdb_ringEdges,STIM1_37.pdb_ringEdges,STIM1_38.pdb_ringEdges,STIM1_39.pdb_ringEdges,STIM1_40.pdb_ringEdges,STIM1_41.pdb_ringEdges,STIM1_42.pdb_ringEdges,STIM1_43.pdb_ringEdges,STIM1_44.pdb_ringEdges,STIM1_45.pdb_ringEdges,STIM1_46.pdb_ringEdges,STIM1_47.pdb_ringEdges,STIM1_48.pdb_ringEdges,STIM1_49.pdb_ringEdges,STIM1_50.pdb_ringEdges,STIM1_51.pdb_ringEdges,STIM1_52.pdb_ringEdges,STIM1_53.pdb_ringEdges,STIM1_54.pdb_ringEdges,STIM1_55.pdb_ringEdges,STIM1_56.pdb_ringEdges,STIM1_57.pdb_ringEdges,STIM1_58.pdb_ringEdges,STIM1_59.pdb_ringEdges,STIM1_60.pdb_ringEdges,STIM1_61.pdb_ringEdges,STIM1_62.pdb_ringEdges,STIM1_63.pdb_ringEdges,STIM1_64.pdb_ringEdges,STIM1_65.pdb_ringEdges,STIM1_66.pdb_ringEdges,STIM1_67.pdb_ringEdges,STIM1_68.pdb_ringEdges,STIM1_69.pdb_ringEdges,STIM1_70.pdb_ringEdges,STIM1_71.pdb_ringEdges,STIM1_72.pdb_ringEdges,STIM1_73.pdb_ringEdges,STIM1_74.pdb_ringEdges,STIM1_75.pdb_ringEdges,STIM1_76.pdb_ringEdges,STIM1_77.pdb_ringEdges,STIM1_78.pdb_ringEdges,STIM1_79.pdb_ringEdges,STIM1_80.pdb_ringEdges,STIM1_81.pdb_ringEdges,STIM1_82.pdb_ringEdges,STIM1_83.pdb_ringEdges,STIM1_84.pdb_ringEdges,STIM1_85.pdb_ringEdges,STIM1_86.pdb_ringEdges,STIM1_87.pdb_ringEdges,STIM1_88.pdb_ringEdges,STIM1_89.pdb_ringEdges,STIM1_90.pdb_ringEdges,STIM1_91.pdb_ringEdges,STIM1_92.pdb_ringEdges,STIM1_93.pdb_ringEdges,STIM1_94.pdb_ringEdges,STIM1_95.pdb_ringEdges,STIM1_96.pdb_ringEdges,STIM1_97.pdb_ringEdges,STIM1_98.pdb_ringEdges,STIM1_99.pdb_ringEdges,STIM1_100.pdb_ringEdges
STIM1_0.pdb_ringEdges,0.0,20.395241883166488,23.416551490792365,21.71628189227628,22.148897114999958,19.87160336145625,18.898422886497688,20.461194127329904,21.269623861855347,20.47808433385547,20.615189703508154,21.721921196457675,21.65171815872372,19.87160336145625,19.22441922591275,20.779312908786007,21.952591625358682,20.343484567327348,22.02451065897817,19.58333415800758,19.577633179989686,19.333787751943742,18.852178949999153,22.367542930420118,20.42107134894642,18.35473029033682,20.18741645049552,24.46126506074642,21.72192119645767,23.523631528955686,19.236593035875853,24.24941460174104,23.31376809839493,21.877743460300685,22.91338595262503,22.241242506142832,24.408538345956863,25.479038352120703,23.233229343688638,24.20128768436498,22.16499090244404,25.69215486691271,24.34366351822118,25.08775296508656,24.02640666130213,24.353278435205315,23.18780754199611,23.506423334580205,22.72320809319213,23.32380757938121,25.651087590463757,23.31629499734255,24.846131138632828,23.273300402562324,25.16235652808599,22.903166566212857,23.771522275988765,23.381500671330134,25.712663908496886,23.449037599464205,23.970265818527192,24.53777344384359,24.91909389022959,24.61165035777434,24.237327864587392,24.621160622269564,24.860291802936107,24.556847511232444,25.113201074674937,26.07009037964964,24.473241201028554,23.970265818527185,22.30722759781627,24.666331445448975,23.516380568419972,24.61165035777434,24.05297770410369,23.98248715047047,26.249193416917777,26.249193416917777,26.018359647750476,26.21550520547515,24.675820635411664,22.913385952625028,24.169812679481836,24.675820635411664,25.173999137168092,24.16012474940842,24.418127717749183,26.318266713267757,24.654449100823904,26.539892454056183,25.946217480596044,23.90666606138429,25.225125901453623,25.77409311632502,24.66394286239287,24.675820635411657,24.74433613057008,25.400970499679357,24.213392411907584
STIM1_1.pdb_ringEdges,20.395241883166488,0.0,17.771067855173435,16.80522251789512,19.205861508379936,16.140660774347445,20.82410648389778,20.37227177720593,20.42395614214161,19.272826997228936,19.741507839649586,20.589603758832684,18.82419686459158,17.784236552842017,21.092634373311494,18.960587437339402,19.765211000428845,19.909874454028937,19.19697973660837,17.27946309817641,16.902823029204008,18.70870128779572,18.892515231777534,18.65226465457175,20.018441110539158,18.736855857957085,20.535467522230647,21.997885733501448,18.904902772487613,23.42131805716502,20.829987328201227,20.56654919368912,22.961916566417123,20.75392930014336,21.404121895292214,21.580999394924266,20.90576864864572,24.39150951528234,22.741486182711323,23.595952878577762,21.056513106068795,21.280627722862647,23.086557718439146,22.67184163452046,18.56728806386414,23.618282236732494,22.414627007290783,22.48506825814954,20.798777543087056,21.006385149622098,23.429061659241892,20.563985979859197,25.15305088835643,22.643170676708998,24.836707018118883,22.96191656641712,21.502406571639682,23.03068394774188,23.496461881105272,21.99788573350144,22.154426299301075,22.627896619579055,21.23102892342449,22.28622823611588,23.899077209651175,21.86704008000318,21.43148448269003,23.561168947455528,23.11420919405782,21.735406758943917,23.874802649454253,22.154426299301075,23.154954933760852,23.940948023168637,23.303724292298714,23.233229343688627,23.03553035887668,22.82376022936956,22.498096388034078,23.551230649719333,25.331721694961992,25.033806599640766,24.343663518221167,22.695080230452295,21.941924756399665,23.818304471707823,24.72089158222566,25.447072294707958,25.692154866912716,25.141398578452634,24.45169260639904,25.744541078621644,25.00592177927076,24.827279320328525,23.099246606728315,24.57117489374317,24.590223052413364,22.49809638803407,22.71290313879423,22.880139317622135,22.557901381305015
STIM1_2.pdb_ringEdges,23.416551490792365,17.771067855173435,0.0,18.774054337810732,21.83731249614439,19.33683475376914,23.38879344717741,20.123494695496863,20.04769506749792,23.002460266123144,22.167648751340113,23.316294997342546,22.061717518021155,21.624634244341586,24.547312330185136,22.880139317622145,21.611079558641283,23.13217833275986,21.973909829119965,21.507597359678442,21.056513106068792,22.67184163452047,21.976590787373254,20.317556466642202,23.496461881105265,21.98724083849365,22.05904690569375,23.291146802591015,21.697640353255597,25.746588544998083,23.92870547556709,23.565906262745266,24.697173676291374,23.729613853651543,24.559246510169793,24.71355275800063,22.93637982288934,26.63220641637961,25.855771700580867,24.309949473638422,24.516281569918068,23.54872896058119,26.159795177350496,25.91686171067463,22.695080230452312,27.217584375267514,25.320151609328494,25.630529276777573,24.164744644231824,24.602136416967333,24.278615339238318,23.177709152338334,27.659446148473585,24.914178274022362,26.351647051476334,24.72089158222566,25.403289782682602,25.885196751284575,24.8579218574234,25.204220146203593,25.215843426106595,25.026993179303417,24.921458018491663,24.71850827139031,27.46160109832857,25.58936310024088,24.47324120102855,26.81651695122521,26.54409816299702,24.353278435205315,26.03861175880123,23.43905175741592,24.77295349380453,26.460325720015287,26.110498645849027,26.28932639248375,25.889508814704598,26.886324006911973,24.028858618578383,26.588392874690925,28.82698993716147,27.68253024237768,27.50656017595036,26.179937877825875,24.92145801849166,25.86482451683796,27.051372316132998,27.8304389712655,28.59647075313461,28.54931813356447,27.487389638655884,26.75748102302746,25.20655753242912,26.700521145800966,24.84850220869468,26.58180294980037,26.36052957320556,25.765008420622124,25.4790383521207,23.37148597306444,23.84042557239423
STIM1_3.pdb_ringEdges,21.71628189227628,16.80522251789512,18.774054337810732,0.0,17.119733389215778,17.601885029426462,20.662890377672003,19.433209009401946,20.874672164719048,19.589033476875265,19.26976987428112,21.335343897505073,19.77383754264182,20.22194678518728,23.4563093774874,21.705498892459097,20.363365799068365,22.257060546847757,20.89990912780216,19.293811515371917,19.613237105777372,21.33810508649189,20.75086623763942,20.68583756991708,20.478084333855463,21.51033643724364,23.09394363373523,24.0115605232082,20.913924740756244,24.079519426557372,22.409162024396615,22.984389714383024,23.227956959149996,22.33848141521677,23.21787603209779,23.108909654640932,22.479620400116502,25.275719881021715,24.19622624173211,24.637590237545123,22.759272750332592,22.82865056944247,24.649480709029284,24.130780626482252,21.947011592229547,24.530379835700092,23.88927948722199,24.218002145242643,21.53727614081902,22.851729702313516,23.305986189133094,21.89623166757949,25.520382490876198,23.59299593871752,26.175259044496805,24.142920704733285,23.578337186835817,23.965155584108842,24.302486554119906,24.53278142284494,23.240568646394017,23.055847263183725,23.05840242689464,23.521126904396265,26.026938936179118,24.043242696854467,23.126882910982523,25.83969664064616,25.1828660836301,22.999898887543182,24.150176143290103,23.778695434971784,25.46984841522568,24.08460539544429,24.096768737029706,25.769340595534892,24.620719830281985,25.16913330486034,23.967613807550947,24.85062350067083,26.424677214518127,25.421287545384413,25.22955077995128,24.283212691171066,22.098581104263374,24.723023823487786,24.860042345626795,25.95051940451947,26.413585886430585,27.055498516937366,25.08287040186788,26.121481254816633,26.112517417734225,26.881768121988202,24.53278142284494,26.526453083258133,26.184201402769105,23.967613807550965,23.79323074862607,25.22026993320802,22.570612710769186
STIM1_4.pdb_ringEdges,22.148897114999958,19.205861508379936,21.83731249614439,17.119733389215778,0.0,19.260676089142173,16.714010276857074,19.75603136244217,18.519631318847757,19.749830732274354,16.878223206387908,21.483074282331092,19.45131071090309,17.42127363868092,21.82658928921329,20.81286125928989,21.125685163880753,20.53237186916415,20.024016587839665,20.253509601123234,19.61323710577737,21.189364013269067,23.015195519617073,22.539474416603973,21.775528544925226,22.327998900119134,24.121077019676118,24.0115605232082,22.748984132698503,23.682198200925257,23.33111838878107,23.121586276421105,22.81581119114721,22.19644499785126,22.243891243989193,24.3960855927352,22.053493808176686,25.524756184821317,24.06515703139576,25.35460143550848,23.66759469738508,23.999353996473793,25.98210475388513,25.366155807790758,23.702222445104383,24.271142785065233,23.62300809862935,23.555969963689318,23.32334226850097,23.889279487221987,24.453848320344573,23.386274381725805,26.691519426632976,24.72753855099003,27.433866921445215,24.27357002071158,25.094549888542087,25.582273416924753,25.28056519827408,26.114773507515576,24.649480709029284,24.475395017043358,24.73487322563778,24.78690577047525,26.7066754132353,25.03145308228936,23.889279487221987,27.230284098646916,26.24877996426506,24.422698807753914,23.35117811545802,24.649480709029284,25.22026993320802,24.215569339778344,25.458341104301077,27.16353004197145,25.83267566054562,26.355882799472585,25.95278957687796,26.051886211823483,26.30471411165924,26.951176068455126,26.77039901768166,25.75796708238161,23.974922298618754,26.051886211823486,24.73249126212336,25.705608231933425,26.41358588643058,26.82067928314461,25.58227341692475,25.632585850131107,26.353647350645236,26.406952338029207,24.53278142284495,27.769148013494203,25.32455988429678,23.433825680979034,24.53493001208022,24.58524168128376,22.57061271076919
STIM1_5.pdb_ringEdges,19.87160336145625,16.140660774347445,19.33683475376914,17.601885029426462,19.260676089142173,0.0,18.85809924082341,18.35793979422452,17.918765876662263,17.674928593213437,18.010074699947104,18.598824669042063,15.84400701020846,16.781126349276672,20.717217495966825,17.488689589728896,18.357939794224524,18.51360279286809,19.117506892046418,16.438751720843495,16.04238571830524,17.39803071810764,16.700647529571327,17.33732810257781,17.245873565544883,17.608842035450756,20.30603072293871,21.1951435127751,17.78754899430515,22.80813128498648,19.523708505262263,21.643338664058565,21.045392064102387,19.114424927527317,19.658242841818478,19.85068292032043,20.05936924665489,23.012635558510848,21.25584278999962,22.73118951450158,19.442541065940315,22.322998881641507,22.882714101503854,23.672769166280492,21.294392754683052,23.03068394774189,22.60198248833719,23.87480264945425,21.447610589527233,21.20618602156917,24.006911149619746,22.35970905775134,24.213392411907577,21.74054191575496,23.368965041947906,21.217222783287617,21.305383822990887,22.56827711153305,22.487688276721745,22.07232649493988,23.177709152338327,23.630685608453728,22.15442629930108,23.167606360954178,23.453797563615137,21.379480127978702,23.69999836457,23.38150067133013,23.832815628355664,23.441565151332934,23.157499162082708,22.485068258149532,22.6950802304523,24.506730605310057,22.28622823611588,23.57360236964582,22.851729702313516,22.0935291659742,23.774000521056493,23.640590504042944,26.70928764515498,25.117892569476908,23.23576500126043,21.939239561984365,21.602971371851236,22.961916566417127,25.394072432925814,25.155393029122262,25.278479985703203,24.59022305241337,25.506831430273795,24.827279320328536,24.451692606399046,23.4939543600661,22.751778191005496,23.761671958504234,25.39175230800974,21.997885733501448,23.443813749063434,24.266543146461338,23.293676155497863
STIM1_6.pdb_ringEdges,18.898422886497688,20.82410648389778,23.38879344717741,20.662890377672003,16.714010276857074,18.85809924082341,0.0,17.326862238696297,18.44673875086423,16.39625595379401,15.256057381306134,19.297105860041395,19.218047073866106,17.70472717499723,19.838885940214425,18.886031095564682,21.92298004979174,18.23277566710927,19.61323710577737,19.387680896451645,19.052762317784396,21.274871445880944,20.22194678518728,22.338481415216776,20.25664787040879,20.389235646108922,22.479620400116506,24.218002145242643,22.549858625521548,23.108909654640936,21.920292534685807,24.352832794487774,21.933656132023,20.08825488926613,20.759307243000734,22.63515821895,22.818393233692913,24.09168533593243,23.74417921326464,25.19936014937651,22.419606590882076,26.395853562090352,24.336210937422003,25.807937004012953,25.15748844392464,24.345828797659806,23.56590626274527,23.766369307858525,23.40105344478282,24.227666931862032,26.132696559240966,23.84510740774346,25.092202068594197,24.43926184195925,26.364763894140957,24.348248587985257,25.29215339301528,24.413111231467425,25.950519404519465,24.34824858798526,24.59476215744718,24.786905770475254,25.889508814704595,25.83969664064616,25.483419141920326,25.103877213745115,24.7254066990638,25.664562482962,26.076393434937348,26.781342574216094,24.594762157447185,25.103877213745115,23.521126904396265,25.04080391012071,23.508665728643255,25.345366379265958,25.182866083630095,25.11554693162024,27.172147162036136,26.702495310625064,26.253445694855248,25.96610790414927,25.050151247435224,23.83281562835567,24.551859368479874,25.15748844392465,25.541029463326495,24.542322249439838,24.668468402666065,27.122518462560553,25.529554236901276,26.413585886430585,26.302474314002474,25.043156548695716,25.81928850519954,26.713466684905974,25.644014971840292,25.655439002043934,25.721345161154087,26.473388715416075,24.59476215744718
STIM1_7.pdb_ringEdges,20.461194127329904,20.37227177720593,20.123494695496863,19.433209009401946,19.75603136244217,18.35793979422452,17.326862238696297,0.0,16.843833550654992,16.03107447544329,14.808336223405597,17.228874267552474,17.140278506687743,18.529423490322657,19.953978057271634,17.323819690881418,22.048431539076287,20.423956142141623,19.430496289248815,20.609247566840434,20.449749339833385,22.10945288732276,19.27009169953603,21.917887636576964,19.141982757174585,18.783713876034856,21.62735849933864,20.90858656743833,21.554114339523235,20.835345639249116,20.742646030366657,23.16231903881419,19.523708505262263,18.963694403421425,20.149672511621173,21.64333866405856,21.120400512998277,21.9202925346858,24.623553355374234,21.770401640688668,20.9701153176159,24.81547404217749,23.28109323733707,24.430125004836516,24.138296632966583,25.07841964285122,24.451692606399053,24.516281569918068,21.87214433187609,22.892942617877388,22.565666449843263,21.79460142243466,24.331623599273943,22.58359149141614,23.89687145038613,23.56366931587497,23.618282236732504,22.55528951867651,23.81583083685331,23.29367615549787,23.685144004451995,22.54229444310606,25.02699317930342,23.695026135581536,24.087051428342747,24.602136416967344,23.167606360954178,24.794222883004295,25.593725006140136,24.846131138632835,24.578303913325957,22.215156499439168,22.427696056162294,24.254464944983678,22.130619988723133,24.463673432856687,23.521126904396265,23.69751238048535,25.621393677032657,25.015282150822763,27.16803867748638,24.0967687370297,24.02640666130215,22.89294261787739,22.70539327386625,24.026406661302143,25.150708529480514,24.525828815144415,25.266885519904697,27.55335908558564,25.6190941388669,24.578303913325954,24.8249062232317,23.48649620262609,25.206557532429116,23.620776559446952,24.256893849477233,26.110498645849027,23.965155584108842,25.50683143027379,22.47203257522594
STIM1_8.pdb_ringEdges,21.269623861855347,20.42395614214161,20.04769506749792,20.874672164719048,18.519631318847757,17.918765876662263,18.44673875086423,16.843833550654992,0.0,19.25761703725278,19.074557915975998,20.42107134894641,17.411481554493886,17.595542071081358,20.93378264466204,20.19033462830918,21.83489845860693,21.676050442612876,19.836228698829032,19.451310710903094,18.951345291880823,21.034265142322422,21.020329768247972,22.109452887322757,21.915199496975795,21.456066524357972,23.984943597595663,22.275721131716146,22.60458895579536,24.31696380476335,22.915957000992083,24.0115605232082,23.338891918190818,21.61380552210293,22.80065278543272,24.2614953174523,22.594229900711422,25.377704919411933,23.528837658294727,24.355697485393435,23.92870547556709,25.959778071458548,25.3617547628543,26.539892454056183,24.18193316244316,24.00445695049926,24.494770838887483,24.687692693782367,24.074883177286655,25.132085178638814,25.69215486691271,24.635450601858068,26.329398194837747,25.70790003152743,24.95198489875298,22.011202221955408,24.58070081818618,26.0498627412355,25.753632994261242,25.621393677032643,26.340524972254318,25.794537009508115,25.814964712367427,26.451476710290464,26.464544073595075,25.153050888356436,26.222423684243395,26.757481023027452,27.61473598300104,25.867102210030918,24.516281569918068,24.51628156991806,23.030683947741885,25.794537009508115,24.69717367629136,26.451476710290464,26.054147551803784,25.639661621441405,26.74873031834242,26.39162422923918,27.66790881679665,27.279716745898117,26.40935939332666,25.25761839171907,23.685144004452,26.02961938391182,26.400493300535654,25.683041187740265,25.803611309061903,26.69831455354439,26.027355912845877,24.644951682055552,22.555289518676506,23.007784324764618,23.086557718439146,25.194929968627243,25.320151609328477,24.461265060746417,26.81194920469302,22.614943265786206,22.961916566417123
STIM1_9.pdb_ringEdges,20.47808433385547,19.272826997228936,23.002460266123144,19.589033476875265,19.749830732274354,17.674928593213437,16.39625595379401,16.03107447544329,19.25761703725278,0.0,16.031074475443297,14.95751088192637,17.882475939769478,17.313345661208757,19.652011357303792,16.78777702271331,20.299998090655595,20.595024611776758,17.957659072937236,20.31702230517154,19.517434066960238,19.43624042505303,19.61323710577737,19.54442365801641,17.790512234935655,18.462616744499243,20.74802689787728,20.466648991230414,18.802111047564885,21.130968493123184,20.140668102818918,22.902692709228184,20.466648991230418,18.30330168885326,19.037376537389726,20.91644507124968,21.263864606051662,22.764176944005346,24.118634437541935,23.5335814818812,20.986595943657136,25.064196645581376,23.431311456876415,24.444272961578456,23.75651685376576,24.838829317430914,24.07488317728667,24.14048033278698,22.031971131471312,22.630226065661528,24.271142785065226,22.782422164684846,24.21556933977834,23.26803709786447,25.157488443924645,25.220269933208023,23.76636930785854,23.37626172858059,24.59476215744719,22.897818182512076,23.96515558410885,23.766369307858536,25.292153393015287,24.477801998906585,24.74884697024469,24.357861695078867,23.702222445104386,24.680343997703154,25.359003721902052,25.46984841522568,25.20864869429237,23.83281562835567,23.899077209651193,25.14583819033627,22.4300462938485,24.348248587985264,23.650032368006443,23.977379520751875,25.88046463285393,25.880464632853943,26.829406520897297,24.866901509791585,23.776217679264796,22.908039954863973,23.52112690439627,24.542322249439838,26.011386892321138,25.531861839518257,23.90887091702852,27.10307628639315,25.755679737869283,26.63220641637961,26.040636103639457,25.27363426868577,26.28466703099419,25.14818100284668,26.233359435779896,26.364763894140957,24.48236194715756,26.691519426632983,24.82940242547537
STIM1_10.pdb_ringEdges,20.615189703508154,19.741507839649586,22.167648751340113,19.26976987428112,16.878223206387908,18.010074699947104,15.256057381306134,14.808336223405597,19.074557915975998,16.031074475443297,0.0,16.28515279481245,16.385567481946616,17.293364771387875,19.953978057271634,16.767169841572077,21.759645459948022,18.52942349032266,19.10217326001977,19.985964067062742,19.499711784791156,21.67605044261289,18.7712463603907,20.73135661954669,18.12352105700976,18.443880941549335,20.883360090803656,22.322998881641507,21.55411433952323,20.06199693276402,20.123494695496863,22.748984132698492,19.36103335060144,18.79617312196842,19.0192069382017,21.200409532390772,20.818745280125796,21.629795699809655,23.84042557239423,22.85708887036815,20.512654441784523,23.774000521056493,22.451187361774185,24.30031741267158,23.608367981707044,24.697173676291374,23.3940295835292,23.59595287857777,21.285872594118,22.191415338564656,23.346397228820802,21.206186021569174,23.938487061439332,21.433943955520007,24.635450601858082,24.44211640311793,23.48398761749387,22.130619988723133,23.81583083685331,22.604588955795364,23.685144004452,22.11737539975401,24.772953493804533,23.017957263605037,23.822990654427304,24.082416629102553,22.75436749967087,23.88460631043878,24.968196825425316,24.07024603501275,23.79368687033855,23.41655149079238,23.6182822367325,23.727130972497427,21.84292055322672,24.072693526969758,22.56023805471192,23.29367615549787,25.744541078621644,24.50432646501178,26.22017685711912,23.83281562835567,23.35894496927291,22.614943265786216,22.283584530655844,23.4939543600661,24.642561026676766,23.87233486890262,24.633059024392917,26.973314403730228,24.994200877791233,25.42171445617846,26.027355912845884,24.625945855993557,26.029619383911825,24.881486533023377,25.733156604606627,25.497651510641912,23.159775339982257,25.957508510294584,23.66038785583137
