,VCB_0.pdb_ringEdges,VCB_1.pdb_ringEdges,VCB_2.pdb_ringEdges,VCB_3.pdb_ringEdges,VCB_4.pdb_ringEdges,VCB_5.pdb_ringEdges,VCB_6.pdb_ringEdges,VCB_7.pdb_ringEdges,VCB_8.pdb_ringEdges,VCB_9.pdb_ringEdges,VCB_10.pdb_ringEdges,VCB_11.pdb_ringEdges,VCB_12.pdb_ringEdges,VCB_13.pdb_ringEdges,VCB_14.pdb_ringEdges,VCB_15.pdb_ringEdges,VCB_16.pdb_ringEdges,VCB_17.pdb_ringEdges,VCB_18.pdb_ringEdges,VCB_19.pdb_ringEdges,VCB_20.pdb_ringEdges,VCB_21.pdb_ringEdges,VCB_22.pdb_ringEdges,VCB_23.pdb_ringEdges,VCB_24.pdb_ringEdges,VCB_25.pdb_ringEdges,VCB_26.pdb_ringEdges,VCB_27.pdb_ringEdges,VCB_28.pdb_ringEdges,VCB_29.pdb_ringEdges,VCB_30.pdb_ringEdges,VCB_31.pdb_ringEdges,VCB_32.pdb_ringEdges,VCB_33.pdb_ringEdges,VCB_34.pdb_ringEdges,VCB_35.pdb_ringEdges,VCB_36.pdb_ringEdges,VCB_37.pdb_ringEdges,VCB_38.pdb_ringEdges,VCB_39.pdb_ringEdges,VCB_40.pdb_ringEdges,VCB_41.pdb_ringEdges,VCB_42.pdb_ringEdges,VCB_43.pdb_ringEdges,VCB_44.pdb_ringEdges,VCB_45.pdb_ringEdges,VCB_46.pdb_ringEdges,VCB_47.pdb_ringEdges,VCB_48.pdb_ringEdges,VCB_49.pdb_ringEdges,VCB_50.pdb_ringEdges,VCB_51.pdb_ringEdges,VCB_52.pdb_ringEdges,VCB_53.pdb_ringEdges,VCB_54.pdb_ringEdges,VCB_55.pdb_ringEdges,VCB_56.pdb_ringEdges,VCB_57.pdb_ringEdges,VCB_58.pdb_ringEdges,VCB_59.pdb_ringEdges,VCB_60.pdb_ringEdges,VCB_61.pdb_ringEdges,VCB_62.pdb_ringEdges,VCB_63.pdb_ringEdges,VCB_64.pdb_ringEdges,VCB_65.pdb_ringEdges,VCB_66.pdb_ringEdges,VCB_67.pdb_ringEdges,VCB_68.pdb_ringEdges,VCB_69.pdb_ringEdges,VCB_70.pdb_ringEdges,VCB_71.pdb_ringEdges,VCB_72.pdb_ringEdges,VCB_73.pdb_ringEdges,VCB_74.pdb_ringEdges,VCB_75.pdb_ringEdges,VCB_76.pdb_ringEdges,VCB_77.pdb_ringEdges,VCB_78.pdb_ringEdges,VCB_79.pdb_ringEdges,VCB_80.pdb_ringEdges,VCB_81.pdb_ringEdges,VCB_82.pdb_ringEdges,VCB_83.pdb_ringEdges,VCB_84.pdb_ringEdges,VCB_85.pdb_ringEdges,VCB_86.pdb_ringEdges,VCB_87.pdb_ringEdges,VCB_88.pdb_ringEdges,VCB_89.pdb_ringEdges,VCB_90.pdb_ringEdges,VCB_91.pdb_ringEdges,VCB_92.pdb_ringEdges,VCB_93.pdb_ringEdges,VCB_94.pdb_ringEdges,VCB_95.pdb_ringEdges,VCB_96.pdb_ringEdges,VCB_97.pdb_ringEdges,VCB_98.pdb_ringEdges,VCB_99.pdb_ringEdges,VCB_100.pdb_ringEdges
VCB_0.pdb_ringEdges,0.0,37.9491286281565,38.90022201385587,39.702759235462395,37.7630170212267,37.65972046437081,39.835457024661345,39.00023309953655,38.95008460721356,40.07787873174387,44.73152234061673,44.56731374612405,41.99772721123247,44.71881849146654,41.947044537780606,41.588459937824155,43.115911427010595,45.46977017755867,45.67324659519464,44.18998241066124,44.1260590910756,43.567711146506866,42.642168629826394,45.02080327218442,43.03941111459257,40.039525925810366,42.98435233261693,39.4349867733994,41.16132341719044,42.39768432784556,42.98107405908713,42.127619961687465,41.05273770075849,43.624742770796786,40.800066844865086,42.437012147416844,42.766809560686255,44.23737621678595,42.4742702864174,45.51433340668134,42.89670468377819,42.94986506487432,42.347480337194746,42.037429209520646,41.24891183137722,40.69319800207853,41.868408572139934,41.77635259765554,41.557955151374344,41.11624319591296,41.107176988939585,39.8956593674505,39.23472487941823,39.74223766404527,38.49002231984054,39.736518582922095,41.63848744087183,41.387305915088206,42.394575124654864,42.26754611454821,44.10576132228291,41.478910303912336,43.16448455933108,40.998780469667686,38.92124916242593,39.642722592494316,42.81811426360243,42.951875818916704,38.70506191936427,41.57031283369075,42.0366723014777,42.82140501282894,42.72672146646325,41.0623694131036,41.47759526649193,41.46444259844818,41.58190165750659,44.037690468713116,43.45467858480943,43.40213652051542,45.21112091671095,44.25093732956918,42.86341945380387,41.72507421421588,41.15679552858583,41.19521154874021,41.848645030742574,41.0113066449641,42.756711328589894,44.19965034826741,42.29076838872871,41.71341619801829,40.84148959975966,41.82311235755574,43.409676340650186,41.28966412598156,41.17931961113938,43.65900927539579,41.77874622776085,41.90725691116261,40.954631217749025
VCB_1.pdb_ringEdges,37.9491286281565,0.0,35.81898937714468,35.645349052729344,34.33551037522635,34.44376180490062,35.49135618198279,38.17817082146198,36.45532758172546,36.568615455929425,39.82153369038603,39.270391344671374,38.945416348338846,42.568233995017344,38.912021979658924,39.752758623544885,39.13763592061419,40.64905232038576,40.24990118564952,40.79126466202387,43.49054233655032,39.835228812515425,37.26075195649761,42.02866986842548,40.16330301520175,39.61553873281182,41.84028072215932,40.22866458814486,42.167307457102616,39.38077518974785,41.378079396529024,40.74867538282135,41.62702356533669,39.8001827314216,41.83039347390631,42.63758478576899,42.310862563992906,41.197418277451284,41.48208813890209,42.30344924686194,41.20955317310875,41.499945235451335,42.89575100805976,39.74200891660205,41.98452095713377,41.55697075319402,42.16860098569686,41.45556218848854,41.14961614755251,41.59578212883004,40.794496063696066,39.65326995572778,39.08766371306245,39.23449317304174,40.20131160230297,41.797564087352846,40.05802609397346,41.541545469565825,41.753170810457945,41.3443411539542,40.31760274258746,41.60397708261692,39.86454337104369,39.21340216164512,38.67721904076453,37.71700846133919,40.023175104613465,41.25794689291006,40.34510221485723,39.17408698245686,41.108282730988826,41.11524822208472,41.01662634059073,41.7207164585915,39.70436202278496,42.66167110906682,39.20030148307079,40.883203930665324,41.68071278399427,42.76712841338868,40.57675106847186,42.6890447943562,42.72012512749812,40.34160946895227,42.246678191093594,42.209219156698296,41.1329330563502,40.89998888641776,42.053861567367136,40.97138691153316,39.45849372787476,41.959070966402976,40.80886712913802,41.06181592760764,42.07687769266681,40.08094083453909,41.03922735405952,43.02525685307099,40.58033558712448,42.12330385039537,43.417005466019525
VCB_2.pdb_ringEdges,38.90022201385587,35.81898937714468,0.0,32.76874897048882,35.29254363691627,33.48527491844198,37.807166227870376,37.72110573911934,35.66090296108615,37.49242347704163,37.683731720248204,38.058806172458056,40.53483350493415,41.72071645859149,39.77710625244358,39.47622990196419,37.24550003325606,40.13205474657164,38.121814322940246,38.77182669741716,40.726247957886784,40.041682827228534,36.493336876252364,40.98525233655288,41.79930403944333,40.272593884449805,42.86543426288202,40.94630630472064,39.76967780517311,41.48417003673051,40.209451625208786,44.95432024945892,41.88458167175826,43.25106409621098,41.918969452981614,41.26874229861018,44.827244151094355,41.30738432774466,40.744436318460664,44.75590362277264,42.950605879947155,40.18038870349118,42.82851641350449,40.68068561145679,43.12423912372258,40.57675106847186,41.552485977485105,37.59013410215753,38.50194800266611,40.80563686551167,39.441902037853616,39.580527811263295,39.01386699856633,39.716495313660346,39.30278731730227,39.98499718644488,41.787014076798435,40.184234810093514,38.82220545465753,37.331561105122006,41.498959461215904,39.45054441380321,39.678022311418935,41.6696968595122,39.06614437545176,37.32157552944415,41.03258128941844,40.178239248266145,39.492461881409085,37.15189949872874,40.766073238328126,40.11494847197358,38.91202197965892,40.03952592581037,40.36492626931551,40.64390818717213,36.78846162984956,40.36492626931551,40.353551156113824,43.369972855128125,38.154708990920405,40.13805720713997,42.04424076872106,39.441902037853616,40.68280852019578,38.304284118335715,43.21773625807734,40.70905639691587,42.21697202870822,43.7501168829608,39.75596010205725,39.24538189392484,41.97228522814468,42.31011054754477,42.53073754784464,39.90249479555252,39.78830344346307,40.86018288572079,39.20644659422043,39.62953444086878,42.320207938997704
VCB_3.pdb_ringEdges,39.702759235462395,35.645349052729344,32.76874897048882,0.0,30.178107658005725,31.95195256517629,35.22382974377126,38.3142508498055,34.00775312671032,37.71737000375297,39.32452392360506,37.30817604761729,38.7158647303426,40.860182885720796,41.168279934037535,38.50053128322925,40.10214231411861,41.053069866388185,40.10678926883265,40.29267923581162,40.93276082908304,38.6586459810857,38.57189273409997,41.62997172055909,41.91278824155967,40.11823434889342,41.0934633156264,38.41744395453717,39.80018273142161,39.79332972885149,40.444012929211006,43.407477361729924,39.21780671629111,41.8181126481642,38.79327495608211,41.56254870127024,42.267331033876246,40.24990118564951,40.90554530089584,42.7698917039036,40.17009290051951,40.56868474350859,39.8330607319188,38.19471643612985,41.14541839069642,40.977266424645364,41.69063553016547,38.08805587057449,38.53793880415417,36.478137911008425,39.19415540845119,37.617089926594,37.79971139860973,39.65292606422066,37.230608131189406,39.78293375534065,40.5644268697677,38.176384894805956,38.98682761231967,40.9340933697084,40.71151277866345,40.216572793721895,39.07486985961002,39.255920225200136,37.67625246756907,39.654645491933394,38.85672984883648,42.015473340187484,38.34188310451124,38.93701207194659,40.06188394789429,38.49084897148229,37.30817604761728,37.80199609929235,38.52378250096715,39.58523599892912,37.03462753105047,36.9706271616709,40.378662231881435,41.157568618000994,39.34197388402003,40.62242998863834,40.65576108119135,36.676224649566365,39.874918067741476,39.28208011526149,40.63853970175249,37.18455202218945,39.84777853965588,41.01208247688618,39.51018280715175,37.28648304924752,41.02249936980265,40.28703829453661,40.87408603370739,39.2773355882129,38.89017169601414,38.57413169941277,38.482699772991324,38.153279377698745,39.56754868690899
VCB_4.pdb_ringEdges,37.7630170212267,34.33551037522635,35.29254363691627,30.178107658005725,0.0,31.654527178732152,33.46314118820618,35.473549685261695,31.37442502189559,36.27333104988497,38.316504870023685,38.03706326490237,36.005302639775465,36.93581656677633,36.29224810792625,35.77365714397327,36.519110812634224,36.86782287627476,37.313170962446115,38.091755252046624,39.418385189009136,37.16608913805952,37.16107445359268,38.74966275513075,39.42703271983466,36.32292038719559,37.977864366209246,35.782423313434506,38.240982300049914,36.169424556208746,38.34863989528423,38.52602426223799,37.04849401920289,36.61544631833555,35.995201700428765,38.301436004411165,36.936678001929,37.36782767909514,37.18601887806765,39.60394837983622,36.390433308269905,38.86374800621929,36.33042801839808,35.77213237347557,38.24811344129519,36.29074512624653,36.378190269345865,37.84874202304848,38.097482617860535,34.572059133457415,36.22819093167394,33.97432185422615,35.03880965184442,33.919691250738964,34.60740856049079,36.26042169939817,37.030822542603914,34.71035999394265,36.61668770085331,36.441360118315174,35.98560318187872,37.137337252175506,34.859979658889436,37.88043390362995,36.12805507685638,35.72177843480723,36.37631597119709,38.024394083989684,33.16350677805629,36.05765585079749,36.47963317199942,35.77365714397326,33.09765166072282,34.82893259137508,36.724032260286315,37.15348998656548,36.586261703739964,34.246167668806436,34.34093766920181,35.977644573970004,37.861950197094664,37.27453432426639,39.779277382714156,37.23793276168323,37.85594705291008,36.22580697388389,37.01191454358748,36.234463755330616,39.33723658085538,37.3078105397882,37.16339841589015,35.41904983069274,38.19352634341924,39.87959149968593,38.335243694163644,37.41475158762438,37.50587832714911,36.87756154431241,37.078540718563694,36.335182049158064,37.6162440732966
VCB_5.pdb_ringEdges,37.65972046437081,34.44376180490062,33.48527491844198,31.95195256517629,31.654527178732152,0.0,29.23245394482585,32.89597930667905,32.9605825191243,33.74584149464673,36.241362607335375,35.42610747611278,36.30790046757923,38.00514319261161,35.979160635012086,36.18085882693429,36.90799371409943,38.41058092860262,38.65123777860401,39.22858419802864,38.374233779735874,36.95082727576799,37.34519562626015,39.395431207184465,40.43479599642777,36.014895908120174,39.00466172605065,36.40417059024474,38.332990775808064,36.27145133322055,39.19079205397853,38.98566169993556,37.53083580688872,37.79213482386856,37.58372471744076,37.602586951625405,40.160813102960375,38.12467585555204,39.28670836994948,42.20243422535553,37.564247992908506,37.51339154827979,39.13728749833433,36.06156352179377,39.446857231654704,38.42619844940078,38.991840638313555,36.455327581725456,36.51164197896342,35.59290021134199,37.407097041750156,34.49466361891099,37.25074739945744,38.379089950838456,35.22873310755923,37.73435858977627,38.65347214793145,36.54834904864816,36.702613233689796,37.6089931218102,38.442992031885865,37.03229548773493,36.400924064194804,35.98673998218592,31.6912663621441,35.40364644804522,37.16339841589014,37.82387413453913,35.39838208937603,35.64343621839159,36.172943178317986,36.07819789895786,35.12613634525518,36.76201102422796,36.11811431703191,36.8524083337847,36.08096954956127,37.21595454542683,38.75189144943889,39.83876595387057,38.14982425790576,38.14041044733149,38.18043287530221,36.22304640569446,37.65911696932225,38.37908995083845,38.83648706143144,36.636544100615815,39.98283722708128,39.033202649679076,37.93415347678137,38.68344724696979,37.80800780979419,39.42092199466034,39.460682388238794,37.59763048626632,37.287945895301235,37.55553463629809,35.85285585176271,36.92276952086493,38.676396372511746
VCB_6.pdb_ringEdges,39.835457024661345,35.49135618198279,37.807166227870376,35.22382974377126,33.46314118820618,29.23245394482585,0.0,29.748185582561945,29.807107145169898,34.18013777300819,34.70119201515605,32.62653688473406,33.692189545407096,34.36250599391466,33.88429510179396,32.997933819614204,36.51637241766299,37.64233593369915,35.80350414541728,37.41584496634358,38.27971216762696,36.166659684401004,35.837258417868604,38.178170821461975,39.42449630738373,35.59813580410182,39.475078444276996,37.292943519701424,39.27259048797733,36.26907021892701,39.83191958946772,37.755192297941626,34.90050794108101,34.665938220784916,37.4680469927984,39.60394837983622,38.488605161433576,35.761711368445496,38.53074333332003,39.694973347905325,36.58079476247815,38.669814396432656,37.205937942508875,33.42658169236523,38.60770059786712,37.56424799290851,38.04530791760607,40.277446881260126,38.08053666543155,37.20593794250889,37.21058011812336,35.030635942635385,37.24842888694044,37.00835286551113,38.61252740662385,38.97505029444542,38.26546033364107,35.72966681777336,36.19618262142626,37.21937423146475,37.57150757978958,36.22455219624095,37.09962018918553,36.890254933937676,32.36636862828174,34.46117710225132,36.06635299253061,38.308793198998586,35.18574091356279,37.73435858977627,35.9648818609589,36.87904061067262,34.81039552150534,35.86008163049072,37.12313662296435,36.34806484782679,37.667806365166,36.41702898370492,38.562228339989105,39.09347771687759,39.46206463750407,37.455792124000894,38.1826947951318,35.081074929109874,35.23402281370049,36.310279035506824,37.29404046956375,35.91846828076563,38.66452449656479,37.498848467168166,34.69831015010285,37.719298171432854,36.52769808340967,37.706040027367735,35.75891497235345,36.812423792173064,35.88111683677848,39.37130935084587,35.13920369563943,37.02075584906887,37.41584496634358
VCB_7.pdb_ringEdges,39.00023309953655,38.17817082146198,37.72110573911934,38.3142508498055,35.473549685261695,32.89597930667905,29.748185582561945,0.0,32.960582519124316,35.125230507169924,34.69870314579499,33.955719828784545,34.655578063409855,36.73950066469212,34.84237232294772,36.07341000087062,35.59290021134199,39.171070029713654,39.222790221085454,37.905984176164594,40.51868255957541,36.25641009155866,36.363693181773854,39.2205882854216,40.79583312055294,36.41977484828818,40.848945685737945,38.93526095269622,37.95379966605337,38.14613050792017,39.100453380305694,38.713281723695125,38.69413862119647,40.153002831216014,40.48737176858086,39.225339676378546,42.468598024679636,39.00000000000006,41.47343070624203,43.73941430376462,38.43814393400016,39.04496242678556,39.1328738809434,37.165722232870884,39.078475824004144,38.232660954168075,40.28805372225465,41.09158285851478,38.76373656818028,39.21363399264464,37.698806347151155,35.65299936381745,38.98344637033898,37.799350643773145,38.88339210791911,39.80646361402316,39.77024927345479,38.97505029444541,38.925219681753,37.52017639035883,39.28346864892295,37.81065265960717,39.02295361823491,39.19473526798308,34.34887850491568,34.98701057665421,37.84117526523918,37.82387413453914,36.921907761209695,37.83024283198929,38.90583036465924,37.77108080866299,34.70119201515605,37.743030663108755,36.71425286774017,36.04857833535193,39.37558080379726,40.155493227747066,38.92883950819173,39.92743417751764,39.36137931803438,39.65212363910556,38.84046624568019,37.60029013427718,36.95857632047489,35.181735964198076,38.83203925532725,38.18900365288421,41.32872652724301,39.67469997595221,38.22184049609719,39.3306496259597,39.69417177278393,38.66087992226303,36.5722199589699,36.810077671499435,37.3826649178953,39.823702398537435,38.89554777045362,37.99282228861853,38.2908723991882
VCB_8.pdb_ringEdges,38.95008460721356,36.45532758172546,35.66090296108615,34.00775312671032,31.37442502189559,32.9605825191243,29.807107145169898,32.960582519124316,0.0,29.147586832906416,32.572715855172724,32.797034233989166,31.613144561889314,35.163126347716265,33.80787966248002,33.38943763309811,36.759661686048354,34.34384952214885,36.16942455620876,34.18811595755572,38.23610858861037,35.49903967971278,35.07329986808153,37.4374630065078,37.07228810654326,36.06912555332916,37.24049604200447,36.3456887527131,38.277455980820356,37.21827508093308,39.87377812320004,39.502934298376154,36.69877382147807,39.46102795509427,35.82266930818585,38.42477893708226,37.47265669791781,36.51674584725111,36.43262773444111,40.19237829150295,36.631829180248594,37.25806807073658,36.35381685600569,34.346364105575006,36.31027903550684,36.10930376207525,35.805027579936365,38.564821463938586,38.04124555842471,35.229120186160095,36.75966168604835,35.083925353098984,34.6580700296745,34.70119201515606,33.906153906441176,36.502677361331436,33.62601806502064,33.23388194434879,32.17579553300618,34.616863993251556,34.979604447059295,34.6222471829892,33.726843908080156,34.47858360305324,33.75782737515719,32.539486502066765,36.107793165364335,35.78000965496089,31.74285889627923,34.00026737862785,36.51786611310344,38.37826089195435,34.65557806340985,35.590473699879595,34.60990399503383,34.42475325058467,35.40364644804522,35.34723854457764,35.543571212604085,37.70748659688881,37.2220609072338,36.51823952741728,38.22635930159383,35.2340228137005,37.016089867663126,34.28185313756329,36.54561284452379,34.51745276602183,38.15244541191423,34.81574878752957,33.90870094828175,35.86958701640257,35.95969966504174,35.85006656517217,36.721309146795804,36.66606060105181,34.3599925918079,37.310490847384074,37.01142329802324,36.06156352179378,36.47726564712483
VCB_9.pdb_ringEdges,40.07787873174387,36.568615455929425,37.49242347704163,37.71737000375297,36.27333104988497,33.74584149464673,34.18013777300819,35.125230507169924,29.147586832906416,0.0,32.9194609477572,34.33458367832118,33.10492959721205,35.57361126146488,35.72966681777336,34.36541601933288,37.45081623094001,36.02158443842455,36.467046145053466,35.05177987959065,38.81517978598303,36.1116954109683,37.41815310538705,39.18162834798988,36.86005475258604,34.728819575259294,38.096289487655845,38.13981455835174,38.76479189817863,37.02456187206253,41.604960368599464,40.063699280021616,35.972464216650295,39.278377118854,38.116925374431815,38.4306932258343,39.39012335829659,38.00143537958922,37.63593543893443,41.81289492271716,38.964086028033606,36.87398688901043,39.64960162587909,36.22455219624096,37.408555171243975,38.38643226217027,37.41730275493611,38.377905575521446,39.55376088313226,38.52484440414576,39.08429119456847,36.81390547556236,36.813535060305846,36.960052144788136,36.91919924276903,38.55515529731406,36.04996532591957,36.81007767149944,35.65019444037251,37.58287811321441,37.14113132853711,37.09116532888322,36.15434086850937,34.28530032217629,34.41735819981756,34.639179079082275,38.4815185865537,37.97930058238667,34.41894298730918,35.3964559088773,38.48742415623345,40.98735947049579,37.02222919470758,40.34972118862788,37.473020597855154,37.59388248106338,35.420589800540945,37.67046105854878,38.14756038905198,40.35569127374505,38.10976968514175,38.68003948479705,39.005827070510236,37.859308930925785,37.12227951464781,36.57134993903888,38.98787690365493,36.08449679697518,39.85165674667177,36.87164468556001,35.19839872390897,37.78467702894682,37.767590723938326,38.817404718642806,37.22438106207475,37.75398835041988,37.33643114853231,39.14564877712237,40.06869101929839,37.66285848274016,38.347810178086426
