,VHL_0.pdb_ringEdges,VHL_1.pdb_ringEdges,VHL_2.pdb_ringEdges,VHL_3.pdb_ringEdges,VHL_4.pdb_ringEdges,VHL_5.pdb_ringEdges,VHL_6.pdb_ringEdges,VHL_7.pdb_ringEdges,VHL_8.pdb_ringEdges,VHL_9.pdb_ringEdges,VHL_10.pdb_ringEdges,VHL_11.pdb_ringEdges,VHL_12.pdb_ringEdges,VHL_13.pdb_ringEdges,VHL_14.pdb_ringEdges,VHL_15.pdb_ringEdges,VHL_16.pdb_ringEdges,VHL_17.pdb_ringEdges,VHL_18.pdb_ringEdges,VHL_19.pdb_ringEdges,VHL_20.pdb_ringEdges,VHL_21.pdb_ringEdges,VHL_22.pdb_ringEdges,VHL_23.pdb_ringEdges,VHL_24.pdb_ringEdges,VHL_25.pdb_ringEdges,VHL_26.pdb_ringEdges,VHL_27.pdb_ringEdges,VHL_28.pdb_ringEdges,VHL_29.pdb_ringEdges,VHL_30.pdb_ringEdges,VHL_31.pdb_ringEdges,VHL_32.pdb_ringEdges,VHL_33.pdb_ringEdges,VHL_34.pdb_ringEdges,VHL_35.pdb_ringEdges,VHL_36.pdb_ringEdges,VHL_37.pdb_ringEdges,VHL_38.pdb_ringEdges,VHL_39.pdb_ringEdges,VHL_40.pdb_ringEdges,VHL_41.pdb_ringEdges,VHL_42.pdb_ringEdges,VHL_43.pdb_ringEdges,VHL_44.pdb_ringEdges,VHL_45.pdb_ringEdges,VHL_46.pdb_ringEdges,VHL_47.pdb_ringEdges,VHL_48.pdb_ringEdges,VHL_49.pdb_ringEdges,VHL_50.pdb_ringEdges,VHL_51.pdb_ringEdges,VHL_52.pdb_ringEdges,VHL_53.pdb_ringEdges,VHL_54.pdb_ringEdges,VHL_55.pdb_ringEdges,VHL_56.pdb_ringEdges,VHL_57.pdb_ringEdges,VHL_58.pdb_ringEdges,VHL_59.pdb_ringEdges,VHL_60.pdb_ringEdges,VHL_61.pdb_ringEdges,VHL_62.pdb_ringEdges,VHL_63.pdb_ringEdges,VHL_64.pdb_ringEdges,VHL_65.pdb_ringEdges,VHL_66.pdb_ringEdges,VHL_67.pdb_ringEdges,VHL_68.pdb_ringEdges,VHL_69.pdb_ringEdges,VHL_70.pdb_ringEdges,VHL_71.pdb_ringEdges,VHL_72.pdb_ringEdges,VHL_73.pdb_ringEdges,VHL_74.pdb_ringEdges,VHL_75.pdb_ringEdges,VHL_76.pdb_ringEdges,VHL_77.pdb_ringEdges,VHL_78.pdb_ringEdges,VHL_79.pdb_ringEdges,VHL_80.pdb_ringEdges,VHL_81.pdb_ringEdges,VHL_82.pdb_ringEdges,VHL_83.pdb_ringEdges,VHL_84.pdb_ringEdges,VHL_85.pdb_ringEdges,VHL_86.pdb_ringEdges,VHL_87.pdb_ringEdges,VHL_88.pdb_ringEdges,VHL_89.pdb_ringEdges,VHL_90.pdb_ringEdges,VHL_91.pdb_ringEdges,VHL_92.pdb_ringEdges,VHL_93.pdb_ringEdges,VHL_94.pdb_ringEdges,VHL_95.pdb_ringEdges,VHL_96.pdb_ringEdges,VHL_97.pdb_ringEdges,VHL_98.pdb_ringEdges,VHL_99.pdb_ringEdges,VHL_100.pdb_ringEdges
VHL_0.pdb_ringEdges,0.0,17.22059117250562,19.198054309127222,17.614888518541953,17.729277275943108,18.720740255195025,17.082009288204773,19.38739472905437,21.09905798688378,20.65081592448849,19.75645098118336,17.912367028452255,20.919839134694314,20.303563991176567,20.32658967790427,17.614888518541953,20.218966629633872,21.27148403515494,19.39319127344943,20.57712763769963,19.292956793041906,18.25204618892481,19.13302713301602,19.69746386326494,19.411507194709227,18.549821232793462,17.62595756732919,16.91759317035629,16.32146079995991,16.77650856612965,17.444315183789964,18.136671220905082,18.622921981807686,18.53671808480055,19.487143462564713,19.78429128925729,16.439822644877932,19.784291289257293,18.425727611590514,18.22186498787552,20.138118125904732,18.91643214136,16.653791169898174,18.71031889246817,20.041609608573847,19.79414722747131,18.92080057013646,16.096095722896933,17.61957964245627,21.45161767388292,15.655273977346578,16.769807580320997,17.72927727594311,17.625957567329195,18.824021930843912,16.216102598068204,16.992852167702406,20.326589677904277,19.131472058900645,19.107006200616915,21.01624715852237,20.66569801337873,19.66378556661757,21.87832619339957,19.944634109255208,21.189347081778298,20.122845862845416,20.393322517573864,19.006827829288913,18.628956399351136,19.000913418670212,20.6602584928586,19.387394729054375,20.503174517358442,19.590603245872504,17.199942340860495,17.510893893764464,19.487143462564713,19.76063371018499,18.32633475233238,20.22305369686899,19.491383983359857,16.986236528582744,17.93413108715445,16.660538818387845,19.848683783412046,17.718272773683235,18.807682622264625,20.218966629633876,20.571664697582264,19.30306360303489,20.313167980116496,20.236535162223326,21.093730218845952,19.78429128925729,19.950268748578203,21.462941346415448,19.950268748578203,20.402884255673595,19.56493743561436,20.22861078311796
VHL_1.pdb_ringEdges,17.22059117250562,0.0,15.317143207303957,14.080171862211813,18.05080067361771,18.832537343914055,12.851086071734962,16.016623595657066,19.41576423493153,17.936803662298217,17.114200763360085,17.42023142239842,17.840987260975247,17.114200763360085,21.475644478923652,18.735302779723998,21.88051701385021,22.534748191028402,21.292065801976626,20.150179951209267,19.958303642782887,19.33557505764743,21.05537759385556,21.05537759385556,20.611639173571024,20.348127210918836,18.151702331204675,18.480903702278535,18.139313954607033,19.695953353732254,19.719688529550343,19.03576451258295,19.87073931668713,20.155757129280595,18.84289111189006,19.150038301323285,17.635051497580438,19.65806881210582,19.87073931668713,18.54376106349964,19.701659115435596,19.226703193800006,15.895110740556207,18.63596451900784,19.03576451258295,17.09342341273222,17.85191611819048,16.009604555282706,16.01662359565706,20.692315018538796,15.566333666013097,16.90430039666908,17.65079072515281,19.321464961655025,18.750118456926085,16.130254925665064,16.91094808960326,19.145722177184915,18.27602864794471,17.845618949828534,19.87639490401027,19.876394904010265,19.025515707435748,21.30649999762421,19.31564689250746,20.240618681949897,19.31136778221146,19.778609365416774,18.145509200136306,17.95393554775366,18.537698913072663,19.68604825422738,18.54376106349964,19.33309584731122,17.548704362242486,16.01662359565706,17.220591172505618,19.22670319380001,19.125596193375674,17.43142407993522,18.64802296037246,19.78429128925729,15.317143207303955,17.231913503009654,16.57699291834547,19.21655622263915,17.43142407993522,17.315067722880375,19.968073691324083,19.40571612133441,17.85191611819048,18.745710253083555,19.19219882837213,21.02780528351265,17.916980265049737,19.509607720003746,19.80224546913392,19.509607720003746,19.035764512582947,18.923333796756616,19.232548169468057
VHL_2.pdb_ringEdges,19.198054309127222,15.317143207303957,0.0,15.98925258875809,15.862320862361088,16.526962693361675,14.420256643100789,16.197132691869154,14.170508310753146,16.866809306989484,11.460316006777758,13.645209252231712,13.366419005283097,11.460316006777758,19.1271517452102,16.637108776159156,19.203908004482532,19.377331904458295,17.504474044376423,15.400225392790855,17.82105728189627,18.741301012372745,17.426682306117456,17.426682306117453,16.670159413635883,17.43787082309578,17.724615185415857,16.35009540751095,14.80093809848015,15.52369556410271,15.553798930069295,17.608506584382198,15.511126371811748,16.55054866634411,15.405590913851976,16.009604555282706,14.433775815687337,17.9493318091982,15.032746624432281,13.502371998533322,14.80853004127928,14.425986652880653,13.910338624963698,14.677018635712693,17.399819510795634,16.238002564131072,15.635623661137638,14.298818075180458,15.29392468372343,16.32834578373014,15.982221527643699,13.770251802735627,14.425986652880658,15.045715460522581,13.784408487685344,16.751464719478527,14.552043961968858,18.335081309107146,16.343219586307985,15.628433507050456,15.518370878115514,15.518370878115514,16.32834578373014,19.48714346256471,17.92325236129346,15.518370878115514,15.511126371811748,15.628433507050456,16.642075522180228,17.099997583490232,14.041026074441298,15.74486666968891,14.033018913787245,17.929522263435835,17.09342341273222,17.288031497479732,15.860445107507681,17.6085065843822,15.279219399385077,15.392925282750205,17.6085065843822,18.41513929819432,16.642075522180228,16.974750329837857,16.309506430300086,15.628433507050453,15.860445107507683,17.504474044376423,18.415139298194326,17.597426558664857,18.61244584937369,17.504474044376423,16.11815874479197,16.531962530926776,18.15170233120467,17.08200928820477,19.2224042837071,17.71192809081538,14.677018635712693,16.209169938113565,14.931358094475344
VHL_3.pdb_ringEdges,17.614888518541953,14.080171862211813,15.98925258875809,0.0,17.603812509681898,19.383131458151105,9.942479195954267,13.792559977893934,17.417479583490895,16.653791169898174,15.29392468372343,15.867530129062118,16.550548666344106,17.718272773683235,18.918965952907488,20.031875425377706,21.850203773847912,20.650815924488494,19.47560457479354,18.824021930843912,18.00780363441186,16.670159413635883,19.41729654093684,18.637560937149214,19.317187140167807,19.952671272516145,19.10856326578858,17.426682306117453,18.51405541565338,20.041609608573843,18.929272446977482,19.00091341867021,20.213406892006557,20.303563991176567,19.9502687485782,20.059333476068748,18.61848366232593,20.40118291822339,20.031875425377706,18.321824587042283,19.102680353662805,17.810109488714545,16.321460799959908,19.00091341867021,19.7663208012146,18.55587942289518,18.628956399351132,16.209169938113565,15.032746624432278,19.940489976323743,15.771508991462056,16.660538818387842,16.992852167702406,18.514055415653377,18.53065363032136,16.328345783730136,16.209169938113565,20.416246973816417,19.035764512582954,18.22639988841905,20.218966629633872,20.218966629633872,18.60196381706081,20.21896662963387,19.292956793041906,20.57712763769963,20.21340689200656,20.122845862845416,18.716325131987873,17.082009288204766,18.710318892468166,20.213406892006564,19.292956793041906,20.052822805763256,18.33859679014196,17.305805646976076,17.614888518541953,18.41513929819432,19.102680353662805,18.22639988841905,20.132536061422144,20.488174375873477,16.216102598068197,18.0356854711215,16.769807580321,20.122845862845413,18.024868037480744,18.514055415653377,19.75076104820954,20.122845862845416,19.017086705824834,19.85850776313549,20.505512260313115,20.65625793156973,19.69175688597131,20.581143580335386,20.68288708526492,19.298781702651898,20.13253606142214,19.65806881210582,19.955901796935304
VHL_4.pdb_ringEdges,17.729277275943108,18.05080067361771,15.862320862361088,17.603812509681898,0.0,12.68017258792261,18.121354007755052,15.630337105018842,19.47713217303693,19.383131458151105,17.6038125096819,16.873471770408624,19.092467468862864,18.01404410797217,18.83253734391405,15.867530129062118,19.102680353662805,19.277014960442504,17.808438894742245,19.102680353662805,17.50447404437642,16.35009540751095,17.949331809198195,17.524764060377553,18.0445729118272,17.326328315386437,16.788130399602256,13.543074836722187,16.33340642025588,16.991101219790227,15.190035881545658,15.279219399385076,16.763103915819464,16.871708433189134,18.524587190502043,18.24588711721671,16.00144621563112,18.044572911827203,16.32146079995991,16.974750329837857,17.188598950592148,16.642075522180228,15.76438081496824,17.923252361293457,17.718272773683235,17.227116813878293,16.87836896275748,15.879817223171122,14.677018635712695,18.710318892468162,16.98623652858274,15.405590913851977,15.99442051477032,14.916295376821784,16.98623652858274,17.504474044376423,14.162574356263558,19.025515707435748,17.326328315386437,16.209169938113565,18.81365777854653,18.81365777854653,18.315688979940596,19.574903818515487,18.23256554303293,18.421241781170195,18.41513929819432,18.71031889246817,17.188598950592144,16.328345783730136,17.195136733179158,19.000913418670212,16.974750329837857,18.437923548854098,16.776508566129646,18.01863131262098,16.209169938113565,17.49805183961398,17.6085065843822,16.432984367016584,17.923252361293457,16.87836896275748,16.97475032983786,17.923252361293457,17.504474044376423,18.51405541565338,15.982221527643695,17.406277959308078,17.49332812604908,18.115150501333144,18.910489458769913,17.821057281896273,18.735302779724,19.843020297965094,18.654049257976357,17.82105728189627,19.88204888256226,18.81805006541493,17.718272773683235,18.813657778546535,17.724615185415853
VHL_5.pdb_ringEdges,18.720740255195025,18.832537343914055,16.526962693361675,19.383131458151105,12.68017258792261,0.0,18.5095909916369,17.38860651011565,17.077170493559986,18.01404410797217,18.204985240403403,18.315688979940596,18.49905067923913,18.60196381706081,19.218104411988264,16.531962530926776,18.726743152265136,18.115150501333144,18.215695711334604,18.70590130952403,18.121354007755055,17.222318788792933,16.01146283600472,18.539303792860373,16.774439429734105,18.939573332483732,16.110055378474673,15.076773226028534,16.096095722896937,16.54375615658654,16.79098538152674,16.871708433189134,16.531962530926776,17.923252361293457,18.514055415653385,18.82656817960957,16.439822644877935,16.79767791901828,16.751464719478527,17.803797533435674,18.020282420439386,17.912367028452255,15.518370878115515,18.315688979940596,18.71031889246817,17.635051497580438,16.866809306989484,15.400225392790855,16.10307706337801,17.30102944436286,16.75817303993379,15.62843350705046,15.982221527643699,16.32146079995991,16.974750329837857,15.273809485467174,16.543756156586536,17.20926139280679,17.524764060377553,16.197132691869154,19.37733190445829,19.377331904458295,19.84868378341205,20.665698013378726,18.813657778546535,18.996563412565003,18.404544893239624,18.699891721965216,17.597426558664857,18.031102605138287,18.014044107972172,19.37153061446378,18.209524344680286,18.81963103774073,17.821057281896273,18.409034792282593,16.642075522180228,18.71031889246817,18.20952434468029,16.421111185360857,18.115150501333144,17.71192809081538,17.597426558664857,18.315688979940596,17.49332812604908,18.699891721965212,16.64207552218023,18.014044107972172,17.916980265049737,16.642075522180228,19.84302029796509,18.807682622264625,19.111071603948314,20.37824151571296,17.646107898540745,19.000913418670212,20.594390634826627,18.807682622264625,18.315688979940596,19.75076104820954,19.292956793041906
VHL_6.pdb_ringEdges,17.082009288204773,12.851086071734962,14.420256643100789,9.942479195954267,18.121354007755052,18.5095909916369,0.0,12.240428880294742,16.660538818387845,14.910753787531888,13.374825247950833,14.285171182120266,15.04022155630727,16.758173039933784,19.588831359976194,18.996563412565003,21.433425660336944,20.74449045644459,19.006827829288913,17.510893893764464,17.707261432474997,17.21579132873015,18.545365418680664,18.9352092346594,18.241357061304857,19.495369231886922,18.221864987875517,17.11593911828464,17.597426558664857,18.813657778546535,19.59878559233237,18.91048945876991,19.56493743561436,19.85434565334033,18.910489458769913,19.40571612133441,17.707261432475,20.673454852471806,18.996563412565003,18.014044107972172,19.39319127344943,18.32182458704228,14.787754594610133,17.700912802722538,18.910489458769913,18.05080067361771,17.718272773683235,15.153757409842733,16.321460799959908,20.21896662963387,14.931358094475348,16.096095722896937,16.2161025980682,18.618483662325925,17.614888518541953,15.281166499543705,16.328345783730136,19.212255042072833,18.145509200136306,17.294531692019905,19.383131458151105,19.756450981183356,19.471360617520304,21.02159456407932,18.807682622264622,19.19374898241612,19.564937435614357,19.2828446857188,18.01404410797217,18.22639988841905,17.388606510115647,19.377331904458295,18.01404410797217,19.398986085799045,18.62895639935114,16.321460799959908,17.504474044376423,19.102680353662805,18.41513929819432,17.504474044376423,18.91048945876991,20.031875425377706,16.096095722896933,16.439822644877932,15.752003676825073,19.2828446857188,17.504474044376423,18.209524344680286,20.031875425377713,19.471360617520308,18.32633475233238,19.387394729054375,19.866579769440364,20.38375629419556,19.216556222639145,19.387394729054375,20.23098025265882,19.198054309127222,19.481374872994685,18.990645805216147,19.673701874699265
VHL_7.pdb_ringEdges,19.38739472905437,16.016623595657066,16.197132691869154,13.792559977893934,15.630337105018842,17.38860651011565,12.240428880294742,0.0,16.316396458422727,16.427954405537324,14.538634764875491,16.316396458422727,16.083973852130974,17.49332812604908,20.767027266501177,19.461341208994117,23.31239517070353,21.170929702372778,20.026263747125213,18.014044107972172,19.756450981183356,19.1271517452102,19.21225504207283,19.588831359976194,19.111071603948314,21.02922012756426,20.218966629633872,18.63756093714922,19.65806881210582,19.65806881210582,19.495369231886922,19.377331904458295,19.64814461410694,20.832349288054484,19.18789218782434,18.918965952907488,19.570681394574226,21.45523881776366,20.016522101124195,18.894224925547753,19.28867264904414,18.996563412565003,17.188598950592144,19.187892187824335,19.377331904458295,19.121274552075967,18.215695711334604,17.08200928820477,17.510893893764464,20.656257931569723,16.20916993811357,16.86014421082801,16.97475032983786,19.84302029796509,18.11515050133314,16.08397385213098,17.504474044376423,20.039877599797762,18.63152930646115,17.597426558664857,19.65386425528805,20.203755481028526,20.65625793156973,21.271484035154934,19.848683783412042,19.65386425528805,19.64814461410694,19.740883448793344,18.30503701622286,19.108563265788575,19.092467468862864,20.19819155639337,18.503517646362706,20.218966629633872,18.716325131987876,17.28803149747973,17.803797533435674,19.564937435614357,18.30503701622286,17.597426558664857,19.18789218782434,20.29395545720877,16.197132691869154,16.97475032983786,16.751464719478527,19.92506623484123,17.597426558664857,19.471360617520304,19.930706406227547,19.92506623484123,18.415139298194322,19.658068812105824,20.130811875750556,21.508022719959968,20.41624697381641,19.092467468862868,21.20221413667735,19.658068812105824,19.750761048209537,20.203755481028526,19.756450981183356
VHL_8.pdb_ringEdges,21.09905798688378,19.41576423493153,14.170508310753146,17.417479583490895,19.47713217303693,17.077170493559986,16.660538818387845,16.316396458422727,0.0,14.684674644726979,12.535305512731652,14.306676474133923,13.510693652629627,16.09609572289694,19.22825056615164,20.113150995684553,19.292956793041906,16.655577578181127,17.82105728189627,14.787754594610133,17.724615185415857,18.452709268257685,14.591857799800092,17.949331809198195,16.786062695773726,20.064935905518414,19.756450981183352,19.127151745210195,17.821057281896273,16.08397385213098,17.641423828896123,20.213406892006557,17.183790170625898,18.315688979940596,16.64207552218023,17.840987260975247,17.082009288204773,18.45718745082905,17.81010948871455,16.538759884356402,16.758173039933787,16.873471770408628,17.92325236129346,17.923252361293457,20.031875425377702,19.784291289257286,17.49332812604908,17.19513673317916,18.431826588945512,16.885026864989136,17.17724806945715,16.974750329837864,16.197132691869157,18.226399888419053,15.153757409842735,16.64882791893712,17.406277959308078,18.83253734391405,18.735302779724,18.115150501333144,17.803797533435674,17.597426558664857,19.10856326578858,21.70173470615191,20.665698013378726,18.4212417811702,18.2156957113346,18.115150501333147,19.187892187824335,18.825602401653022,17.614888518541953,18.807682622264625,17.188598950592144,19.57068139457423,19.00091341867021,19.750761048209537,18.115150501333144,19.66378556661757,17.399819510795634,17.912367028452255,18.894224925547753,20.91983913469431,18.996563412565003,18.50351764636271,19.092467468862868,17.912367028452255,17.912367028452255,19.940489976323747,18.716325131987876,18.315688979940596,21.266199464629818,18.990645805216147,18.140954078439016,19.843020297965094,18.0445729118272,20.12284586284541,21.11057077265102,20.122845862845416,17.49805183961398,19.198054309127226,17.08200928820477
VHL_9.pdb_ringEdges,20.65081592448849,17.936803662298217,16.866809306989484,16.653791169898174,19.383131458151105,18.01404410797217,14.910753787531888,16.427954405537324,14.684674644726979,0.0,14.795353302264969,14.65808664636116,13.910338624963698,14.795353302264969,18.735302779723998,17.912367028452255,19.006827829288913,17.195136733179158,18.125914055036738,16.769807580321004,16.758173039933784,16.681855338080986,17.433130802778276,18.64802296037246,17.738318237203252,19.216556222639145,19.84868378341205,19.598785592332373,18.894224925547753,19.663785566617566,20.23653516222332,18.024868037480747,18.904544908085416,19.012740400075447,17.19513673317916,17.738318237203252,18.410650887888306,16.894519625855885,17.912367028452255,16.866809306989488,17.517311390367745,16.98137044377633,16.531962530926776,17.182058680375523,18.226399888419053,17.33281414776584,18.813657778546535,16.421111185360857,17.082009288204766,18.819631037740727,18.716325131987876,17.29453169201991,17.614888518541957,19.848683783412042,18.32182458704228,16.538759884356402,17.088587850104638,16.23800256413107,18.63756093714922,18.215695711334604,18.321824587042283,18.321824587042283,18.41513929819432,19.864166832941727,17.711928090815377,18.32182458704228,18.315688979940596,20.29395545720877,18.70590130952403,18.321824587042283,18.699891721965216,20.20375548102853,18.900172722110764,20.404342432008065,19.85850776313549,20.026263747125213,18.807682622264625,19.570681394574233,19.658068812105824,17.603812509681898,17.406277959308078,18.81365777854654,16.427954405537324,17.406277959308078,16.758173039933784,18.014044107972175,18.61244584937369,16.860144210828008,16.328345783730136,15.635623661137638,19.006827829288913,18.125914055036745,18.4405231097706,19.564937435614357,17.738318237203256,17.92325236129346,18.637560937149217,18.125914055036745,20.303563991176567,18.50798353536804,20.309099047772442
