,p16_0.pdb_ringEdges,p16_1.pdb_ringEdges,p16_2.pdb_ringEdges,p16_3.pdb_ringEdges,p16_4.pdb_ringEdges,p16_5.pdb_ringEdges,p16_6.pdb_ringEdges,p16_7.pdb_ringEdges,p16_8.pdb_ringEdges,p16_9.pdb_ringEdges,p16_10.pdb_ringEdges,p16_11.pdb_ringEdges,p16_12.pdb_ringEdges,p16_13.pdb_ringEdges,p16_14.pdb_ringEdges,p16_15.pdb_ringEdges,p16_16.pdb_ringEdges,p16_17.pdb_ringEdges,p16_18.pdb_ringEdges,p16_19.pdb_ringEdges,p16_20.pdb_ringEdges,p16_21.pdb_ringEdges,p16_22.pdb_ringEdges,p16_23.pdb_ringEdges,p16_24.pdb_ringEdges,p16_25.pdb_ringEdges,p16_26.pdb_ringEdges,p16_27.pdb_ringEdges,p16_28.pdb_ringEdges,p16_29.pdb_ringEdges,p16_30.pdb_ringEdges,p16_31.pdb_ringEdges,p16_32.pdb_ringEdges,p16_33.pdb_ringEdges,p16_34.pdb_ringEdges,p16_35.pdb_ringEdges,p16_36.pdb_ringEdges,p16_37.pdb_ringEdges,p16_38.pdb_ringEdges,p16_39.pdb_ringEdges,p16_40.pdb_ringEdges,p16_41.pdb_ringEdges,p16_42.pdb_ringEdges,p16_43.pdb_ringEdges,p16_44.pdb_ringEdges,p16_45.pdb_ringEdges,p16_46.pdb_ringEdges,p16_47.pdb_ringEdges,p16_48.pdb_ringEdges,p16_49.pdb_ringEdges,p16_50.pdb_ringEdges,p16_51.pdb_ringEdges,p16_52.pdb_ringEdges,p16_53.pdb_ringEdges,p16_54.pdb_ringEdges,p16_55.pdb_ringEdges,p16_56.pdb_ringEdges,p16_57.pdb_ringEdges,p16_58.pdb_ringEdges,p16_59.pdb_ringEdges,p16_60.pdb_ringEdges,p16_61.pdb_ringEdges,p16_62.pdb_ringEdges,p16_63.pdb_ringEdges,p16_64.pdb_ringEdges,p16_65.pdb_ringEdges,p16_66.pdb_ringEdges,p16_67.pdb_ringEdges,p16_68.pdb_ringEdges,p16_69.pdb_ringEdges,p16_70.pdb_ringEdges,p16_71.pdb_ringEdges,p16_72.pdb_ringEdges,p16_73.pdb_ringEdges,p16_74.pdb_ringEdges,p16_75.pdb_ringEdges,p16_76.pdb_ringEdges,p16_77.pdb_ringEdges,p16_78.pdb_ringEdges,p16_79.pdb_ringEdges,p16_80.pdb_ringEdges,p16_81.pdb_ringEdges,p16_82.pdb_ringEdges,p16_83.pdb_ringEdges,p16_84.pdb_ringEdges,p16_85.pdb_ringEdges,p16_86.pdb_ringEdges,p16_87.pdb_ringEdges,p16_88.pdb_ringEdges,p16_89.pdb_ringEdges,p16_90.pdb_ringEdges,p16_91.pdb_ringEdges,p16_92.pdb_ringEdges,p16_93.pdb_ringEdges,p16_94.pdb_ringEdges,p16_95.pdb_ringEdges,p16_96.pdb_ringEdges,p16_97.pdb_ringEdges,p16_98.pdb_ringEdges,p16_99.pdb_ringEdges,p16_100.pdb_ringEdges
p16_0.pdb_ringEdges,0.0,16.179204760020394,13.580623451570009,10.888832199398923,13.820998516749793,14.06484980367725,14.30454473235691,12.873745893613613,16.48494262450838,15.43329733617112,15.322749970767866,15.433297336171114,13.00512719404671,12.539271642856031,13.94345724703884,14.815082404990752,11.196725711861783,9.581231653602794,12.204643924889139,12.204643924889139,13.509996299037242,12.873745893613615,11.643309953216331,15.155417073332767,15.699256882625571,14.649232061783982,13.509996299037235,11.34754011522614,10.652073350604883,11.570076346622201,13.191664034533318,11.779360480659948,10.571975532825771,12.674120613807222,13.697445017228572,12.741009902410921,13.199747472331925,13.005127194046704,15.37812298906035,12.741009902410921,13.263986328903284,12.343149246984467,15.155417073332769,10.898929611052028,13.070322617798436,12.674120613807222,13.820998516749786,12.88228758153354,11.34754011522615,11.78841238957421,13.263986328903279,14.707141122597543,12.807549856757667,13.446932735757988,12.873745893613604,14.304544732356904,14.064849803677241,14.707141122597543,16.433299526672453,12.873745893613611,15.86085327675237,13.005127194046711,13.005127194046711,15.378122989060351,17.135732646529384,14.415269681833909,12.480117520814188,16.126582609674823,14.47411482613012,16.020819787597215,10.256055122056761,15.699256882625573,14.35618333680647,14.064849803677241,14.591093173576818,15.433297336171119,14.764823060233399,9.929753269845135,10.96661600798837,15.211399234346146,16.53642444222248,14.117365193264632,15.3850576859497,13.88236291126262,16.43329952667245,15.645020507070821,14.064849803677243,14.18520355863813,14.822280526288793,17.570429704477906,13.88236291126262,13.820998516749793,16.277387177717838,15.488275135297227,14.764823060233391,12.873745893613604,15.155417073332769,15.049916943292407,15.535979745953151,13.697445017228576,14.304544732356911
p16_1.pdb_ringEdges,16.179204760020394,0.0,12.741009902410932,14.177446878757824,18.729299684362637,16.63891022072459,18.638311797656627,16.594175685060904,18.26982940989506,15.267176119592861,20.033804764281125,17.90586496095622,18.22909761891684,18.182409081307124,16.32952336516082,17.47340836814615,17.28390388000735,16.07378818656842,15.543058472085423,14.87234570155853,16.587746481464357,18.229097618916846,17.18526500620031,17.179057017193916,18.041618552668705,19.17202823560059,18.408874671382453,17.28390388000734,14.591093173576814,17.135732646529384,16.63891022072458,17.37584530317877,14.532721699667956,15.914354107743934,18.819847679156872,15.535979745953144,18.552627846210886,18.22909761891684,19.734572033194258,18.041618552668705,18.13560034848584,18.04771453674951,19.991331454741406,16.587746481464357,18.182409081307124,17.9944435868409,18.909962101143044,17.8583313890184,17.479511816218814,17.283903880007347,18.135600348485838,19.392438388884116,18.46076921474292,18.362643237471733,18.506755523321736,18.90996210114304,18.909962101143044,19.21631251480539,20.732100713627634,18.04161855266871,20.613911160508405,18.04161855266871,18.598387026836487,19.820528079073302,21.372880011828062,19.083151381956455,17.37584530317877,18.598387026836487,17.185265006200314,18.598387026836484,16.27738717771784,18.32211778152295,16.885891546890058,16.942648356538978,17.479511816218817,20.033804764281125,17.23465501056906,16.07378818656842,16.632297896963397,15.267176119592863,18.592650877878235,17.185265006200314,17.381983009234972,17.191664646954152,18.954858655940075,18.088670487352015,18.36264323747173,16.74076860043568,17.381983009234972,17.714965424747504,13.572766851309279,16.433299526672457,20.691060871787116,19.648239955103687,19.34855722442028,15.86085327675237,17.762882648939605,17.672954855748742,18.275666882497063,16.32952336516082,17.241036318427412
p16_2.pdb_ringEdges,13.580623451570009,12.741009902410932,0.0,11.120551545074855,15.692461034947106,13.383572019457286,16.225083461521333,12.539271642856031,16.014160400512207,11.634145148369662,17.12950670626565,15.042827748354577,15.315569420255535,15.481171359644161,13.383572019457286,14.169921194793805,14.53272169966796,12.807549856757667,12.134798446341552,11.851300913120607,13.697445017228576,15.31556942025554,14.296852800529205,14.289390003308975,14.97887401197655,16.6322978969634,15.529112445124905,14.057026712644454,11.196725711861781,14.356183336806472,13.127071265137547,14.407868220755857,11.422200605254083,12.873745893613604,16.225083461521333,13.199747472331925,15.3709683060849,15.204166095733973,17.17905701719392,15.315569420255535,15.20416609573398,14.986215888831525,17.27773133255636,13.191664034533323,15.14815720365572,15.148157203655712,16.638910220724583,14.75759691368031,14.296852800529212,14.415269681833909,15.535979745953147,16.885891546890054,15.2599694189296,15.907650151211307,15.204166095733974,15.800421935294423,16.225083461521333,16.986268964470483,18.035705327673394,15.426168243172594,17.89972066821155,15.315569420255542,15.20416609573398,16.879573454326383,18.768768384384373,16.73419652488082,14.75759691368031,15.535979745953155,13.813037319865602,15.535979745953155,13.446932735757995,15.645020507070818,13.564659966250533,13.635248439247441,14.296852800529214,17.42469511928401,14.822280526288793,12.939603291188385,13.751363568752009,11.77936048065995,15.960994121085728,13.8130373198656,14.764823060233402,13.697445017228576,15.638201090065737,15.2599694189296,15.907650151211309,13.383572019457285,14.296852800529214,14.929389360140167,10.004332394851081,16.43329952667246,17.988514854391575,17.079812645342447,17.333012817549434,12.939603291188378,14.87234570155853,14.764823060233399,15.69925688262558,13.635248439247448,13.635248439247448
p16_3.pdb_ringEdges,10.888832199398923,14.177446878757824,11.120551545074855,0.0,14.049436524881223,11.262918508687408,14.757596913680304,10.888832199398921,14.641948868462377,12.931357237351385,15.960994121085733,13.446932735757994,13.375350462698162,13.689411966918083,11.110955554466653,12.598412598418898,12.741009902410932,10.409931155712162,9.570092301888565,9.39077561581932,11.487094207558908,14.237275020171523,12.195627631792192,12.325583150504476,13.50185172485611,15.091940453986245,14.10980746384112,12.055427546683413,8.938679992034626,11.984712484383314,11.11095555446665,12.86545762886031,8.037412518964054,10.162020796409866,14.525380086822738,10.57197553282576,13.935566009315869,13.50185172485611,15.692461034947106,13.50185172485611,13.75136356875201,13.127071265137548,15.907650151211307,11.487094207558906,13.564659966250538,13.564659966250533,14.407868220755857,13.127071265137552,12.47130038662101,12.055427546683417,13.751363568752003,15.3709683060849,13.813037319865606,14.289390003308977,13.874436925511601,14.641948868462372,14.525380086822738,15.259969418929597,16.72782113725514,13.874436925511608,16.37477735217591,13.627178724886527,13.874436925511608,16.11996691477167,17.515707236649046,14.517805160101394,12.996922712703958,16.426604437111564,15.590595455808172,16.52977112162577,11.187195061021034,16.42660443711156,14.922019523732924,14.641948868462372,15.259969418929598,15.960994121085731,15.091940453986247,11.043851985003542,12.125730218561412,13.191664034533323,16.6258834351742,15.035513515230084,15.807171368295677,14.466743471378301,16.72782113725514,16.27062793297583,14.28939000330898,14.525380086822741,15.481171359644161,16.484942624508374,11.33813623720113,15.099227353300785,16.87957345432638,16.119966914771666,15.204166095733976,14.237275020171513,16.014160400512203,15.807171368295675,16.683325008322928,14.289390003308982,14.641948868462373
p16_4.pdb_ringEdges,13.820998516749793,18.729299684362637,15.692461034947106,14.049436524881223,0.0,14.922019523732926,15.148157203655716,15.419252035469595,15.148157203655717,15.793458561484664,16.52977112162577,16.6322978969634,15.63820109006574,15.141114005691037,14.80765567761037,16.060303027444196,14.407868220755862,12.799218726156688,13.43874994186587,13.564659966250534,15.20416609573398,15.419252035469595,14.049436524881223,16.060303027444192,17.654650001250847,16.6258834351742,14.634434279010122,13.927909630187388,14.466743471378297,14.348751397479383,14.692401664352447,13.689411966918081,14.407868220755859,15.47427973552673,15.481171359644154,15.638201090065737,15.47427973552673,15.854126697277687,16.270627932975824,15.638201090065737,15.96099412108573,13.93556600931587,16.68332500832292,12.265126714931784,15.252977851335563,15.907650151211307,15.481171359644154,13.813037319865602,14.407868220755857,14.757596913680306,15.74653401016659,16.97998822143289,15.800421935294427,15.035513515230083,15.638201090065735,15.035513515230083,15.259969418929595,17.179057017193923,17.36951352226077,15.746534010166593,18.08277264875789,15.960994121085731,15.85412669727769,16.374777352175915,19.032953878295746,14.4667434713783,13.813037319865604,15.85412669727769,17.079812645342447,18.129717776806856,12.402956636759372,18.316295113004333,17.079812645342447,15.3709683060849,17.570429704477913,16.6322978969634,17.129506706265644,13.319909909605245,14.348751397479385,16.322785709961803,17.172652678022686,16.778557744931472,17.570429704477913,15.42616824317259,14.63443427901012,18.176541658595742,15.259969418929595,15.148157203655716,16.979988221432897,18.993858656593883,15.20416609573398,15.807171368295673,17.12308383440319,16.784913861361726,17.228464818433466,15.854126697277687,16.78491386136173,17.375845303178775,18.454990291697975,15.2599694189296,15.590595455808176
p16_5.pdb_ringEdges,14.06484980367725,16.63891022072459,13.383572019457286,11.262918508687408,14.922019523732926,0.0,15.259969418929597,9.29982078680373,12.471300386621012,13.24764129949177,13.627178724886528,10.409931155712156,13.062159086460396,12.325583150504483,8.246211251235327,10.491266208931442,11.85130091312061,13.191664034533325,10.491266208931444,10.491266208931446,8.938679992034626,13.062159086460403,14.049436524881225,13.813037319865598,13.062159086460396,14.466743471378296,14.750141242261599,14.289390003308977,11.187195061021034,14.22978097746647,12.195627631792192,13.689411966918083,11.110955554466655,12.598412598418896,15.590595455808174,13.44693273575799,15.907650151211309,15.746534010166592,16.581113754308937,15.529112445124905,15.638201090065738,14.296852800529205,16.784913861361726,12.807549856757667,15.907650151211312,16.329523365160817,15.699256882625573,14.057026712644463,14.525380086822741,14.757596913680311,15.854126697277689,17.37584530317877,15.907650151211312,14.576236368372548,15.419252035469594,14.692401664352447,14.807655677610366,17.079812645342447,17.27136358253163,16.067150753426485,17.98851485439158,16.067150753426485,16.067150753426485,16.374777352175915,19.12206404479739,16.82914139223983,13.689411966918083,18.592650877878242,16.77855774493147,18.22324522873647,12.807549856757667,18.316295113004333,16.979988221432894,15.3709683060849,17.079812645342454,16.936154620613657,16.72782113725514,13.191664034533323,14.583780945511581,14.117365193264641,17.56416807025029,16.574679484080526,17.473408368146153,15.535979745953156,17.27136358253163,17.798501809609327,15.259969418929595,14.922019523732926,16.879573454326383,16.73419652488081,12.67412061380723,15.699256882625582,17.222078852449833,16.68332500832292,17.326857764753534,15.960994121085728,16.885891546890058,17.277731332556364,18.176541658595745,15.259969418929602,15.807171368295677
p16_6.pdb_ringEdges,14.30454473235691,18.638311797656627,16.225083461521333,14.757596913680304,15.148157203655716,15.259969418929597,0.0,15.854126697277689,17.320508075688767,16.529771121625764,16.2183024183585,16.632297896963394,15.638201090065737,15.583752222533995,15.3709683060849,16.58111375430894,14.75759691368031,13.319909909605244,14.057026712644456,13.935566009315869,15.315569420255535,15.084871008176812,14.757596913680306,16.374777352175908,17.941200257136266,16.929855285855215,15.20416609573397,14.525380086822736,14.699886620877948,15.042827748354577,15.259969418929593,13.68941196691808,14.64194886846237,15.58375222253399,15.699256882625571,15.960994121085724,16.0141604005122,15.74653401016659,13.564659966250536,15.5291124451249,15.960994121085728,14.296852800529207,16.98626896447048,12.939603291188382,16.225083461521333,16.329523365160814,15.914354107743934,14.177446878757817,15.322749970767857,15.211399234346143,15.960994121085722,17.570429704477906,15.800421935294423,14.807655677610363,16.06715075342648,15.259969418929593,15.48117135964415,17.179057017193923,17.947144619688103,16.172610591161003,18.269829409895056,15.854126697277687,16.38149362339506,17.185265006200314,17.079812645342447,17.228464818433466,13.93556600931587,18.59265087787824,17.17905701719392,18.683861128435588,12.807549856757662,18.31629511300433,17.079812645342447,15.370968306084896,17.473408368146146,16.73419652488081,17.32685776475353,13.31990990960524,14.815082404990749,16.93615462061365,15.31556942025554,17.079812645342447,17.37584530317877,16.073788186568414,17.660690813215652,18.362643237471733,15.259969418929591,15.259969418929597,17.37584530317877,14.35618333680647,15.426168243172588,15.91435410774394,15.370968306084906,16.98626896447048,15.155417073332776,16.38149362339506,16.784913861361726,18.04771453674951,18.45499029169797,15.481171359644156,16.02081978759721
p16_7.pdb_ringEdges,12.873745893613613,16.594175685060904,12.539271642856031,10.888832199398921,15.419252035469595,9.29982078680373,15.854126697277689,0.0,12.931357237351385,14.289390003308982,14.049436524881227,11.110955554466653,11.770018408368498,11.253147707789736,9.29982078680373,11.034189292074581,11.196725711861783,12.055427546683418,11.187195061021033,11.487094207558908,9.919005326476379,11.177358065899712,13.874436925511603,14.815082404990749,12.195627631792192,13.93556600931587,15.47427973552673,13.50185172485611,10.652073350604885,13.564659966250533,12.665701717630965,14.348751397479388,10.888832199398923,12.402956636759368,15.746534010166593,12.60687643047766,15.315569420255535,14.922019523732923,17.228464818433466,15.148157203655712,15.481171359644161,14.583780945511576,17.424695119284003,12.865457628860314,15.315569420255542,15.315569420255533,16.484942624508378,15.267176119592865,14.23727502017152,14.356183336806478,15.259969418929595,16.529771121625764,15.315569420255539,15.960994121085726,15.035513515230084,15.854126697277687,16.067150753426482,16.529771121625764,17.702730486189598,15.370968306084904,17.56416807025029,15.48117135964416,15.035513515230088,17.228464818433473,18.44902888139824,16.88589154689006,14.815082404990754,17.899720668211554,16.426604437111557,17.708754896942924,13.509996299037244,17.994443586840905,16.3227857099618,16.381493623395063,16.6322978969634,17.473408368146153,16.88589154689006,12.741009902410928,14.177446878757825,14.757596913680311,18.45499029169797,16.11314163449615,17.62479314299414,16.11996691477167,17.893760551283414,17.66069081321566,16.27738717771784,15.746534010166595,16.42660443711156,17.375845303178767,13.127071265137554,16.48494262450838,18.035705327673394,17.326857764753534,17.086056693495227,15.481171359644154,17.61874002305499,17.13573264652939,17.756688880531748,16.17261059116101,15.960994121085731
p16_8.pdb_ringEdges,16.48494262450838,18.26982940989506,16.014160400512207,14.641948868462377,15.148157203655717,12.471300386621012,17.320508075688767,12.931357237351385,0.0,13.751363568752009,13.24764129949177,13.501851724856111,15.529112445124907,12.865457628860314,11.913577688223357,13.813037319865606,14.757596913680313,15.308603245669847,13.31164903383499,13.31164903383499,12.265126714931784,12.394353553130555,16.67693017314637,16.165807537309515,12.665701717630965,14.348751397479383,15.204166095733976,16.67693017314637,14.229780977466472,16.523316858306625,14.576236368372552,15.95410083123876,14.641948868462377,15.364027249823963,15.481171359644156,15.746534010166592,15.800421935294425,18.22324522873647,18.768768384384373,17.75068073812006,17.846194739122023,16.374777352175915,16.47826851745453,15.20416609573398,15.907650151211312,18.176541658595742,18.08867048735201,16.16580753730952,17.666918237202548,17.277731332556368,18.316295113004333,16.979988221432894,15.907650151211312,17.222078852449833,18.035705327673394,17.708754896942917,17.51570723664905,17.27773133255636,17.660690813215652,17.846194739122023,18.26982940989506,18.129717776806856,18.129717776806856,16.581113754308944,18.94342454080922,16.82914139223983,16.0603030274442,16.067150753426482,18.943424540809225,18.408874671382456,15.315569420255542,18.035705327673394,16.87957345432638,17.612495564229388,17.07981264534245,16.936154620613657,17.326857764753537,15.63820109006574,17.029973576021778,14.11736519326464,18.04161855266871,19.03295387829575,17.277731332556364,18.22909761891685,17.27136358253163,18.176541658595745,17.320508075688767,17.804493814764854,17.375845303178778,19.17202823560059,15.535979745953155,18.18240908130713,17.612495564229384,18.677972766514742,19.343043538526533,17.94120025713627,18.768768384384373,19.56152686610463,18.26982940989506,17.70875489694292,17.61249556422939
p16_9.pdb_ringEdges,15.43329733617112,15.267176119592861,11.634145148369662,12.931357237351385,15.793458561484664,13.24764129949177,16.529771121625764,14.289390003308982,13.751363568752009,0.0,15.370968306084904,15.3709683060849,16.87957345432638,14.109807463841122,13.501851724856113,14.634434279010126,15.854126697277694,14.289390003308982,12.402956636759372,12.265126714931785,13.438749941865874,14.049436524881227,15.638201090065738,14.750141242261597,14.169921194793801,15.800421935294423,13.564659966250533,15.308603245669842,12.99692271270396,15.364027249823963,13.247641299491768,14.86494758371743,12.931357237351385,14.22978097746647,13.874436925511603,14.169921194793801,14.229780977466469,16.778557744931472,17.660690813215652,16.87957345432638,17.07981264534245,15.204166095733976,15.645020507070816,13.813037319865606,13.988805047846892,17.32685776475353,16.426604437111557,14.978874011976558,15.960994121085733,15.638201090065737,16.87957345432638,15.854126697277687,14.4667434713783,16.11314163449615,16.574679484080526,16.3227857099618,16.11314163449615,15.529112445124907,15.739546795677862,17.07981264534245,17.129506706265648,17.375845303178775,17.179057017193927,15.31556942025554,17.941200257136266,17.798501809609327,14.978874011976554,14.75759691368031,16.172610591161003,14.525380086822741,13.935566009315874,14.641948868462372,12.799218726156685,13.874436925511604,13.943457247038843,15.370968306084903,12.86545762886031,14.28939000330898,15.69246103494711,9.033271832508978,13.56465996625053,15.746534010166593,13.572766851309279,14.415269681833912,15.847186921764166,14.22978097746647,16.529771121625764,13.375350462698162,13.062159086460401,15.259969418929595,11.120551545074855,16.835478411180755,16.007290005910843,17.660690813215655,17.988514854391582,14.641948868462372,15.53597974595315,16.067150753426485,14.4667434713783,13.87443692551161,14.237275020171522
