,STIM1_0.pdb_ringEdges,STIM1_1.pdb_ringEdges,STIM1_2.pdb_ringEdges,STIM1_3.pdb_ringEdges,STIM1_4.pdb_ringEdges,STIM1_5.pdb_ringEdges,STIM1_6.pdb_ringEdges,STIM1_7.pdb_ringEdges,STIM1_8.pdb_ringEdges,STIM1_9.pdb_ringEdges,STIM1_10.pdb_ringEdges,STIM1_11.pdb_ringEdges,STIM1_12.pdb_ringEdges,STIM1_13.pdb_ringEdges,STIM1_14.pdb_ringEdges,STIM1_15.pdb_ringEdges,STIM1_16.pdb_ringEdges,STIM1_17.pdb_ringEdges,STIM1_18.pdb_ringEdges,STIM1_19.pdb_ringEdges,STIM1_20.pdb_ringEdges,STIM1_21.pdb_ringEdges,STIM1_22.pdb_ringEdges,STIM1_23.pdb_ringEdges,STIM1_24.pdb_ringEdges,STIM1_25.pdb_ringEdges,STIM1_26.pdb_ringEdges,STIM1_27.pdb_ringEdges,STIM1_28.pdb_ringEdges,STIM1_29.pdb_ringEdges,STIM1_30.pdb_ringEdges,STIM1_31.pdb_ringEdges,STIM1_32.pdb_ringEdges,STIM1_33.pdb_ringEdges,STIM1_34.pdb_ringEdges,STIM1_35.pdb_ringEdges,STIM1_36.pdb_ringEdges,STIM1_37.pdb_ringEdges,STIM1_38.pdb_ringEdges,STIM1_39.pdb_ringEdges,STIM1_40.pdb_ringEdges,STIM1_41.pdb_ringEdges,STIM1_42.pdb_ringEdges,STIM1_43.pdb_ringEdges,STIM1_44.pdb_ringEdges,STIM1_45.pdb_ringEdges,STIM1_46.pdb_ringEdges,STIM1_47.pdb_ringEdges,STIM1_48.pdb_ringEdges,STIM1_49.pdb_ringEdges,STIM1_50.pdb_ringEdges,STIM1_51.pdb_ringEdges,STIM1_52.pdb_ringEdges,STIM1_53.pdb_ringEdges,STIM1_54.pdb_ringEdges,STIM1_55.pdb_ringEdges,STIM1_56.pdb_ringEdges,STIM1_57.pdb_ringEdges,STIM1_58.pdb_ringEdges,STIM1_59.pdb_ringEdges,STIM1_60.pdb_ringEdges,STIM1_61.pdb_ringEdges,STIM1_62.pdb_ringEdges,STIM1_63.pdb_ringEdges,STIM1_64.pdb_ringEdges,STIM1_65.pdb_ringEdges,STIM1_66.pdb_ringEdges,STIM1_67.pdb_ringEdges,STIM1_68.pdb_ringEdges,STIM1_69.pdb_ringEdges,STIM1_70.pdb_ringEdges,STIM1_71.pdb_ringEdges,STIM1_72.pdb_ringEdges,STIM1_73.pdb_ringEdges,STIM1_74.pdb_ringEdges,STIM1_75.pdb_ringEdges,STIM1_76.pdb_ringEdges,STIM1_77.pdb_ringEdges,STIM1_78.pdb_ringEdges,STIM1_79.pdb_ringEdges,STIM1_80.pdb_ringEdges,STIM1_81.pdb_ringEdges,STIM1_82.pdb_ringEdges,STIM1_83.pdb_ringEdges,STIM1_84.pdb_ringEdges,STIM1_85.pdb_ringEdges,STIM1_86.pdb_ringEdges,STIM1_87.pdb_ringEdges,STIM1_88.pdb_ringEdges,STIM1_89.pdb_ringEdges,STIM1_90.pdb_ringEdges,STIM1_91.pdb_ringEdges,STIM1_92.pdb_ringEdges,STIM1_93.pdb_ringEdges,STIM1_94.pdb_ringEdges,STIM1_95.pdb_ringEdges,STIM1_96.pdb_ringEdges,STIM1_97.pdb_ringEdges,STIM1_98.pdb_ringEdges,STIM1_99.pdb_ringEdges,STIM1_100.pdb_ringEdges
STIM1_0.pdb_ringEdges,0.0,22.114466397816393,24.57879763603345,22.818868330390526,22.962800908510918,21.73725536208957,20.003307997105562,21.647135982401952,22.79150349535869,22.086160740169422,21.835268429044344,23.843979079546788,23.35389713256003,22.547993925739554,22.21805808938212,22.966336921219007,24.21377225707084,23.085783145881074,23.925825226770236,21.928249366986673,22.45309229000448,21.769676088368445,20.902782489168118,24.603808006506906,22.78358464604084,21.327873674811592,22.907922916118498,26.793950613406853,23.84397907954679,24.90897715397289,22.365857438233128,26.840156202272883,25.505299464069825,24.8839109176269,25.505299464069825,25.185686351427506,26.483474773719305,28.212938960909973,25.668681364797827,26.486881417374253,24.488082109743388,27.297194766225783,26.06400450481599,27.446626263223756,26.4834747737193,26.530617863339085,25.47409121653353,25.96446385848641,25.266757262387102,26.325150214853238,27.443338756522756,24.769493728150213,28.2190145461334,25.55736581434834,27.6207941717231,25.019571286663187,26.63747148694947,25.933808166465603,28.16257848755456,26.693751908966345,26.86681156947685,26.29834609854387,27.443338756522763,27.169587154857812,26.737487411548372,27.940646006277696,26.663934697149173,26.883709464775635,27.56929751396533,28.16257848755456,26.560584738558298,27.19885004203346,25.015964827297818,27.123554672002594,26.091049368372623,26.83718663470831,26.27111395756619,26.294915029164443,28.713099889478315,28.39877155026096,28.20691537882104,28.426398828834106,27.244755306835195,26.199695802630536,26.40272257549394,27.57224277110175,28.04212727764498,26.27763851099041,26.607591205790065,28.898474086208775,26.349244899368898,28.326665882168367,28.354734656554456,26.4328344458574,28.016965858919317,27.59197878429678,27.143616926445617,27.572242771101756,27.221784730428237,28.137524780120255,25.90659915348305
STIM1_1.pdb_ringEdges,22.114466397816393,0.0,18.769676392514043,16.64525943487019,19.630649658506908,17.72623899399363,21.716768753955595,21.399037291254036,21.630318460247626,20.490379183844894,20.620305344034136,21.55663985421919,20.611552348757325,20.316147879498562,23.539887760766277,20.97538837049824,21.777963615731384,22.246601497655526,20.68081818017613,19.41652656268361,19.594229624725383,20.68081818017613,20.577307013061112,20.873338032080625,21.357606804627064,21.39482053826723,22.970265185817226,24.4406908335475,21.165228968599248,24.46989864812734,22.791503495358686,23.116702941535976,24.239965755949907,22.701594790125153,22.850215115553453,24.30879045187323,22.881058916554917,26.152301182550985,24.243687652200187,24.94493183113858,23.05912635532137,22.93560780234868,24.66186365214504,24.891161580208152,21.202780353926272,24.827161938586784,24.4406908335475,24.887536512965898,22.575653930195234,23.23194585631338,24.324188895285573,22.01769623208615,27.82571969764179,23.955660796783004,26.456831060700313,24.239965755949903,23.58526365453936,24.690444408976965,25.132850024936292,25.164481473289868,25.079482672651356,23.551511293556644,23.109351035093084,24.014907650742366,25.533289490006013,24.38580876602071,23.089691089022082,24.877443961249572,24.798314276931077,23.95905027803823,25.023177226248485,24.718992119998976,25.45980172270395,25.45980172270395,25.019571286663194,25.31658198312464,24.214144875053407,24.07063540336658,24.2690433714519,24.744650823175956,26.61098196050375,26.226944762570948,26.064004504815994,25.132850024936285,24.07731906240981,25.779107936758365,26.743898186793277,26.640858438606394,27.624060559673566,27.40105919691396,25.98889294277419,27.251377836450093,27.1302067869147,26.332004027233207,25.132850024936285,26.0194837349742,26.271514634733343,24.636118725656882,25.136020943502192,25.491027464639547,23.46451488197905
STIM1_2.pdb_ringEdges,24.57879763603345,18.769676392514043,0.0,18.958125601329613,22.73303713637069,20.118296763435367,23.709583735322216,21.403253213479033,20.855896553556054,23.825304043851258,23.418905029525938,23.7359535035314,23.235829216933414,23.50223153698485,26.493693390572883,24.411817673112,23.76564779335068,24.862811556544468,23.81817086087626,23.086173969963678,23.05912635532137,24.159183873085087,23.028521054442187,22.021793716594484,24.408121414345757,23.933366145145452,24.01866442168473,25.267173866263136,23.205456967763133,27.17323982167044,25.35154338259704,25.484301521920322,26.196998048763493,25.10836663719825,25.564837223335488,26.876492789455536,25.10836663719825,28.69759362210096,26.96971289305534,26.070926970146413,26.06746596727208,25.48117394399069,27.346234500446027,27.701252652113798,24.77313606866704,28.22940396324907,26.84390971378434,27.54992733639424,25.480760838961054,26.37599729077002,25.63767199969432,24.987756400381617,29.82177637003979,26.55752728774082,27.66926037907074,25.71731811693864,27.143616926445617,27.963348729729287,27.018623485248,27.800362414471163,27.575514910086305,26.349244899368895,26.423332136636514,26.76424503007839,28.852385523140743,27.69473769943674,26.560584738558294,27.83625590587111,27.912484069270768,26.866811569476848,27.524315975602608,25.53646957187875,26.717514179088138,28.35791650617919,27.372012488473953,27.93811636214337,27.543704164431944,28.00800100508341,25.4249891875684,28.301757431018512,29.947221744688868,29.32888437439478,28.901596074249937,28.210113901148837,27.423495770976263,28.067962632079134,29.37729674271914,29.42286973015883,30.180758696373488,30.517688695382432,28.69167178947908,28.71624203113944,27.126880933364482,27.99178182295764,26.5605847385583,27.845276053511164,27.788080963050046,27.472310051192885,28.21293896090997,25.8064513703614,25.313017840242832
STIM1_3.pdb_ringEdges,22.818868330390526,16.64525943487019,18.958125601329613,0.0,18.81680579830508,18.37634962564409,21.692103826532197,21.564521126808522,22.349984440962775,21.055315618377072,21.374005714904065,22.642896278517444,20.783307356185006,21.08072561562345,24.53850740906346,22.274635765736782,21.564521126808526,23.124507716767887,21.810737508775155,19.59875705741281,20.585563230910985,21.810737508775162,20.749345491987558,21.236441937514233,22.086160740169422,22.67004250255542,24.16248256925962,25.079842428544122,21.523409182960364,25.43202646123215,23.821516779041072,24.13284038322895,24.719357122331353,23.735510023806643,24.217870739557082,25.277051317514697,23.907214124988407,27.355361256501176,25.214448656526915,26.35911621277917,24.24697485200339,23.959426857467726,25.77595779015788,25.837607375436654,23.205003349517696,26.09139517648759,25.403924864009518,26.148850950185906,23.61508374855206,24.578369364168644,25.29186026152924,23.78051265122111,28.388761940445374,25.263543230143977,27.349148795705236,24.88427350093173,25.238829137672013,25.9613362029694,27.146552973552016,26.41257390241202,25.543122906558413,25.207290984891507,24.462523124035773,25.64078048851382,27.36866107471386,26.145400262516894,25.2667572623871,26.910265810932426,26.5305611831286,25.588472498608244,26.43317578261999,25.83062238180837,27.449529899969587,26.69408990938306,26.118411677807465,26.71109707157155,26.298288917722395,26.16621250184539,25.238829137672013,26.480408419720202,28.086975548975065,27.723392039312476,27.270960070336653,26.226944762570955,25.378932711284573,26.998802535406377,27.921479591103196,28.260389665752164,28.623088635007935,28.978135392517398,26.896739327772924,28.69444943837449,28.57939738495582,28.11528361820901,26.070523210153034,27.67540098262125,27.469354079297823,25.5919982795375,26.5400251004182,27.478494667156234,24.632822409330693
STIM1_4.pdb_ringEdges,22.962800908510918,19.630649658506908,22.73303713637069,18.81680579830508,0.0,19.4258180269207,17.45352583032363,21.5276007484569,19.571499917547357,20.821980866815842,18.669503901814032,23.21277843574024,20.821547543476754,18.640323337735804,23.368895206190103,21.56452112680853,22.888484151793826,21.87943725135749,21.650817414980935,21.240194553291026,21.0170714713797,22.033603864282394,23.562554720624124,23.475599234066348,23.562554720624124,23.596291284988315,25.35824523707743,25.435219203691762,23.735510023806643,25.302144103624933,24.86964511448246,24.668326165134797,24.585710135303056,23.94046500512583,23.3921778584724,26.049980878292395,23.769001105091373,27.975499484880917,25.407476254521235,27.159844308411337,24.55700748343238,25.326855787091905,27.352447623155125,26.594250042788325,25.27032792989064,26.12186593065757,24.719357122331346,25.706264413080103,25.647406763339863,25.75483019154833,26.590857154490653,25.48076083896106,29.690027692154544,26.56392488438331,28.83976995100809,25.40392486400951,26.998802535406377,27.82280127299717,28.216136800417082,28.24431541715005,26.463253001067294,26.817231582966144,26.429762216619892,27.07444484952139,28.140677752337513,27.25430227470893,26.101018330608053,28.567450850930022,27.771679196864117,27.17584066389621,25.837607375436654,26.800291772623392,26.817231582966144,27.179160526353538,27.675400982621255,28.379914532503122,27.697941076001033,27.572570002474468,27.59813658305836,27.870916201747175,28.26038966575216,29.473780880614857,29.04862400168,27.92471080753052,26.767222689818176,28.507748583908022,28.09591520359892,28.288524201586778,28.307760831762593,28.379914532503122,27.16991923576875,27.797441327591706,28.5515494753544,27.851377849584065,26.412573902412017,28.526837383906066,26.744235553448647,25.301787508550063,26.670645066639796,26.3858585957438,24.994555798190778
STIM1_5.pdb_ringEdges,21.73725536208957,17.72623899399363,20.118296763435367,18.37634962564409,19.4258180269207,0.0,19.530812363517988,19.1768971280196,20.056086770388514,18.821040857172807,18.74546561713011,20.258999670989997,18.380767981206528,19.14848980087294,23.077834954029235,19.218333978320164,19.1768971280196,19.707484933547832,20.55522544836428,18.414688481744648,17.610489013888014,19.111623043016145,19.21363863963398,19.31978611005685,19.21363863963398,20.086729244188138,22.67760314077584,23.479058018019675,19.84200753850009,23.68280363407012,22.313959351824746,23.884433537631452,22.915798798786525,21.850895957267703,21.818595917692516,22.55952860383096,21.850895957267706,25.41735834549213,23.449000812353272,24.840907324245016,21.399037291254036,23.709203187569877,24.389508406295356,25.861807413766883,23.821138019443016,25.051345768481788,24.44438216746073,26.077097951919146,23.880655650247842,23.995989639875088,25.540002531779603,23.70159094942436,27.584620319944406,23.84732137666839,26.513494932464774,24.132902694893602,24.330802903414675,25.07948267265136,24.865654060967298,25.224048675399985,26.043110586536258,25.295070695765205,24.71899211999898,25.567601679451638,25.909675378041484,24.779630247200423,25.354331094768764,25.585357654638905,26.148850950185903,25.515143667849056,25.08307999938683,25.598695925431578,25.132850024936296,26.623806408347658,24.75115247563597,25.696142304309195,24.940892532159953,25.129259822925956,26.277638510990418,25.77560775010394,28.74079126793082,27.201780127507536,25.647465395297992,25.192492019157978,23.903062376554253,25.678462933879374,28.000751869604493,27.152867168840988,27.32301902098401,26.946173023297842,27.07150098190965,26.332004027233207,26.67070144914592,26.54348113901875,26.15540600254362,26.172763205947266,27.69799536732618,25.51867958023686,25.782199373041838,26.899758223471153,24.8875365129659
STIM1_6.pdb_ringEdges,20.003307997105562,21.716768753955595,23.709583735322216,21.692103826532197,17.45352583032363,19.530812363517988,0.0,18.55963766822886,20.087178419133558,18.26035600703774,16.69298173178609,21.654984319196853,21.114154465594694,19.60289989288641,22.00888405720764,20.285333047354804,23.330963001695114,20.219174997857472,20.585563230910985,20.75318618530911,20.9195379411012,22.67402210009262,21.08072561562345,23.73551002380665,22.76007584854626,22.25018374512285,24.27976043780691,26.14885095018591,23.992605377114742,24.556578831542772,24.110709566279336,26.203081951545304,23.471755543006935,22.43325941140851,22.58364568955993,24.837214377725882,24.195382645318585,26.233422979150244,25.487841713020156,26.926298741375042,23.95942685746773,27.427114622966712,26.20004017674703,27.575842102629867,27.0744448495214,26.664273075533437,25.129618866208506,26.412573902412028,26.199638406504395,26.61397676782817,28.15969497442458,25.56089588602562,28.631860900867377,26.16925820859221,28.332664005067752,25.961336202969395,27.672140654836483,26.38243890747722,28.57624019634844,26.97863259213399,26.846878537700544,26.74086169536291,27.867678747915008,27.892974834405585,27.472255313863048,27.774602993176572,26.643849887771594,27.466069292966118,27.991728101445695,29.1431519961496,26.846878537700544,27.77460299317657,25.64078048851381,27.700872655291256,26.226944762570955,26.969322588864866,26.866755598526936,26.89002945722685,29.118941978631177,28.235422747753613,28.619936266171184,28.263209700180767,27.819558219872466,26.48989025485546,26.995460492794823,27.403967661800795,28.6009096022345,26.873135535955523,27.045047355591123,29.161824875600455,27.543704164431944,28.307760831762586,28.907474902923624,27.024911926991635,27.99785168987295,28.014067357754623,27.572570002474464,27.99462891556704,27.649525142423432,28.69444943837449,26.510432050775744
STIM1_7.pdb_ringEdges,21.647135982401952,21.399037291254036,21.403253213479033,21.564521126808522,21.5276007484569,19.1768971280196,18.55963766822886,0.0,17.458780672097088,16.77305393617586,16.190594131960214,18.593312727846225,17.960524801013452,19.3890132442697,21.05538703772197,17.68640784773411,23.502231536984848,21.21128937600166,20.38199116646296,21.13992054387867,21.49439514283644,22.670506824931106,19.24194978631186,22.66652661021155,20.873338032080625,19.702906163259147,22.701594790125156,22.0578869327923,22.21081495019666,22.27463576573679,22.154481547343394,24.246974852003376,21.0726634020748,20.51648887576706,21.265878631859117,23.120605658482166,22.61132858659852,24.11070956627933,25.644709548356154,23.675627517467507,21.61453145281692,25.88284768937295,24.411817673111997,25.404339218484303,25.34798415558681,26.661283917890685,25.28870888346183,26.409556256289804,23.903439838028035,25.24562047927243,24.741004289096328,23.551511293556647,27.306392983042667,24.378777902718486,25.26360275297549,24.491766300970482,25.186104296299185,24.607474871446527,26.486881417374256,25.245620479272418,25.267173866263125,24.49544993808387,27.021962663089713,25.748231562020504,25.991959427623357,26.714136946230465,25.214090821202532,26.607591205790065,26.939810382752274,27.248066772839934,27.504531410665802,24.30179918460818,24.55296561111818,26.797317787448513,24.103660845718302,25.397235063529667,25.288292634357553,24.658204875237228,26.767615940869586,26.58446603914524,28.90159607424993,26.459843315308518,26.142351776207477,24.887536512965895,25.263602752975483,26.48347477371929,28.16578204480554,26.870169613115483,26.890420912326864,28.87718354208578,26.78794476928767,26.507425544978094,26.691104090951086,24.63978078215148,26.79395061340685,24.80522622594482,25.400787389370443,27.69799536732618,25.9613362029694,27.071500981909654,24.411817673112
STIM1_8.pdb_ringEdges,22.79150349535869,21.630318460247626,20.855896553556054,22.349984440962775,19.571499917547357,20.056086770388514,20.087178419133558,17.458780672097088,0.0,20.35570895886569,19.671665818893562,22.06606621478982,18.812010241420452,18.999564696240185,21.597688542432955,20.92004111613435,22.82637967402095,22.91973572522785,20.416564114109985,20.385901069268808,20.355265709522513,21.969082855316454,22.2506568290311,23.063038815353373,23.84776277711778,22.65046597804461,25.302203535648808,23.87731801918871,23.675627517467507,25.245977867696883,24.480589211052514,25.435219203691755,24.360574582405942,23.36162266482863,24.19208843521252,25.995430483356845,23.536054568717635,27.031588316584248,24.862811556544465,25.547066985839056,24.994976938986188,26.54081832939568,26.694484237793493,27.752829565148517,25.543535003032147,25.910081644546555,25.484714569555805,26.750644711505622,26.230384722812733,27.60761581752073,27.297194766225783,25.751735469658133,28.747069154305233,26.969322588864863,27.17622800208031,24.18462818820054,26.48688141737426,27.62406055967356,28.02018606411582,27.755376096454544,28.213312060862517,27.225485627793198,28.09307837584874,27.92185658562072,28.57939738495582,27.50125082596212,27.726700575655073,28.71624203113943,29.16491867300523,27.72670057565507,27.080775857656523,26.747271661860854,24.690444408976973,27.87706632821449,26.873527237142028,27.598517994427215,27.199181765667245,27.669260379070728,28.28570669096885,27.524315975602608,29.630658781904017,29.146247775631387,28.716242031139434,27.430075146750724,25.61995228112688,27.72995448860042,28.913404545401026,27.504531410665805,27.67252104620453,28.329850884320244,27.424208612922886,26.223905755678487,24.969575471924244,25.168066650964057,25.730587981908567,27.355416227732352,26.84390971378435,27.12688093336448,28.263582136522814,24.55664006798511,24.60747487144653
STIM1_9.pdb_ringEdges,22.086160740169422,20.490379183844894,23.825304043851258,21.055315618377072,20.821980866815842,18.821040857172807,18.26035600703774,16.77305393617586,20.35570895886569,0.0,16.77305393617586,17.05656225003953,19.35206075949271,18.381258844043547,21.122699189559825,17.53475603402945,21.17751680544989,21.847179408800134,18.333009794365477,21.206964383095105,20.787648154360163,20.250536055282968,20.144814068007335,20.64617789456768,19.734554253363495,19.77482260407299,22.033603864282394,21.9364769859791,19.73455425336349,21.969014406316962,21.84717940880014,24.305449743175814,21.523409182960364,20.18426395185604,20.351276031006638,22.646415839508464,22.12622708036844,24.50563844892587,25.379702979118395,24.75516198922524,22.054205266225573,25.62030444783981,24.966323182100382,25.77945792928587,25.242403755752377,26.714474688728917,25.182879970508193,26.308236510087056,24.469468470280383,25.30178750855007,25.77595779015788,24.125798128525116,27.507428935044846,24.60374688746118,26.740861695362906,26.480408419720202,25.723924676298523,24.994555798190785,26.846878537700544,25.13961017995308,25.961336202969402,25.372591926183496,27.67214065483648,26.11841167780746,27.123499230857302,26.76722268981817,25.27032792989064,26.813866909616326,26.992452300652648,27.44952989996959,27.704129601784686,26.1488509501859,26.226944762570948,27.303419048341254,24.8303718945378,25.61326019358648,24.855492123911066,25.369035652243713,27.423824777254087,27.09454346753764,28.809042022525507,26.820203359979907,26.196596231864532,25.270327929890634,25.640780488513812,26.53702194735851,28.647717698331746,27.52393353598345,26.00942570615334,28.642100565636447,27.294219829301344,28.06506939775409,28.093399540539085,26.770593225667152,28.0456663050861,26.6173667090927,27.768809245577934,28.332664005067755,26.015958087065922,28.455056238986973,26.25112958543459
