,VCB_0.pdb_ringEdges,VCB_1.pdb_ringEdges,VCB_2.pdb_ringEdges,VCB_3.pdb_ringEdges,VCB_4.pdb_ringEdges,VCB_5.pdb_ringEdges,VCB_6.pdb_ringEdges,VCB_7.pdb_ringEdges,VCB_8.pdb_ringEdges,VCB_9.pdb_ringEdges,VCB_10.pdb_ringEdges,VCB_11.pdb_ringEdges,VCB_12.pdb_ringEdges,VCB_13.pdb_ringEdges,VCB_14.pdb_ringEdges,VCB_15.pdb_ringEdges,VCB_16.pdb_ringEdges,VCB_17.pdb_ringEdges,VCB_18.pdb_ringEdges,VCB_19.pdb_ringEdges,VCB_20.pdb_ringEdges,VCB_21.pdb_ringEdges,VCB_22.pdb_ringEdges,VCB_23.pdb_ringEdges,VCB_24.pdb_ringEdges,VCB_25.pdb_ringEdges,VCB_26.pdb_ringEdges,VCB_27.pdb_ringEdges,VCB_28.pdb_ringEdges,VCB_29.pdb_ringEdges,VCB_30.pdb_ringEdges,VCB_31.pdb_ringEdges,VCB_32.pdb_ringEdges,VCB_33.pdb_ringEdges,VCB_34.pdb_ringEdges,VCB_35.pdb_ringEdges,VCB_36.pdb_ringEdges,VCB_37.pdb_ringEdges,VCB_38.pdb_ringEdges,VCB_39.pdb_ringEdges,VCB_40.pdb_ringEdges,VCB_41.pdb_ringEdges,VCB_42.pdb_ringEdges,VCB_43.pdb_ringEdges,VCB_44.pdb_ringEdges,VCB_45.pdb_ringEdges,VCB_46.pdb_ringEdges,VCB_47.pdb_ringEdges,VCB_48.pdb_ringEdges,VCB_49.pdb_ringEdges,VCB_50.pdb_ringEdges,VCB_51.pdb_ringEdges,VCB_52.pdb_ringEdges,VCB_53.pdb_ringEdges,VCB_54.pdb_ringEdges,VCB_55.pdb_ringEdges,VCB_56.pdb_ringEdges,VCB_57.pdb_ringEdges,VCB_58.pdb_ringEdges,VCB_59.pdb_ringEdges,VCB_60.pdb_ringEdges,VCB_61.pdb_ringEdges,VCB_62.pdb_ringEdges,VCB_63.pdb_ringEdges,VCB_64.pdb_ringEdges,VCB_65.pdb_ringEdges,VCB_66.pdb_ringEdges,VCB_67.pdb_ringEdges,VCB_68.pdb_ringEdges,VCB_69.pdb_ringEdges,VCB_70.pdb_ringEdges,VCB_71.pdb_ringEdges,VCB_72.pdb_ringEdges,VCB_73.pdb_ringEdges,VCB_74.pdb_ringEdges,VCB_75.pdb_ringEdges,VCB_76.pdb_ringEdges,VCB_77.pdb_ringEdges,VCB_78.pdb_ringEdges,VCB_79.pdb_ringEdges,VCB_80.pdb_ringEdges,VCB_81.pdb_ringEdges,VCB_82.pdb_ringEdges,VCB_83.pdb_ringEdges,VCB_84.pdb_ringEdges,VCB_85.pdb_ringEdges,VCB_86.pdb_ringEdges,VCB_87.pdb_ringEdges,VCB_88.pdb_ringEdges,VCB_89.pdb_ringEdges,VCB_90.pdb_ringEdges,VCB_91.pdb_ringEdges,VCB_92.pdb_ringEdges,VCB_93.pdb_ringEdges,VCB_94.pdb_ringEdges,VCB_95.pdb_ringEdges,VCB_96.pdb_ringEdges,VCB_97.pdb_ringEdges,VCB_98.pdb_ringEdges,VCB_99.pdb_ringEdges,VCB_100.pdb_ringEdges
VCB_0.pdb_ringEdges,0.0,41.676354429322664,42.754036362340536,41.98468441575094,40.93540264297503,40.74362160541278,43.14381887077009,42.31708298054789,42.69029166190663,43.85220772098439,48.85275551218074,47.81089291658847,46.30526727898011,49.20463693897462,46.491913697068796,45.803092816390105,46.956420717758085,48.61120485518514,49.58137608044487,47.906108242808514,47.73948001465585,46.18022853587106,46.82670038857162,48.84780507865411,46.867550824226406,44.137130338410195,47.37422517919404,43.88615694318467,45.67464745873042,47.592350312617214,47.86329479994834,47.04643791257151,45.494934957133616,47.71094885372626,45.90700080937061,46.649707469304516,47.30812179530668,48.5550156264383,46.94082864986002,49.526419524702455,47.83483748859109,47.442927529285406,46.843260641613476,46.48671185494812,45.799163733553215,45.53140121643559,45.8292844319748,46.227428691186134,46.114700230426045,45.23257738229037,45.879818375891595,44.30218080863377,44.04883406101779,43.63828344624798,42.6856473304252,43.68581628700915,45.81195817668763,45.55019257448855,46.206753319050556,46.86536596713103,48.70332579357522,46.31182554364699,46.872710401598965,45.79867852076491,43.812872035410905,43.67140123013064,46.64657830938797,47.703733474056754,43.55438840639762,46.496384004460005,45.82609925085297,46.901751480504494,47.87682998772171,44.56068785331741,46.700678548671284,45.657663346060865,45.27425023349143,47.759875046821726,47.03819428010504,47.24743194828762,48.22805301937061,48.26687791092337,47.33820282417893,46.69661970570252,45.80444365805065,45.90948753527576,45.98651881643181,45.62423007975451,46.35955904230494,48.19897032863616,45.94136643948245,44.96909614216349,44.63086068507084,45.882999827851506,47.18797527859459,45.502845322703514,45.43714564971082,46.99273572935484,45.82888510797158,45.34975673286302,44.765776299186996
VCB_1.pdb_ringEdges,41.676354429322664,0.0,38.88482518450652,38.726008104421325,38.47892216500347,38.03501425487039,39.30463115844102,41.879430634138956,41.138588238608776,41.17317696133406,44.06362996666056,42.57542327055213,42.732791896481324,46.33781423764449,42.97193693370627,43.56196098024573,43.04818195346833,44.19598854025234,44.38158954111588,44.515567275364496,47.97671003604104,43.14872693563026,41.98957231273665,46.841549066552616,44.421402523768386,44.16945977109744,46.12943804628711,45.112968827456065,46.38439373939056,44.287139922637145,45.814744893682544,46.18354024951121,45.79274138330988,43.71217007466196,46.49259786001885,46.769913797240584,46.638946015139105,45.124181113156,46.0026427203363,45.844199543762215,45.80195122899733,45.59091565667388,47.01063709417272,43.84444676333113,45.645312501689745,46.03088855893467,46.18393650703035,45.4411923345363,45.762387158357235,46.223620516808566,44.59056046730831,43.189252677500285,44.019405504870065,43.44981829927092,44.34215352822532,45.39289627992188,44.30814066259203,45.850339091126145,45.532013684357445,45.77221236554565,44.66493021695445,45.68497796134943,43.224055273058,43.79949363521836,43.66978485099818,41.48876531133252,44.46265966600704,45.92429120711417,45.23133469558725,44.17814994385665,44.70754153554536,44.55812585287565,45.19533976400056,45.78366292521471,44.61337177547196,45.82151600477709,43.596555999174,45.59717531288718,46.17514256447596,45.700045050820975,44.32934770034558,46.48111571000709,47.18936957946353,44.39263319913506,46.08342345368167,46.360245158483494,45.77924675604881,44.979801809324464,46.17440651479425,45.33506340412701,43.31754362907311,45.54101792588192,45.16121690103775,44.85930559510426,46.48292492268748,44.332227614104454,44.62615468441369,46.981663321482856,44.50526883694081,46.140403326933786,46.75777287915609
VCB_2.pdb_ringEdges,42.754036362340536,38.88482518450652,0.0,35.914495407734144,38.7405649487591,37.59443012562619,41.56643106788381,41.67159709391159,39.94510394248635,42.90193509456645,42.564563288377435,42.01814111793311,44.04665777334513,46.150063081648064,44.07156983786557,43.98986811451056,41.55935461995313,44.447996590076656,43.00239644738268,43.385157547539706,45.088139294174695,44.01904915435096,42.01917810924007,45.51988720020032,46.71249850243377,45.28302668160147,47.041297389960754,45.89463161775007,44.623860085036306,46.839028100259675,45.26226647975705,50.22094104444866,46.56299408651319,47.43782997164087,46.78781659935721,46.2210658477775,49.12162665051961,45.84898960167565,45.06054991942954,49.02175054140561,48.08133087888661,44.9779321343809,47.498276542521126,45.033069427343484,47.35674648778677,45.311721107421896,46.15968305642153,42.51534645390846,42.90389523783973,45.861770144471336,43.83290712782688,43.71953592332345,44.1426090601873,43.116642728467355,44.14591570732622,44.3435488746378,46.3325950945091,44.95115722590153,43.017977698036475,41.994521896088415,45.87475608858723,43.66969505040324,43.19814003903698,46.52698984797677,44.462159868035265,41.2216708029994,45.460020981355456,45.09350247143836,44.5576271257375,42.85310573370348,44.88956189232124,43.68362191404713,42.971936933706246,44.336198246416444,44.90642898109836,44.6130201693122,41.4956437853306,45.29692886615924,44.89454115711695,46.643196712535456,42.14728816640685,44.50190076966709,46.53266475164404,43.22600080934512,45.307749412906745,42.50278986101386,47.95632544646019,45.21825069679762,45.91767759227832,48.341054150068736,43.732938783490525,42.96025421556303,45.819680676046936,46.17164150539636,47.0815729325596,44.44799659007665,43.9821017270794,45.46323181014633,43.04204763860281,43.858447290035436,45.71123725441025
VCB_3.pdb_ringEdges,41.98468441575094,38.726008104421325,35.914495407734144,0.0,34.032664048267236,34.671505444101335,38.22909954847986,40.75010191521269,36.459665241777564,40.95639851745635,42.78517039933608,40.02967308970745,42.8839443118117,45.07417271289226,44.35270597419195,43.32334726565642,43.682205487506344,44.03835721638682,43.94867277609147,43.358333663082824,45.42296982104806,40.686805256795004,42.29561904001665,44.91672274967101,44.821670373562156,43.96081638125394,44.809973990878305,42.387043278677766,43.510247209139635,43.966317073835555,45.21063749737885,47.302622827509936,43.154977345803125,46.301465506623124,43.52949066706629,44.92647103394922,45.920856421306425,43.98296362598393,45.71083689916206,47.1924627488863,44.56682823187267,44.5905604673083,43.674324529335166,42.27258777931531,45.02170863445788,44.40722624663015,45.22909006640861,41.91541435777915,43.15872311901295,40.64592849558216,43.74330947908508,42.01395141247447,41.627668023780096,44.09565755548443,41.887441246808066,43.325197828567816,44.626506187088374,43.621725114451756,43.127070693237755,45.79876414692463,45.39645739731886,44.525256596066235,43.092098765723456,43.18313840222596,41.78980497159893,42.56208588267382,43.074187408644626,45.789553660205954,42.10817069424521,42.7804447008414,43.275194784774065,43.59655599917398,41.541065594408614,41.71409065863871,42.65185608958556,43.38100946924601,41.30060901501211,41.66386918713511,44.61781544784211,45.31398087505783,42.95462468856041,45.56014961691278,44.93398692335117,40.495998887864594,43.46330433284403,42.794233317454875,45.43674287936852,41.90290675801915,44.05737000607117,45.52037538469346,43.237702421328876,41.2617659987226,44.46307126011831,43.202820048357076,44.492294503121684,42.932738598568235,42.817635281126215,42.794233317454875,42.95080024667843,42.15848302099846,43.5162254066038
VCB_4.pdb_ringEdges,40.93540264297503,38.47892216500347,38.7405649487591,34.032664048267236,0.0,34.73880127070434,36.9395667328942,38.65432527861662,36.01911862217179,40.300040275257395,42.32090291486485,41.13270939453272,39.97112247370947,40.52201854459017,40.9126706912869,39.56161736617267,39.80042806395526,40.815595720637305,41.18463660078843,41.99000814853136,43.81337924008755,40.660344520893304,41.23544174340109,42.845367196420234,43.04061009845311,40.15454892741635,41.663492689568024,39.600169450133734,42.246088885763086,40.40697107612552,43.61099579519334,42.94177037223233,41.302107116799576,40.51046826705028,40.89448668701368,41.68843875615793,40.62241243644777,41.10065226438308,41.469089730184734,43.95749581025406,40.95746239075609,43.427399160223224,40.53321078412851,40.01611875667838,41.98152929257013,40.4915548364335,39.74567295339861,42.107601557586555,42.15502047958215,38.91642349226347,39.972376082404786,37.88245781389835,39.58576359928612,37.583313406658206,39.00756867510916,40.2729359271425,40.57887233739123,39.4834401734485,40.04764047513007,41.23213417819764,40.540702804440876,42.03616038551132,38.5128335003617,41.86261376661227,40.59438556541477,38.82424505843355,40.740370368686904,42.68100249357101,37.67305747161041,40.55224447044107,39.978883314959084,39.561617366172655,37.23206386329795,38.97639082052542,41.85721137140952,40.63348051252925,40.826611424850505,39.11961434599686,37.8619784449348,39.8301076168128,40.94102246233528,40.9290474859186,43.56844213793746,41.408481128486194,42.052099649926234,40.32136699276925,41.34841597048161,40.576799879403545,44.301767719738784,41.856170367358686,41.322684691976534,39.3767014710017,42.069938656505016,42.918070603345285,42.587958448287175,41.60426700087076,42.079383429464926,41.70003892309177,41.19759495486798,41.35435897866092,41.916890486545
VCB_5.pdb_ringEdges,40.74362160541278,38.03501425487039,37.59443012562619,34.671505444101335,34.73880127070434,0.0,31.906112267087593,36.08269369536765,35.841882245158615,36.74195479053974,40.64957317813156,38.319377965578276,39.38630530719576,41.46803898281923,39.59648319587844,39.98858224843255,40.95132346147302,42.455256467755824,42.33248416625557,42.362806887733626,41.35809926396125,40.201941227151885,41.267394167196535,42.46336367861081,44.09607257520492,41.19405164665819,43.510938198565604,40.416179162884326,42.29561904001665,41.06750911622103,43.86806323143942,43.55718951183536,42.52912881056495,41.57629415056279,42.25100841895146,41.49310255829104,44.83245984036228,41.96185631762397,42.95728232296788,46.88106678242251,41.87513340140691,42.037124374867346,43.554988658442355,39.550249331985576,42.69081220383489,42.54145229536361,41.75540354840557,40.70821835200281,39.41472690718227,40.76661883611369,42.18384909160153,38.119408765335514,41.429731569877134,42.26913458496751,39.09866854961872,42.4045872472289,43.035780826802174,40.557133105677444,40.8285751529442,41.97257118674227,42.41425542410043,41.42643951714341,40.006328475414875,40.85197253659514,36.911777291702485,39.27154779520332,40.894252276830386,41.962520885206565,39.17877020604897,40.16774196483268,40.59124045582892,40.30366218081415,39.84676531266189,41.054509702157375,40.77971002171718,41.66103491351796,40.285495316523125,40.93700990493114,42.10082306597161,43.42445923820726,42.07915561998167,41.62810764862165,41.96533479693379,40.98918503410809,42.3369614008091,41.850392324214056,42.90432178565132,41.843645058817266,43.661322828232294,42.59261343184113,41.89690635986431,42.499078549539384,41.66430842999671,43.39266928038299,43.19722213291042,41.635936380212264,41.03629298618398,42.15155765373529,39.653400319048906,40.83710133341871,41.718028474295615
VCB_6.pdb_ringEdges,43.14381887077009,39.30463115844102,41.56643106788381,38.22909954847986,36.9395667328942,31.906112267087593,0.0,31.88015411787587,33.06387822946641,37.417703451580444,39.12095093096436,36.360755976236234,37.61564593586179,38.271749337933635,37.83566115322902,37.59139335047987,40.476841868763046,40.66522016070929,39.45908777256692,40.84347079710314,41.959571786280456,39.544134357594764,38.986562681477544,41.2437887315468,42.85260749941497,39.521925191039266,43.39115297918173,41.31982701531032,42.45299848785745,40.76426732073181,44.08164340633249,41.9513672164446,39.8999729716357,39.47873865893161,41.52739600235474,42.94415484940708,42.69670103025652,40.31174812678112,42.899477171781555,44.682077138705196,41.29121826590196,43.010917193444705,40.79658877618843,37.31827427375552,42.650834480901054,42.08490225510043,40.73975003746923,44.17843597042604,42.49075255026187,41.22603615004581,41.823625934087964,39.08367650392149,40.69869091587344,41.498930348185816,43.12837401155045,42.49753036525739,42.279544851547726,39.87842089600647,40.52354542984606,42.38440129065042,43.06424242959424,40.327817912744656,41.455396404660554,41.496084808885726,36.55288346711308,37.66648736147966,39.73194496850606,41.83830270200685,39.05808199416842,41.77693643986665,40.03725933522741,41.264089163172315,39.33925955134301,41.01293700990765,41.71758979705023,40.934125303700924,42.47841435687677,40.87634789206916,42.57542327055213,43.77151011833179,43.79375309855871,41.51454059254451,42.67468266203061,39.50339882236109,40.06111888336828,40.36003545431595,42.046255263689666,41.1317242087351,42.33394575235066,41.303911096837176,38.91401615863845,41.78674983620577,40.27841018209863,41.469625601089724,39.44682861247152,41.114908851260964,39.76564243266781,43.75670505731403,39.41583239178462,40.65439652026603,41.05851077656795
VCB_7.pdb_ringEdges,42.31708298054789,41.879430634138956,41.67159709391159,40.75010191521269,38.65432527861662,36.08269369536765,31.88015411787587,0.0,36.086738884409435,38.62068485248477,38.57488543719055,37.207303614556594,39.44666292205562,40.56516852674829,39.65652091921485,40.34342767865354,39.893212575400085,42.182816148445,43.63979116069445,41.78325648960145,44.173948098758544,39.87742657603171,40.292503505986836,43.15094850983556,44.18314034863914,40.42508334975239,45.25732767255498,43.50417804792179,41.75021688592516,43.04018490132072,44.51654609038082,43.71436301456388,43.134627370957766,44.6014058416337,45.47571834073292,42.39450574835215,46.88972833247907,42.94177037223234,45.39686052508231,48.15185673667788,42.96588300496708,43.220768831521326,43.18587278084285,40.982221555939795,42.97808125556086,42.515120980453254,43.29210708602341,44.544756078776004,43.349971667499275,43.00073465451366,42.15729441943458,39.566165867840745,42.86244909572557,42.359957661356326,43.090015726821186,43.560450571940905,43.74116779818058,43.5212716878152,42.14572705943271,41.35711944727339,44.00086154830913,41.85764858539052,42.245996058875704,42.618375449164326,38.947649351125364,39.173564960584514,41.63593638021228,41.752137174109656,41.78568622129778,42.22866479914987,42.916111107515306,42.66239766224987,39.56858858506809,42.5639081207284,40.97616077225867,40.18550666016012,43.020206024165674,43.988461549085166,42.65308198770768,43.57541230710515,43.024814241584814,44.20285975429105,43.505740487178194,41.82940767456831,41.120790240196236,39.6692754675707,43.349881204401655,43.141021225955065,45.890102691696754,43.13857692567198,42.28871613069585,42.220006821823965,43.59220813427316,42.259959056221945,40.17277500810537,41.45428224369435,41.621324348498085,44.344315313843765,42.79647329350468,41.88291595910528,41.87513340140692
VCB_8.pdb_ringEdges,42.69029166190663,41.138588238608776,39.94510394248635,36.459665241777564,36.01911862217179,35.841882245158615,33.06387822946641,36.086738884409435,0.0,33.18617188464641,36.99343402848733,35.46657575299174,35.0386030501175,39.12166375760881,37.817691333260676,37.93661724646224,40.966695650313945,38.07463144815529,40.40697107612554,37.59023421130818,42.38638536709662,38.793795968743396,38.88898225945845,41.125611291984924,40.48687352839904,40.590789601038004,42.33072402024843,40.846052440841866,42.70657855473624,42.084467402049505,44.470665467766224,44.78975334110812,41.181769344719285,43.90651586127347,40.52156691961602,42.552543452164784,42.536791713027434,39.93098621535315,40.86631587775542,44.511876949219875,41.246345319054065,42.21611582950109,40.69617487230805,38.16909973122162,40.36003545431597,40.4097962626259,38.77162900480553,42.142356525325326,43.07980131158635,39.659498446065435,41.181092177614495,39.036266027368455,39.759955111909946,39.12095093096439,38.49528166203818,40.998549312770045,38.78362972493066,36.46475601690693,36.591199818254594,39.38527643676002,39.34697891141506,39.234249854633084,37.46773194122077,38.685131944342665,38.40921730335325,37.21938726888215,40.421472323959264,40.60827265815268,37.008507530426435,39.05602924619072,40.46518178408661,42.7945082299181,39.6692754675707,40.46112203726146,39.54766022401202,38.39224231732899,39.7174881771544,39.797855231730196,39.59077157494894,41.45824473666107,41.73891252982183,40.575564944782215,43.48335018049317,40.49836598010872,41.3379187842321,38.30140756357087,41.64620151007616,39.42353675844754,42.06175561484632,39.18805562545437,38.81625336189042,39.30005238733229,40.83738942106451,40.3322800056917,40.8096703478451,41.00348037728155,38.636104667499765,42.048628348252954,40.94882294056654,39.55024933198558,40.1088605817687
VCB_9.pdb_ringEdges,43.85220772098439,41.17317696133406,42.90193509456645,40.95639851745635,40.300040275257395,36.74195479053974,37.417703451580444,38.62068485248477,33.18617188464641,0.0,38.26996182665341,37.91116781213915,37.05953521466234,39.69130338336289,39.87842089600645,38.25261749342181,41.44536787770766,40.17068159903093,40.83738942106453,39.03212463872084,42.45445592498759,40.061575699097965,41.783256489601456,41.78221364296442,40.76319840525989,39.69296102187514,42.98854283195491,42.76108833251639,43.235757411594555,42.217581444305196,45.96142173150986,45.245127567810634,41.27934488004253,43.63232197233118,43.14023340875774,43.32455416347707,44.70663512724793,42.23491725212828,42.07862751143617,45.76807118362417,43.80401987104324,41.40771296280999,44.41811638488101,40.32781791274467,41.32897931948498,43.03526445751335,40.83191540822135,42.689862975552685,43.42109765002381,43.35597196478127,44.14337898820999,40.88862602927734,42.05481431902194,41.10931280292271,41.39834650903247,42.818337447716225,41.373604670111796,41.00845335034435,40.44569774686723,42.77660468640233,40.836557162320425,41.2054103095693,40.28539797197432,39.161761617485396,39.12381329682133,39.88162221938417,42.75136609317004,42.696180560123445,39.54002412271995,41.05464767673169,43.31703061859395,45.59893359606173,42.34068692242941,45.31172110742189,42.22676618135802,42.795159867221045,39.80961226586077,40.76829688006469,42.202664889166435,44.581364259247316,42.578329713835046,42.83355840331505,43.504959274564165,43.46237197597231,42.24982242037689,40.0712546175322,43.62214464315092,41.75547659538883,42.8132083135593,41.10698089127498,40.0906054441708,41.83007434640431,42.16839361985831,43.76364524214338,41.61402687935251,41.53568431957549,41.951273737417374,43.89358293752844,44.02863001999852,41.571965583071616,41.867349397039376
