,VHL_0.pdb_ringEdges,VHL_1.pdb_ringEdges,VHL_2.pdb_ringEdges,VHL_3.pdb_ringEdges,VHL_4.pdb_ringEdges,VHL_5.pdb_ringEdges,VHL_6.pdb_ringEdges,VHL_7.pdb_ringEdges,VHL_8.pdb_ringEdges,VHL_9.pdb_ringEdges,VHL_10.pdb_ringEdges,VHL_11.pdb_ringEdges,VHL_12.pdb_ringEdges,VHL_13.pdb_ringEdges,VHL_14.pdb_ringEdges,VHL_15.pdb_ringEdges,VHL_16.pdb_ringEdges,VHL_17.pdb_ringEdges,VHL_18.pdb_ringEdges,VHL_19.pdb_ringEdges,VHL_20.pdb_ringEdges,VHL_21.pdb_ringEdges,VHL_22.pdb_ringEdges,VHL_23.pdb_ringEdges,VHL_24.pdb_ringEdges,VHL_25.pdb_ringEdges,VHL_26.pdb_ringEdges,VHL_27.pdb_ringEdges,VHL_28.pdb_ringEdges,VHL_29.pdb_ringEdges,VHL_30.pdb_ringEdges,VHL_31.pdb_ringEdges,VHL_32.pdb_ringEdges,VHL_33.pdb_ringEdges,VHL_34.pdb_ringEdges,VHL_35.pdb_ringEdges,VHL_36.pdb_ringEdges,VHL_37.pdb_ringEdges,VHL_38.pdb_ringEdges,VHL_39.pdb_ringEdges,VHL_40.pdb_ringEdges,VHL_41.pdb_ringEdges,VHL_42.pdb_ringEdges,VHL_43.pdb_ringEdges,VHL_44.pdb_ringEdges,VHL_45.pdb_ringEdges,VHL_46.pdb_ringEdges,VHL_47.pdb_ringEdges,VHL_48.pdb_ringEdges,VHL_49.pdb_ringEdges,VHL_50.pdb_ringEdges,VHL_51.pdb_ringEdges,VHL_52.pdb_ringEdges,VHL_53.pdb_ringEdges,VHL_54.pdb_ringEdges,VHL_55.pdb_ringEdges,VHL_56.pdb_ringEdges,VHL_57.pdb_ringEdges,VHL_58.pdb_ringEdges,VHL_59.pdb_ringEdges,VHL_60.pdb_ringEdges,VHL_61.pdb_ringEdges,VHL_62.pdb_ringEdges,VHL_63.pdb_ringEdges,VHL_64.pdb_ringEdges,VHL_65.pdb_ringEdges,VHL_66.pdb_ringEdges,VHL_67.pdb_ringEdges,VHL_68.pdb_ringEdges,VHL_69.pdb_ringEdges,VHL_70.pdb_ringEdges,VHL_71.pdb_ringEdges,VHL_72.pdb_ringEdges,VHL_73.pdb_ringEdges,VHL_74.pdb_ringEdges,VHL_75.pdb_ringEdges,VHL_76.pdb_ringEdges,VHL_77.pdb_ringEdges,VHL_78.pdb_ringEdges,VHL_79.pdb_ringEdges,VHL_80.pdb_ringEdges,VHL_81.pdb_ringEdges,VHL_82.pdb_ringEdges,VHL_83.pdb_ringEdges,VHL_84.pdb_ringEdges,VHL_85.pdb_ringEdges,VHL_86.pdb_ringEdges,VHL_87.pdb_ringEdges,VHL_88.pdb_ringEdges,VHL_89.pdb_ringEdges,VHL_90.pdb_ringEdges,VHL_91.pdb_ringEdges,VHL_92.pdb_ringEdges,VHL_93.pdb_ringEdges,VHL_94.pdb_ringEdges,VHL_95.pdb_ringEdges,VHL_96.pdb_ringEdges,VHL_97.pdb_ringEdges,VHL_98.pdb_ringEdges,VHL_99.pdb_ringEdges,VHL_100.pdb_ringEdges
VHL_0.pdb_ringEdges,0.0,19.75360028980663,19.779493078860558,18.957972581725315,18.798642939796284,19.943463397400773,18.95797258172531,20.895766816897186,21.484145408579966,23.234646950139734,21.453777451281947,20.943117562300657,21.836399576319646,21.75243673561672,21.608688832755817,18.4875357032232,20.184581314326177,21.719616301478812,20.278066969018518,21.10401685838634,19.907660852795367,19.133101958417015,19.741000142195762,19.621296480878907,20.7460839678239,19.527811783988135,19.58402048272306,17.910714692256185,19.322542014995328,18.03400113259378,18.218014792839693,19.782597936124617,20.685420328657287,19.737011078154982,20.4031030525562,21.641677493309274,18.313886130388884,20.81179253840036,20.00244079594476,19.829509545596366,21.073101113770154,20.0843888920065,19.261482923426446,21.893083076948596,21.550453527573247,21.38363492298923,20.438037719575025,17.109190788836823,18.39847648605378,22.10041507430783,16.46432554792426,18.725871614334412,19.26148292342645,18.184790737680437,19.426664036590303,17.029201413671796,17.82646002899494,22.409081398706597,20.723678875666163,21.291305385987254,22.495423856602226,22.82387201721626,20.917987587825202,22.10041507430783,22.01745907086028,22.329388142158066,21.922842507805573,21.86904474617572,19.966744004512407,20.920923482726053,22.238860787681055,22.60820003143587,20.895766816897186,21.7766037857363,20.685420328657283,19.261482923426446,19.737011078154982,21.24895550930022,21.78520772429198,20.313216674213443,22.18582934266932,21.987827699186965,18.99556516829631,18.119898141585047,19.057476264574042,21.571999932837983,19.091656255617977,20.77369626939109,21.039220966985386,22.495423856602226,21.34655922042662,22.30017125035759,21.49066818173966,22.068112171256274,21.230790298359437,20.59378394098262,23.088122862693584,21.432112193408887,22.01745907086028,21.806522176835504,21.19344721191928
VHL_1.pdb_ringEdges,19.75360028980663,0.0,17.834320624178098,16.778783002802022,18.86537469028178,20.623127450189784,16.161098426846017,17.70172819535884,21.08863932693186,20.902473198805243,19.170351123668137,19.846021438291697,20.59148971830104,20.502429277995628,22.81041342523017,20.49943344713563,23.701888691812194,23.885685760554754,22.47826596837224,21.704674920067944,22.12776073794161,21.083486092835106,22.781813440155435,22.781813440155435,22.781813440155435,22.37110059278003,18.999709902468318,20.48360204543882,20.2942139071765,20.609683527849473,20.884006614715105,20.600588631602342,21.119532326007864,20.689226531897916,19.914699987460292,20.333208553465926,19.45776771393493,21.517325010106415,22.33566407707143,19.726955059144622,21.674615945339205,20.846042317786853,19.660744693163675,21.328477137570644,21.43865079783464,18.662860504347243,19.433877393643836,19.339486757189185,18.67036896168242,22.221504800317888,16.78994824901865,18.34198316586003,20.422158723531986,20.96769168240006,20.5780251265819,18.33176323508152,19.074656476200012,20.413828877719606,20.85276469141659,20.936574635797392,21.350247559832685,22.94114345432951,21.286201215922116,23.22068043791998,22.367580589266296,22.221504800317888,21.230790298359437,21.4141023516644,20.1006914128741,20.44489424740078,21.208897256449838,21.704674920067948,20.16850276884746,20.59148971830104,19.292852905372666,18.19249650635828,18.840733222103026,20.41915111564299,21.328477137570644,19.56430946198739,20.534204228727404,21.230790298359437,17.333414092281075,19.470551153080496,19.339486757189185,21.929234792456324,19.108805736960992,20.159208833369465,21.875452751220166,21.350247559832685,19.881934980848243,20.657690032535456,21.668148546133853,23.088122862693584,20.438037719575025,22.023823893630222,22.080810780503718,22.023823893630222,22.24516226271429,22.159976690627037,20.22682400795584
VHL_2.pdb_ringEdges,19.779493078860558,17.834320624178098,0.0,17.246339335419588,17.419872803896617,18.095808015022026,16.023211509763396,18.551142333823105,15.597597230665972,19.60772786750123,14.887398888633683,17.128968877406184,15.433678278260517,14.283518391411667,20.374988527121058,18.235813167768626,19.12577516312871,20.739327015102727,19.48720557448815,16.727835258662278,18.285143059131734,19.421069814917647,19.194569441979993,18.253766734567414,18.927711634440527,18.431315358019667,19.34656981946742,18.218014792839696,17.932243427154024,18.288501615457257,17.624428286924513,20.061244809509866,18.589557647865295,18.923551130841556,17.656922980345648,19.33948675718919,16.225186991630817,18.730076028449428,17.53879838583298,16.688814680290236,16.688814680290236,16.99087295519355,16.381187596954444,18.278251781529224,19.806067629911542,18.558695990031023,18.03400113259378,15.190651912008613,15.684889162231782,17.68321415897364,17.968563975415023,16.99087295519355,16.990872955193545,16.700040077277574,15.56778421972154,18.76065576477564,16.61808141517124,21.460309454659864,18.90315142663433,18.725871614334416,17.892416904296784,18.85126199330319,17.683214158973644,20.403103052556204,19.806067629911542,17.393183568446272,18.58955764786529,18.249452585900745,18.62459638626247,19.383408767115004,17.56876254386844,18.86120043607415,16.770427665819625,20.05190116067502,19.128986126719322,20.313216674213447,19.453720572026526,20.495591997758506,18.701046330573796,18.452236703719112,20.495591997758506,21.5417558266379,19.547559607638316,17.862995666271328,19.60772786750122,18.725871614334412,18.526082911168675,19.48720557448815,20.278066969018518,20.336073994549952,21.368311220343283,20.371123610772038,18.63212026345394,18.4875357032232,19.45776771393493,18.487535703223205,20.499433447135633,20.187623869101454,17.287654326888433,18.725871614334412,16.840521061009344
VHL_3.pdb_ringEdges,18.957972581725315,16.778783002802022,17.246339335419588,0.0,20.142953673112718,20.974224901917598,13.504388321468245,15.314652548365743,18.86120043607415,19.713459169839897,17.28765432688843,18.313886130388884,18.45223670371911,19.993069665403286,21.834235921316697,21.806522176835504,23.695974607481855,22.85241936570702,21.61371684614915,20.313216674213443,20.4031030525562,19.387470586645165,20.980906205329887,20.374988527121058,20.623127450189784,22.695172749766236,20.764673210607164,20.091366109002745,20.403103052556204,21.550453527573247,20.746083967823896,21.432112193408887,22.03854890402894,22.547727158186028,21.839212007358736,21.99140848704544,20.33607399454995,22.938466128894852,22.206759274606338,19.957356112274137,21.776603785736302,19.957356112274137,19.773122615124695,22.238860787681055,22.008945926313718,20.648616281259827,20.920923482726057,18.24945258590074,17.538798385832983,22.091933896947243,16.618081415171243,18.58955764786529,18.313886130388884,20.830323142110014,19.934064541228366,18.17448241418781,19.190466793385493,22.522289921477483,21.438650797834637,21.042139946861557,21.453777451281947,23.03752502017345,21.626536630125802,21.860473804577744,22.008945926313718,22.320993966522707,22.823872017216257,22.320993966522703,20.460755599074034,21.153804966646753,21.893083076948596,22.823872017216257,20.77369626939109,22.000429487575804,19.924661251430397,19.393074500518914,19.865452939020564,21.128925577581835,21.776603785736302,21.042139946861553,22.855106770956258,22.599909413796567,18.98569706156152,19.200229657419143,19.190466793385497,22.712166776532772,19.48720557448815,21.24895550930022,22.43464699581367,22.71216677653277,21.809338460725666,21.722443852594797,22.6349322393577,22.289010745208046,21.929234792456324,22.24728595320032,22.858551700113708,21.423366446972324,21.668148546133853,21.10401685838634,20.830323142110018
VHL_4.pdb_ringEdges,18.798642939796284,18.86537469028178,17.419872803896617,20.142953673112718,0.0,14.2008095588239,19.24856063746516,17.125382920024894,20.242856229950767,21.390041100187638,18.785402273645275,18.477396278381498,21.21535619740279,20.641827423221972,19.750490873995496,17.32532623455784,20.527377532126614,21.2241876577711,20.50473346542668,20.093717433938412,19.48720557448815,17.72795292639931,19.19456944197999,19.97376231715903,20.83705058700377,18.975242884339714,17.21938113330944,16.401171458065136,18.08388154278675,18.437209893620487,17.910714692256185,18.701046330573796,18.46238994604125,19.06730722268903,19.234155970707725,19.786577809649717,17.43415057578695,19.527811783988138,18.38828795343024,18.349451278028027,19.547559607638316,19.547559607638316,17.86643357861041,19.806067629911542,19.547559607638316,18.153240963539123,17.90288763933829,17.51229039733609,16.770427665819625,20.650904157437875,18.526082911168672,17.150836163358395,19.094872956590894,17.29849112713564,18.044389709823935,19.029856359701352,16.92140237296296,20.86831603587669,19.433877393643833,18.725871614334412,20.584682019848337,21.423366446972324,20.152255105242478,21.955359147041758,19.547559607638316,19.640950311373892,19.838957935549534,19.779493078860558,18.62459638626247,18.174482414187814,18.885815199456747,20.593783940982625,18.823339508074024,19.15325674903587,18.034001132593776,20.562101059959794,18.249452585900745,20.129189053921266,19.16303857022926,18.044389709823935,19.35625394876637,18.86120043607415,18.34945127802802,19.35625394876637,19.48720557448815,20.830323142110018,17.968563975415027,18.687736515238864,19.77001626977293,19.450563216750787,20.278066969018514,20.11987695834389,20.499433447135633,21.343681873226828,19.457767713934935,19.67723813921561,20.746083967823896,20.92987918072354,20.428866407051693,21.423366446972324,17.928818134083446
VHL_5.pdb_ringEdges,19.943463397400773,20.623127450189784,18.095808015022026,20.974224901917598,14.2008095588239,0.0,20.483448282535512,19.18726611850584,17.602344153124587,21.06420630837,20.300963865252005,21.008209868757582,20.323834965786734,21.21535619740279,19.704829736910437,18.004811255507697,19.29530153735159,18.992331647728843,20.460755599074027,19.41385169911616,18.785402273645275,17.250904346943713,17.292208431572437,19.810042788333156,19.147582647943903,19.597605510170965,17.16698901412311,16.51236711427333,18.58955764786529,18.662860504347247,18.292806554860388,19.96981974849551,18.95797258172531,19.806067629911542,19.966744004512407,21.230790298359434,17.82646002899494,17.07565380171153,18.760655764775635,20.152255105242478,19.115974273914077,19.640950311373892,17.39318356844627,21.008209868757582,20.65090415743787,19.457767713934935,18.687736515238864,16.727835258662274,16.87919093482188,19.020006044196194,18.070117151204848,18.249452585900745,18.923551130841556,18.38828795343024,17.86299566627133,17.82646002899494,18.184790737680437,20.03265051395279,19.527811783988138,18.551142333823105,21.976508574699892,22.763972087420292,20.739327015102727,22.038548904028943,21.008209868757582,21.095135088675033,20.54999664731662,20.492595167350405,18.992331647728847,19.737011078154982,20.641827423221972,21.752436735616715,21.073101113770154,20.393916029630546,19.22441033571395,20.895766816897183,19.547559607638316,21.073101113770154,20.65090415743787,18.823339508074024,20.336073994549952,20.61930904545084,19.89824508544195,19.71034342154584,20.21062322984085,20.917987587825202,19.547559607638316,19.319363221275964,19.557144212890066,19.091656255617977,22.15365098507475,22.008945926313718,20.83410287292652,21.898836843953834,18.705256324713336,21.017128372814632,22.35645373537688,20.773696269391085,21.008209868757586,22.43464699581367,20.773696269391085
VHL_6.pdb_ringEdges,18.95797258172531,16.161098426846017,16.023211509763396,13.504388321468245,19.24856063746516,20.483448282535512,0.0,15.46772102479184,18.58955764786529,17.393183568446265,15.74791574760612,18.164168240632872,16.265319853026554,19.47758655359426,21.252660787562128,21.095135088675033,22.59719165883543,22.40282603095485,20.403103052556204,19.285586801228437,19.380239956909758,19.387470586645165,19.611743227998495,20.123790128448917,20.737048894439962,21.545410750539165,20.26882327246438,18.103551659195645,20.764673210607167,20.58468201984834,21.812948549186295,19.83895793554953,21.806522176835504,21.390041100187638,20.278066969018518,21.758879081828585,20.6988150598504,22.71563338320109,21.508613912591965,20.21062322984085,21.541755826637903,19.957356112274137,18.715861309780244,20.46075559907403,21.5417558266379,19.77710439542949,19.54755960763832,17.683214158973644,18.38828795343024,21.03922096698539,17.355658951413957,18.589557647865295,18.98569706156152,19.45056321675079,19.417015023966606,16.57509753418412,18.652816383997298,21.600014581505718,20.95875214173264,20.552985108017605,20.974224901917598,21.453777451281947,21.279615768243897,22.320993966522707,21.19344721191928,20.300963865252005,21.806522176835504,21.03922096698539,20.21062322984085,20.187623869101458,20.94311756230066,21.571999932837983,19.77001626977294,20.943117562300657,20.920923482726057,18.86120043607415,19.48720557448815,20.527377532126614,20.707866815089766,19.029856359701352,20.278066969018518,22.599909413796567,18.589557647865295,17.82646002899494,18.652816383997298,22.25974085635603,19.48720557448815,21.487003946168876,22.206759274606338,21.68957803359923,20.74228819790717,21.722443852594797,22.409081398706594,22.51606600510969,21.929234792456324,21.313113777616763,21.26147675258676,21.073101113770154,22.238860787681052,22.48709166029663,21.073101113770154
VHL_7.pdb_ringEdges,20.895766816897186,17.70172819535884,18.551142333823105,15.314652548365743,17.125382920024894,19.18726611850584,15.46772102479184,0.0,17.498076384715958,19.081837842122827,17.460777192252362,18.477396278381498,18.885815199456744,20.64182742322197,21.864075449823858,21.126018588870988,24.245853610933857,22.431909218367974,21.98503427978825,19.31936322127596,21.03922096698539,19.93801418017398,20.76846488930435,21.252660787562128,21.252660787562128,21.81013273145717,21.039220966985386,20.374988527121058,21.51732501010641,21.10401685838634,20.281949618194016,21.571999932837983,21.365436802550498,22.121425820117484,20.917987587825202,20.588506846617804,20.368108466906907,22.063187710947474,22.236098904443395,20.739327015102727,20.852613650643217,20.242856229950764,19.547559607638316,21.334899876866196,21.571999932837986,21.405349246811006,20.460755599074027,18.95797258172531,18.823339508074024,22.68073517396418,17.257202079770845,18.895735468555802,19.285586801228433,22.153650985074755,19.45056321675079,18.885815199456747,19.48720557448815,22.095497813401874,20.98983631061606,20.336073994549952,21.59352483872491,23.817283474947008,21.890277567187304,22.90390744781232,22.37370503884759,21.99763766844353,22.174611289192228,21.8902775671873,19.98999749874922,21.18460293644426,21.21535619740279,22.85241936570702,20.6733881204304,22.259740856356025,20.46075559907403,19.426664036590303,20.152255105242478,21.398800466786046,20.85261365064322,20.336073994549952,21.74381982972176,22.402826030954845,19.02000604419619,18.82333950807402,20.11987695834389,22.516066005109693,19.898245085441953,21.279615768243897,21.538904555450788,22.516066005109693,21.128925577581832,22.320993966522703,22.210304765925105,23.430110514894228,21.72606837980803,21.215356197402787,23.209962563621765,21.922842507805573,22.82387201721626,22.289010745208046,21.453777451281947
VHL_8.pdb_ringEdges,21.484145408579966,21.08863932693186,15.597597230665972,18.86120043607415,20.242856229950767,17.602344153124587,18.58955764786529,17.498076384715958,0.0,17.568762543868438,14.635304096063464,16.606800618170062,15.344957365057523,18.589557647865295,19.421069814917647,20.949132242942266,20.34528713637183,16.685134125544256,19.67723813921561,16.192736779477666,17.928818134083443,17.856911584554105,15.062494486554353,18.73007602844943,18.85543844770304,20.133100414080896,21.453777451281944,19.938014180173983,19.67723813921561,18.41353490551272,18.31818510420208,22.434646995813672,18.712579456645194,20.584682019848337,18.624596386262468,19.71745299869903,18.95797258172531,18.253766734567414,19.054253250367324,18.27489134149112,18.5511423338231,17.99439982874812,19.356253948766373,20.24589002716664,21.398800466786042,21.230790298359437,19.770016269772935,17.928818134083443,18.895735468555802,18.174482414187814,18.920305302925357,18.823339508074024,19.477586553594257,19.74650372721254,16.657267690985034,18.413534905512723,18.210319822328653,21.045881636516622,20.065169414237374,19.898245085441953,21.008209868757582,21.596368898643565,19.45056321675079,22.516066005109696,22.434646995813672,20.084388892006505,20.02565283963405,19.45056321675079,20.05818308475165,19.760534915772908,19.865452939020564,20.773696269391085,19.547559607638316,21.626536630125802,21.017128372814632,21.635200247831754,20.336073994549952,21.3348998768662,19.35625394876637,19.64095031137389,21.571999932837983,23.014682064959768,20.673388120430396,20.242856229950767,21.21535619740279,19.64095031137389,20.084388892006505,20.86159867346216,19.580884137904683,20.15225510524248,23.073931160783985,22.487091660296635,19.28966921910993,20.926944542240644,19.52781178398814,21.51732501010641,23.268714422291175,21.51732501010641,20.986084628426898,21.487003946168876,18.95797258172531
VHL_9.pdb_ringEdges,23.234646950139734,20.902473198805243,19.60772786750123,19.713459169839897,21.390041100187638,21.06420630837,17.393183568446265,19.081837842122827,17.568762543868438,0.0,18.023606567521036,18.189726268756313,16.381187596954444,17.528110156810726,21.341468265246778,20.943117562300657,21.248955509300224,19.79660354230047,19.6172830757878,19.644077066116584,19.477586553594257,20.00007874000248,19.44813413312039,20.958752141732642,20.46760451654441,22.32727226094072,21.976508574699896,21.812948549186295,21.976508574699896,21.3348998768662,22.295298046014764,19.029856359701355,21.313113777616767,20.641827423221972,19.346569819467415,20.03265051395279,21.20652105917118,19.895870659293564,21.359539350366205,19.153256749035872,20.419690975319853,18.614531619183296,21.153804966646756,20.187623869101458,21.863283138776275,20.126841872969724,21.423366446972324,19.737011078154982,19.865452939020567,19.51103059709122,20.886796492438357,19.67723813921561,20.3039889800979,21.571999932837986,20.821324622970508,18.75066403023645,20.11056055084719,19.027373567623297,22.036405097163623,22.115729963332058,19.957356112274137,20.821324622970508,21.12892557758184,21.12892557758184,21.042139946861557,20.393916029630553,20.58468201984834,22.79259445970827,21.563310922786318,19.957356112274137,21.334899876866196,22.289010745208046,20.54999664731662,22.703914123679926,22.906588812471,22.382079445729797,20.773696269391085,20.796047474248102,22.712166776532772,19.70083334901519,19.60772786750123,20.58468201984834,19.537970300534468,19.60772786750123,20.3619221591614,21.884521549820704,20.527377532126614,20.24589002716664,18.652816383997298,18.03400113259378,21.24895550930022,19.617283075787796,20.980906205329887,22.599909413796567,20.46760451654441,19.806067629911542,20.37498852712106,20.920923482726057,23.690657316640408,22.238860787681055,22.37370503884759
